external_gene_name,description,search_id,MeSH_count
BRDT,bromodomain testis associated ,BRDT,30
GIPC2,GIPC PDZ domain containing family member 2 ,GIPC2,17
DNASE2B,deoxyribonuclease 2 beta ,DNASE2B,4
SIX3,SIX homeobox 3 ,SIX3,23
CH25H,cholesterol 25-hydroxylase ,CH25H,22
ZNF365,zinc finger protein 365 ,ZNF365,26
ASNSD1,asparagine synthetase domain containing 1 ,ASNSD1,2
SLC40A1,solute carrier family 40 member 1 ,SLC40A1,35
SENP7,SUMO specific peptidase 7 ,SENP7,12
SEMA7A,semaphorin 7A (JohnMiltonHagen blood group) ,SEMA7A,24
ARHGAP24,Rho GTPase activating protein 24 ,ARHGAP24,17
HERC3,HECT and RLD domain containing E3 ubiquitin protein ligase 3 ,HERC3,9
PCDH10,protocadherin 10 ,PCDH10,77
GSTCD,glutathione S-transferase C-terminal domain containing ,GSTCD,1
SLC39A8,solute carrier family 39 member 8 ,SLC39A8,11
MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3 ,MAPK8IP3,4
ERP27,endoplasmic reticulum protein 27 ,ERP27,4
FGD4,"FYVE, RhoGEF and PH domain containing 4 ",FGD4,13
SLCO1C1,solute carrier organic anion transporter family member 1C1 ,SLCO1C1,4
LRIG3,leucine rich repeats and immunoglobulin like domains 3 ,LRIG3,33
TMTC3,transmembrane O-mannosyltransferase targeting cadherins 3 ,TMTC3,6
ASCL1,achaete-scute family bHLH transcription factor 1 ,ASCL1,325
GAS2L3,growth arrest specific 2 like 3 ,GAS2L3,6
SDSL,serine dehydratase like ,SDSL,2
NPFF,neuropeptide FF-amide peptide precursor ,NPFF,11
HNRNPA1L2,heterogeneous nuclear ribonucleoprotein A1 like 2 ,HNRNPA1L2,1
MORN3,MORN repeat containing 3 ,MORN3,1
RAB15,"RAB15, member RAS oncogene family ",RAB15,5
STON2,stonin 2 ,STON2,6
EFCAB11,EF-hand calcium binding domain 11 ,EFCAB11,1
GPR65,G protein-coupled receptor 65 ,GPR65,26
PTGR2,prostaglandin reductase 2 ,PTGR2,5
DUOX2,dual oxidase 2 ,DUOX2,55
DISP2,dispatched RND transporter family member 2 ,DISP2,2
ANP32A,acidic nuclear phosphoprotein 32 family member A ,ANP32A,24
PIF1,PIF1 5'-to-3' DNA helicase ,PIF1,14
CYP11A1,cytochrome P450 family 11 subfamily A member 1 ,CYP11A1,146
CCDC33,coiled-coil domain containing 33 ,CCDC33,1
RHCG,Rh family C glycoprotein ,RHCG,25
ABHD2,"abhydrolase domain containing 2, acylglycerol lipase ",ABHD2,11
TICRR,TOPBP1 interacting checkpoint and replication regulator ,TICRR,5
NTRK3,neurotrophic receptor tyrosine kinase 3 ,NTRK3,657
EFL1,elongation factor like GTPase 1 ,EFL1,3
MARVELD3,MARVEL domain containing 3 ,MARVELD3,8
ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif 18 ,ADAMTS18,22
NUDT7,nudix hydrolase 7 ,NUDT7,2
CTRL,chymotrypsin like ,CTRL,183
UNC45B,unc-45 myosin chaperone B ,UNC45B,0
TOM1L1,target of myb1 like 1 membrane trafficking protein ,TOM1L1,9
ARSG,arylsulfatase G ,ARSG,1
CBLN2,cerebellin 2 precursor ,CBLN2,2
P3H4,prolyl 3-hydroxylase family member 4 (inactive) ,P3H4,8
MIEN1,migration and invasion enhancer 1 ,MIEN1,23
STAC2,SH3 and cysteine rich domain 2 ,STAC2,5
FKBP10,FKBP prolyl isomerase 10 ,FKBP10,30
CIB3,calcium and integrin binding family member 3 ,CIB3,0
DUS3L,dihydrouridine synthase 3 like ,DUS3L,0
SIK1,salt inducible kinase 1 ,SIK1,35
DOP1B,DOP1 leucine zipper like protein B ,DOP1B,0
LMTK3,lemur tyrosine kinase 3 ,LMTK3,33
GEMIN7,gem nuclear organelle associated protein 7 ,GEMIN7,2
IGLON5,IgLON family member 5 ,IGLON5,12
MMEL1,membrane metalloendopeptidase like 1 ,MMEL1,0
CD53,CD53 molecule ,CD53,45
PROK1,prokineticin 1 ,PROK1,23
CELSR2,cadherin EGF LAG seven-pass G-type receptor 2 ,CELSR2,11
MPC2,mitochondrial pyruvate carrier 2 ,MPC2,19
UCK2,uridine-cytidine kinase 2 ,UCK2,39
ILDR2,immunoglobulin like domain containing receptor 2 ,ILDR2,2
ISG20L2,interferon stimulated exonuclease gene 20 like 2 ,ISG20L2,7
HDGF,heparin binding growth factor ,HDGF,169
XPR1,xenotropic and polytropic retrovirus receptor 1 ,XPR1,16
RGL1,ral guanine nucleotide dissociation stimulator like 1 ,RGL1,8
PRUNE1,prune exopolyphosphatase 1 ,PRUNE1,7
TARS2,"threonyl-tRNA synthetase 2, mitochondrial ",TARS2,3
ADAMTSL4,ADAMTS like 4 ,ADAMTSL4,7
SEMA6C,semaphorin 6C ,SEMA6C,4
VASH2,vasohibin 2 ,VASH2,35
FLG2,filaggrin 2 ,FLG2,6
S100A8,S100 calcium binding protein A8 ,S100A8,411
S100A7,S100 calcium binding protein A7 ,S100A7,152
C1orf43,chromosome 1 open reading frame 43 ,C1orf43,2
NVL,nuclear VCP like ,NVL,17
PSEN2,presenilin 2 ,PSEN2,14
PTPN7,protein tyrosine phosphatase non-receptor type 7 ,PTPN7,5
OSR1,odd-skipped related transcription factor 1 ,OSR1,29
SFXN5,sideroflexin 5 ,SFXN5,1
ST6GAL2,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2 ",ST6GAL2,3
SPOPL,speckle type BTB/POZ protein like ,SPOPL,3
SLC4A10,solute carrier family 4 member 10 ,SLC4A10,0
TRPM8,transient receptor potential cation channel subfamily M member 8 ,TRPM8,141
CSRNP1,cysteine and serine rich nuclear protein 1 ,CSRNP1,2
PTPRG,protein tyrosine phosphatase receptor type G ,PTPRG,63
NFKBIZ,NFKB inhibitor zeta ,NFKBIZ,30
SRPRB,SRP receptor subunit beta ,SRPRB,5
ALDH1L1,aldehyde dehydrogenase 1 family member L1 ,ALDH1L1,34
RUBCN,rubicon autophagy regulator ,RUBCN,6
NICN1,"nicolin 1, tubulin polyglutamylase complex subunit ",NICN1,2
MANF,mesencephalic astrocyte derived neurotrophic factor ,MANF,18
ILDR1,immunoglobulin like domain containing receptor 1 ,ILDR1,3
ECE2,endothelin converting enzyme 2 ,ECE2,12
CORIN,"corin, serine peptidase ",CORIN,9
USP53,ubiquitin specific peptidase 53 ,USP53,6
SFRP2,secreted frizzled related protein 2 ,SFRP2,325
OTULINL,OTU deubiquitinase with linear linkage specificity like ,OTULINL,0
HAPLN1,hyaluronan and proteoglycan link protein 1 ,HAPLN1,23
IQGAP2,IQ motif containing GTPase activating protein 2 ,IQGAP2,35
MEGF10,multiple EGF like domains 10 ,MEGF10,9
ZNF300,zinc finger protein 300 ,ZNF300,8
N4BP3,NEDD4 binding protein 3 ,N4BP3,3
GFOD1,Gfo/Idh/MocA-like oxidoreductase domain containing 1 ,GFOD1,2
LRRTM2,leucine rich repeat transmembrane neuronal 2 ,LRRTM2,0
DCDC2,doublecortin domain containing 2 ,DCDC2,8
TRIM7,tripartite motif containing 7 ,TRIM7,12
FAM193B,family with sequence similarity 193 member B ,FAM193B,1
MLIP,muscular LMNA interacting protein ,MLIP,3
SCUBE3,"signal peptide, CUB domain and EGF like domain containing 3 ",SCUBE3,18
NFKBIE,NFKB inhibitor epsilon ,NFKBIE,33
PNRC1,proline rich nuclear receptor coactivator 1 ,PNRC1,5
RSPO3,R-spondin 3 ,RSPO3,49
MTFR2,mitochondrial fission regulator 2 ,MTFR2,9
ARMT1,acidic residue methyltransferase 1 ,ARMT1,2
CDCA5,cell division cycle associated 5 ,CDCA5,62
PSPH,phosphoserine phosphatase ,PSPH,58
TRIM50,tripartite motif containing 50 ,TRIM50,7
ZNF92,zinc finger protein 92 ,ZNF92,0
ZAN,zonadhesin ,ZAN,5
SHROOM2,shroom family member 2 ,SHROOM2,6
RAB19,"RAB19, member RAS oncogene family ",RAB19,2
CHST7,carbohydrate sulfotransferase 7 ,CHST7,8
NXF3,nuclear RNA export factor 3 ,NXF3,5
ARHGAP36,Rho GTPase activating protein 36 ,ARHGAP36,8
SLC25A37,solute carrier family 25 member 37 ,SLC25A37,8
PXDNL,peroxidasin like ,PXDNL,5
PMP2,peripheral myelin protein 2 ,PMP2,6
MAL2,"mal, T cell differentiation protein 2 ",MAL2,53
FAM135B,family with sequence similarity 135 member B ,FAM135B,13
SLC39A4,solute carrier family 39 member 4 ,SLC39A4,12
FBXO10,F-box protein 10 ,FBXO10,12
UGCG,UDP-glucose ceramide glucosyltransferase ,UGCG,26
GBGT1,"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group) ",GBGT1,4
LCN2,lipocalin 2 ,LCN2,244
INPP5E,inositol polyphosphate-5-phosphatase E ,INPP5E,9
TMEM236,transmembrane protein 236 ,TMEM236,2
ZEB1,zinc finger E-box binding homeobox 1 ,ZEB1,2193
FAM13C,family with sequence similarity 13 member C ,FAM13C,2
HABP2,hyaluronan binding protein 2 ,HABP2,38
PAOX,polyamine oxidase ,PAOX,7
LRRC4C,leucine rich repeat containing 4C ,LRRC4C,5
PGAP2,post-GPI attachment to proteins 2 ,PGAP2,1
ZNF214,zinc finger protein 214 ,ZNF214,0
GLYAT,glycine-N-acyltransferase ,GLYAT,4
KLHL35,kelch like family member 35 ,KLHL35,4
GLB1L2,galactosidase beta 1 like 2 ,GLB1L2,1
ADAM33,ADAM metallopeptidase domain 33 ,ADAM33,16
TKFC,triokinase and FMN cyclase ,TKFC,1
KIRREL3,kirre like nephrin family adhesion molecule 3 ,KIRREL3,4
TMEM25,transmembrane protein 25 ,TMEM25,5
SPATA25,spermatogenesis associated 25 ,SPATA25,0
CDC42EP2,CDC42 effector protein 2 ,CDC42EP2,1
TLCD3B,TLC domain containing 3B ,TLCD3B,1
FAM124A,family with sequence similarity 124 member A ,FAM124A,0
LYPD6B,LY6/PLAUR domain containing 6B ,LYPD6B,2
FSIP1,fibrous sheath interacting protein 1 ,FSIP1,15
PRSS23,serine protease 23 ,PRSS23,16
C2orf50,chromosome 2 open reading frame 50 ,C2orf50,0
CRIM1,cysteine rich transmembrane BMP regulator 1 ,CRIM1,20
GPR158,G protein-coupled receptor 158 ,GPR158,10
KCTD14,potassium channel tetramerization domain containing 14 ,KCTD14,2
THRSP,thyroid hormone responsive ,THRSP,9
ME3,malic enzyme 3 ,ME3,54
ANKRD50,ankyrin repeat domain containing 50 ,ANKRD50,2
PTPRO,protein tyrosine phosphatase receptor type O ,PTPRO,38
TEX9,testis expressed 9 ,TEX9,2
NR3C2,nuclear receptor subfamily 3 group C member 2 ,NR3C2,48
AKR1C2,aldo-keto reductase family 1 member C2 ,AKR1C2,106
TMEM45B,transmembrane protein 45B ,TMEM45B,10
ACSL1,acyl-CoA synthetase long chain family member 1 ,ACSL1,60
KCNE4,potassium voltage-gated channel subfamily E regulatory subunit 4 ,KCNE4,9
CCDC74B,coiled-coil domain containing 74B ,CCDC74B,1
ASTN1,astrotactin 1 ,ASTN1,8
MGAT5,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase ",MGAT5,52
GEMIN6,gem nuclear organelle associated protein 6 ,GEMIN6,1
ARL11,ADP ribosylation factor like GTPase 11 ,ARL11,6
UHMK1,U2AF homology motif kinase 1 ,UHMK1,18
OLAH,oleoyl-ACP hydrolase ,OLAH,2
ZSCAN1,zinc finger and SCAN domain containing 1 ,ZSCAN1,5
CCDC50,coiled-coil domain containing 50 ,CCDC50,10
ZFP36L2,ZFP36 ring finger protein like 2 ,ZFP36L2,31
TMEM123,transmembrane protein 123 ,TMEM123,2
SPARCL1,SPARC like 1 ,SPARCL1,66
CAPSL,calcyphosine like ,CAPSL,0
CLEC4F,C-type lectin domain family 4 member F ,CLEC4F,2
BMP3,bone morphogenetic protein 3 ,BMP3,60
CNTNAP4,contactin associated protein family member 4 ,CNTNAP4,5
ZIC1,Zic family member 1 ,ZIC1,65
CPB1,carboxypeptidase B1 ,CPB1,9
ACMSD,aminocarboxymuconate semialdehyde decarboxylase ,ACMSD,4
ACOXL,acyl-CoA oxidase like ,ACOXL,9
CLGN,calmegin ,CLGN,6
SLC25A27,solute carrier family 25 member 27 ,SLC25A27,3
ADGRF1,adhesion G protein-coupled receptor F1 ,ADGRF1,8
FRMD1,FERM domain containing 1 ,FRMD1,2
FBXO36,F-box protein 36 ,FBXO36,1
MCOLN2,mucolipin TRP cation channel 2 ,MCOLN2,6
DDAH1,dimethylarginine dimethylaminohydrolase 1 ,DDAH1,24
GDPD1,glycerophosphodiester phosphodiesterase domain containing 1 ,GDPD1,0
ANKRD29,ankyrin repeat domain 29 ,ANKRD29,2
DNAAF1,dynein axonemal assembly factor 1 ,DNAAF1,4
ROBO4,roundabout guidance receptor 4 ,ROBO4,40
TBRG1,transforming growth factor beta regulator 1 ,TBRG1,3
ABI3BP,ABI family member 3 binding protein ,ABI3BP,12
CEP112,centrosomal protein 112 ,CEP112,2
C4orf19,chromosome 4 open reading frame 19 ,C4orf19,5
LONRF1,LON peptidase N-terminal domain and ring finger 1 ,LONRF1,1
C10orf90,chromosome 10 open reading frame 90 ,C10orf90,4
CNTNAP3B,contactin associated protein family member 3B ,CNTNAP3B,0
NCAM2,neural cell adhesion molecule 2 ,NCAM2,15
ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1 ,ADAMTS1,129
FGD5,"FYVE, RhoGEF and PH domain containing 5 ",FGD5,57
FLCN,folliculin ,FLCN,282
SKA1,spindle and kinetochore associated complex subunit 1 ,SKA1,42
APCDD1,APC down-regulated 1 ,APCDD1,10
FBXL18,F-box and leucine rich repeat protein 18 ,FBXL18,1
PTPRN2,protein tyrosine phosphatase receptor type N2 ,PTPRN2,27
TRIM74,tripartite motif containing 74 ,TRIM74,1
PIK3AP1,phosphoinositide-3-kinase adaptor protein 1 ,PIK3AP1,20
VSIG4,V-set and immunoglobulin domain containing 4 ,VSIG4,33
PXYLP1,2-phosphoxylose phosphatase 1 ,PXYLP1,1
RAET1L,retinoic acid early transcript 1L ,RAET1L,7
RAB39B,"RAB39B, member RAS oncogene family ",RAB39B,5
MICU3,mitochondrial calcium uptake family member 3 ,MICU3,3
MAGEA8,MAGE family member A8 ,MAGEA8,10
CARNMT1,carnosine N-methyltransferase 1 ,CARNMT1,0
WIF1,WNT inhibitory factor 1 ,WIF1,304
ADK,adenosine kinase ,ADK,61
ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3 ,ADAMTS3,9
TSPAN7,tetraspanin 7 ,TSPAN7,19
SORCS3,sortilin related VPS10 domain containing receptor 3 ,SORCS3,5
SFXN2,sideroflexin 2 ,SFXN2,2
FUT6,fucosyltransferase 6 ,FUT6,35
FBXO43,F-box protein 43 ,FBXO43,6
RAB11FIP1,RAB11 family interacting protein 1 ,RAB11FIP1,9
MAPK13,mitogen-activated protein kinase 13 ,MAPK13,53
MS4A1,membrane spanning 4-domains A1 ,MS4A1,56
TBC1D31,TBC1 domain family member 31 ,TBC1D31,3
ADGRG4,adhesion G protein-coupled receptor G4 ,ADGRG4,3
MPV17L,MPV17 mitochondrial inner membrane protein like ,MPV17L,1
TMEM171,transmembrane protein 171 ,TMEM171,2
TIMP4,TIMP metallopeptidase inhibitor 4 ,TIMP4,90
SUSD3,sushi domain containing 3 ,SUSD3,8
ARMC12,armadillo repeat containing 12 ,ARMC12,1
ARSL,arylsulfatase L ,ARSL,0
FAM81A,family with sequence similarity 81 member A ,FAM81A,2
PWWP3B,PWWP domain containing 3B ,PWWP3B,0
AFAP1L1,actin filament associated protein 1 like 1 ,AFAP1L1,6
SVOPL,SVOP like ,SVOPL,0
SNX22,sorting nexin 22 ,SNX22,1
PSMG3,proteasome assembly chaperone 3 ,PSMG3,15
FMNL2,formin like 2 ,FMNL2,30
DRC1,dynein regulatory complex subunit 1 ,DRC1,32
CNNM4,cyclin and CBS domain divalent metal cation transport mediator 4 ,CNNM4,6
DZIP1L,DAZ interacting zinc finger protein 1 like ,DZIP1L,5
MRAS,muscle RAS oncogene homolog ,MRAS,48
CLSTN2,calsyntenin 2 ,CLSTN2,1
RNF207,ring finger protein 207 ,RNF207,2
RHBDL2,rhomboid like 2 ,RHBDL2,7
H4C8,H4 clustered histone 8 ,H4C8,1
RIBC1,RIB43A domain with coiled-coils 1 ,RIBC1,0
CATIP,ciliogenesis associated TTC17 interacting protein ,CATIP,2
TSPAN33,tetraspanin 33 ,TSPAN33,5
CD1A,CD1a molecule ,CD1A,976
SPATA2,spermatogenesis associated 2 ,SPATA2,6
DNAH3,dynein axonemal heavy chain 3 ,DNAH3,3
CD1E,CD1e molecule ,CD1E,9
PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 ",PFKFB1,18
ALAS2,5'-aminolevulinate synthase 2 ,ALAS2,12
HTR6,5-hydroxytryptamine receptor 6 ,HTR6,4
ALG8,"ALG8 alpha-1,3-glucosyltransferase ",ALG8,14
CFAP298,cilia and flagella associated protein 298 ,CFAP298,0
UBE2Z,ubiquitin conjugating enzyme E2 Z ,UBE2Z,2
CLIC6,chloride intracellular channel 6 ,CLIC6,9
SIM2,SIM bHLH transcription factor 2 ,SIM2,42
CYB5R1,cytochrome b5 reductase 1 ,CYB5R1,3
CELF3,CUGBP Elav-like family member 3 ,CELF3,2
STARD9,StAR related lipid transfer domain containing 9 ,STARD9,7
RGL4,ral guanine nucleotide dissociation stimulator like 4 ,RGL4,3
ADGRG5,adhesion G protein-coupled receptor G5 ,ADGRG5,2
DRC7,dynein regulatory complex subunit 7 ,DRC7,0
CARMIL2,capping protein regulator and myosin 1 linker 2 ,CARMIL2,8
PIP,prolactin induced protein ,PIP,553
ZNF233,zinc finger protein 233 ,ZNF233,1
MIX23,mitochondrial matrix import factor 23 ,MIX23,0
KALRN,kalirin RhoGEF kinase ,KALRN,8
TFF3,trefoil factor 3 ,TFF3,269
SLC37A1,solute carrier family 37 member 1 ,SLC37A1,2
HSF2BP,heat shock transcription factor 2 binding protein ,HSF2BP,1
GAB3,GRB2 associated binding protein 3 ,GAB3,7
CFAP410,cilia and flagella associated protein 410 ,CFAP410,1
CACFD1,calcium channel flower domain containing 1 ,CACFD1,0
ZNF714,zinc finger protein 714 ,ZNF714,1
PKN3,protein kinase N3 ,PKN3,13
FLAD1,flavin adenine dinucleotide synthetase 1 ,FLAD1,6
MYL3,myosin light chain 3 ,MYL3,4
FCRL3,Fc receptor like 3 ,FCRL3,15
NACC1,nucleus accumbens associated 1 ,NACC1,27
PTGER1,prostaglandin E receptor 1 ,PTGER1,13
ZNF333,zinc finger protein 333 ,ZNF333,1
ORAI2,ORAI calcium release-activated calcium modulator 2 ,ORAI2,19
USP41P,"ubiquitin specific peptidase 41, pseudogene ",USP41P,0
CCDC116,coiled-coil domain containing 116 ,CCDC116,3
DMKN,dermokine ,DMKN,9
U2AF1L4,U2 small nuclear RNA auxiliary factor 1 like 4 ,U2AF1L4,3
PGAP3,post-GPI attachment to proteins phospholipase 3 ,PGAP3,16
IKZF3,IKAROS family zinc finger 3 ,IKZF3,114
FDXR,ferredoxin reductase ,FDXR,38
CYGB,cytoglobin ,CYGB,48
ZNF577,zinc finger protein 577 ,ZNF577,9
SPC24,SPC24 component of NDC80 kinetochore complex ,SPC24,14
IP6K3,inositol hexakisphosphate kinase 3 ,IP6K3,3
SCIMP,SLP adaptor and CSK interacting membrane protein ,SCIMP,1
TNFSF13,TNF superfamily member 13 ,TNFSF13,24
SENP3,SUMO specific peptidase 3 ,SENP3,36
TEDC2,tubulin epsilon and delta complex 2 ,TEDC2,5
SAXO4,stabilizer of axonemal microtubules 4 ,SAXO4,0
ITIH3,inter-alpha-trypsin inhibitor heavy chain 3 ,ITIH3,17
ZFPL1,zinc finger protein like 1 ,ZFPL1,4
COA7,cytochrome c oxidase assembly factor 7 ,COA7,0
PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2 ,PRKAA2,33
CTRC,chymotrypsin C ,CTRC,20
DHRS3,dehydrogenase/reductase 3 ,DHRS3,18
NHSL3,NHS like 3 ,NHSL3,0
TSSK3,testis specific serine kinase 3 ,TSSK3,0
UBXN10,UBX domain protein 10 ,UBXN10,4
ALPL,"alkaline phosphatase, biomineralization associated ",ALPL,38
MEGF6,multiple EGF like domains 6 ,MEGF6,3
EEIG2,EEIG family member 2 ,EEIG2,0
HENMT1,HEN methyltransferase 1 ,HENMT1,7
HFM1,helicase for meiosis 1 ,HFM1,5
BRINP3,BMP/retinoic acid inducible neural specific 3 ,BRINP3,7
KCNT2,potassium sodium-activated channel subfamily T member 2 ,KCNT2,5
IGSF8,immunoglobulin superfamily member 8 ,IGSF8,7
KLHDC9,kelch domain containing 9 ,KLHDC9,2
LMX1A,LIM homeobox transcription factor 1 alpha ,LMX1A,32
FLVCR1,FLVCR choline and heme transporter 1 ,FLVCR1,21
DENND2D,DENN domain containing 2D ,DENND2D,11
TDRD5,tudor domain containing 5 ,TDRD5,5
BPNT1,"3'(2'), 5'-bisphosphate nucleotidase 1 ",BPNT1,3
TFB2M,"transcription factor B2, mitochondrial ",TFB2M,10
KLHDC8A,kelch domain containing 8A ,KLHDC8A,7
B3GALNT2,"beta-1,3-N-acetylgalactosaminyltransferase 2 ",B3GALNT2,4
IL20,interleukin 20 ,IL20,47
FCMR,Fc mu receptor ,FCMR,9
CCDC138,coiled-coil domain containing 138 ,CCDC138,0
FBXO41,F-box protein 41 ,FBXO41,2
VSNL1,visinin like 1 ,VSNL1,19
BNIPL,BCL2 interacting protein like ,BNIPL,7
TNFAIP8L2,TNF alpha induced protein 8 like 2 ,TNFAIP8L2,26
S100A11,S100 calcium binding protein A11 ,S100A11,139
ANTXR2,ANTXR cell adhesion molecule 2 ,ANTXR2,11
PYGO2,pygopus family PHD finger 2 ,PYGO2,33
EOGT,EGF domain specific O-linked N-acetylglucosamine transferase ,EOGT,4
IGFN1,immunoglobulin like and fibronectin type III domain containing 1 ,IGFN1,9
IGFBP7,insulin like growth factor binding protein 7 ,IGFBP7,191
TSACC,TSSK6 activating cochaperone ,TSACC,0
ADORA1,adenosine A1 receptor ,ADORA1,30
CCDC141,coiled-coil domain containing 141 ,CCDC141,0
CIP2A,cellular inhibitor of PP2A ,CIP2A,250
SERPINI1,serpin family I member 1 ,SERPINI1,17
ICA1L,islet cell autoantigen 1 like ,ICA1L,3
ICOS,inducible T cell costimulator ,ICOS,439
NKX6-1,NK6 homeobox 1 ,NKX6-1,38
CDS1,CDP-diacylglycerol synthase 1 ,CDS1,13
SMIM14,small integral membrane protein 14 ,SMIM14,1
CDCP1,CUB domain containing protein 1 ,CDCP1,141
DTX3L,deltex E3 ubiquitin ligase 3L ,DTX3L,17
KLF15,KLF transcription factor 15 ,KLF15,41
C1orf50,chromosome 1 open reading frame 50 ,C1orf50,0
EMCN,endomucin ,EMCN,18
FBXW12,F-box and WD repeat domain containing 12 ,FBXW12,2
MST1R,macrophage stimulating 1 receptor ,MST1R,67
NDST3,N-deacetylase and N-sulfotransferase 3 ,NDST3,2
SCRG1,stimulator of chondrogenesis 1 ,SCRG1,5
HAND2,heart and neural crest derivatives expressed 2 ,HAND2,87
MAP9,microtubule associated protein 9 ,MAP9,9
HHIP,hedgehog interacting protein ,HHIP,61
EDIL3,EGF like repeats and discoidin domains 3 ,EDIL3,26
ELOVL7,ELOVL fatty acid elongase 7 ,ELOVL7,4
CMBL,carboxymethylenebutenolidase homolog ,CMBL,14
F2RL1,F2R like trypsin receptor 1 ,F2RL1,24
SPINK1,serine peptidase inhibitor Kazal type 1 ,SPINK1,208
ESM1,endothelial cell specific molecule 1 ,ESM1,91
EGFLAM,"EGF like, fibronectin type III and laminin G domains ",EGFLAM,9
EBF1,EBF transcription factor 1 ,EBF1,145
FOXQ1,forkhead box Q1 ,FOXQ1,112
ACSL6,acyl-CoA synthetase long chain family member 6 ,ACSL6,22
SHROOM1,shroom family member 1 ,SHROOM1,0
GDF9,growth differentiation factor 9 ,GDF9,50
LEAP2,liver enriched antimicrobial peptide 2 ,LEAP2,5
CREBRF,CREB3 regulatory factor ,CREBRF,10
IL22RA2,interleukin 22 receptor subunit alpha 2 ,IL22RA2,8
GALNT10,polypeptide N-acetylgalactosaminyltransferase 10 ,GALNT10,10
TAGAP,T cell activation RhoGTPase activating protein ,TAGAP,9
SLC13A4,solute carrier family 13 member 4 ,SLC13A4,1
HNF4G,hepatocyte nuclear factor 4 gamma ,HNF4G,22
SLC30A8,solute carrier family 30 member 8 ,SLC30A8,12
TMEM184A,transmembrane protein 184A ,TMEM184A,2
SLC7A13,solute carrier family 7 member 13 ,SLC7A13,1
BAALC,BAALC binder of MAP3K1 and KLF4 ,BAALC,114
TP53INP1,tumor protein p53 inducible nuclear protein 1 ,TP53INP1,109
GEM,GTP binding protein overexpressed in skeletal muscle ,GEM,2028
WASHC5,WASH complex subunit 5 ,WASHC5,1
NIPSNAP3B,nipsnap homolog 3B ,NIPSNAP3B,0
ZMAT4,zinc finger matrin-type 4 ,ZMAT4,4
MAMDC2,MAM domain containing 2 ,MAMDC2,8
CPA6,carboxypeptidase A6 ,CPA6,7
RASEF,RAS and EF-hand domain containing ,RASEF,8
SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 ",SVEP1,16
KIAA1958,KIAA1958 ,KIAA1958,0
PTCHD1,patched domain containing 1 ,PTCHD1,3
RNF183,ring finger protein 183 ,RNF183,11
VEGFD,vascular endothelial growth factor D ,VEGFD,569
CLDN3,claudin 3 ,CLDN3,100
MELK,maternal embryonic leucine zipper kinase ,MELK,214
DEUP1,deuterosome assembly protein 1 ,DEUP1,0
LRFN5,leucine rich repeat and fibronectin type III domain containing 5 ,LRFN5,2
HEPACAM,hepatic and glial cell adhesion molecule ,HEPACAM,46
TMEM63C,transmembrane protein 63C ,TMEM63C,1
FAAH2,fatty acid amide hydrolase 2 ,FAAH2,1
BEND7,BEN domain containing 7 ,BEND7,0
TMEM52B,transmembrane protein 52B ,TMEM52B,2
FRMD7,FERM domain containing 7 ,FRMD7,2
AK8,adenylate kinase 8 ,AK8,2
HPRT1,hypoxanthine phosphoribosyltransferase 1 ,HPRT1,105
DIPK1B,divergent protein kinase domain 1B ,DIPK1B,0
JCAD,junctional cadherin 5 associated ,JCAD,3
METTL17,methyltransferase like 17 ,METTL17,2
SLC39A2,solute carrier family 39 member 2 ,SLC39A2,2
NDRG2,NDRG family member 2 ,NDRG2,176
RNASE7,ribonuclease A family member 7 ,RNASE7,5
ARHGEF40,Rho guanine nucleotide exchange factor 40 ,ARHGEF40,4
VWA2,von Willebrand factor A domain containing 2 ,VWA2,5
SALL2,spalt like transcription factor 2 ,SALL2,32
PRAP1,proline rich acidic protein 1 ,PRAP1,3
TRUB1,TruB pseudouridine synthase family member 1 ,TRUB1,2
LARGE2,LARGE xylosyl- and glucuronyltransferase 2 ,LARGE2,4
IFI27,interferon alpha inducible protein 27 ,IFI27,63
SERPINA12,serpin family A member 12 ,SERPINA12,1
PTER,phosphotriesterase related ,PTER,384
AMN,amnion associated transmembrane protein ,AMN,100
SPINT1,"serine peptidase inhibitor, Kunitz type 1 ",SPINT1,36
LARP6,"La ribonucleoprotein 6, translational regulator ",LARP6,9
ASPG,asparaginase ,ASPG,6
MSS51,MSS51 mitochondrial translational activator ,MSS51,1
RIC3,RIC3 acetylcholine receptor chaperone ,RIC3,3
WDR72,WD repeat domain 72 ,WDR72,12
NDST2,N-deacetylase and N-sulfotransferase 2 ,NDST2,7
CLEC3A,C-type lectin domain family 3 member A ,CLEC3A,9
CCDC68,coiled-coil domain containing 68 ,CCDC68,3
CLEC4E,C-type lectin domain family 4 member E ,CLEC4E,3
GALR1,galanin receptor 1 ,GALR1,43
