,gene_id,search_string,MeSH_count
5223,SLC8A3,"(""SLC8A3"" OR ""NCX3"")",97
5224,SLC9A1,"(""SLC9A1"" OR ""APNH"" OR ""LIKNS"" OR ""NHE-1"" OR ""NHE1"" OR ""PPP1R143"")",962
5225,SLC9A2,"(""SLC9A2"" OR ""NHE2"")",141
5226,SLC9A3,"(""SLC9A3"" OR ""DIAR8"" OR ""NHE-3"" OR ""NHE3"")",602
5227,SLC9A5,"(""SLC9A5"" OR ""NHE5"")",30
5228,SLC9A6,"(""SLC9A6"" OR ""MRSA"" OR ""MRXSCH"" OR ""NHE6"")",19755
5229,SLC9A7,"(""SLC9A7"" OR ""MRX108"" OR ""NHE-7"" OR ""NHE7"" OR ""SLC9A6"")",110
5230,SLC9A9,"(""SLC9A9"" OR ""AUTS16"" OR ""NHE9"")",66
5231,SLCO1C1,"(""SLCO1C1"" OR ""OATP-F"" OR ""OATP-RP5"" OR ""OATP1"" OR ""OATP14"" OR ""OATP1C1"" OR ""OATPF"" OR ""OATPRP5"" OR ""SLC21A14"")",171
5232,SLCO2A1,"(""SLCO2A1"" OR ""MATR1"" OR ""OATP2A1"" OR ""PGT"" OR ""PHOAD"" OR ""PHOAR2"" OR ""SLC21A2"")",1775
5233,SLCO3A1,"(""SLCO3A1"" OR ""OATP-D"" OR ""OATP-RP3"" OR ""OATP3A1"" OR ""OATPD"" OR ""OATPRP3"" OR ""SLC21A11"")",86
5234,SLFN11,"(""SLFN11"" OR ""SLFN8/9"")",140
5235,SLFN12L,"(""SLFN12L"")",10
5236,SLIT1,"(""SLIT1"" OR ""MEGF4"" OR ""SLIL1"" OR ""SLIT-1"" OR ""SLIT3"")",196
5237,SLIT3,"(""SLIT3"" OR ""MEGF5"" OR ""SLIL2"" OR ""SLIT1"" OR ""Slit-3"" OR ""slit2"")",557
5238,SLITRK2,"(""SLITRK2"" OR ""CXorf1"" OR ""CXorf2"" OR ""SLITL1"" OR ""TMEM257"" OR ""XLID111"")",18
5239,SLITRK5,"(""SLITRK5"" OR ""LRRC11"" OR ""bA364G4.2"")",24
5240,SLITRK6,"(""SLITRK6"" OR ""DFNMYP"")",30
5241,SLN,"(""SLN"")",5873
5242,SLPI,"(""SLPI"" OR ""ALK1"" OR ""ALP"" OR ""BLPI"" OR ""HUSI"" OR ""HUSI-I"" OR ""MPI"" OR ""WAP4"" OR ""WFDC4"")",22299
5243,SLURP1,"(""SLURP1"" OR ""ANUP"" OR ""ARS"" OR ""ArsB"" OR ""LY6-MT"" OR ""LY6LS"" OR ""MDM"")",16437
5244,SLURP2,"(""SLURP2"" OR ""SLURP-2"")",14
5245,SLX1A,"(""SLX1A"" OR ""GIYD1"")",2
5246,SLX4IP,"(""SLX4IP"" OR ""C20orf94"" OR ""bA204H22.1"" OR ""bA254M13.1"" OR ""dJ1099D15.3"")",14
5247,SMAD1,"(""SMAD1"" OR ""BSP-1"" OR ""BSP1"" OR ""JV4-1"" OR ""JV41"" OR ""MADH1"" OR ""MADR1"")",1692
5248,SMAD4,"(""SMAD4"" OR ""DPC4"" OR ""JIP"" OR ""MADH4"" OR ""MYHRS"")",4559
5249,SMAD6,"(""SMAD6"" OR ""AOVD2"" OR ""HsT17432"" OR ""MADH6"" OR ""MADH7"")",379
5250,SMAD9,"(""SMAD9"" OR ""MADH6"" OR ""MADH9"" OR ""PPH2"" OR ""SMAD8"" OR ""SMAD8/9"" OR ""SMAD8A"" OR ""SMAD8B"")",231
5251,SMARCA4,"(""SMARCA4"" OR ""BAF190"" OR ""BAF190A"" OR ""BRG1"" OR ""CSS4"" OR ""MRD16"" OR ""OTSC12"" OR ""RTPS2"" OR ""SNF2"" OR ""SNF2-beta"" OR ""SNF2L4"" OR ""SNF2LB"" OR ""SWI2"" OR ""hSNF2b"")",2544
5252,SMARCC1,"(""SMARCC1"" OR ""BAF155"" OR ""CRACC1"" OR ""HYC5"" OR ""Rsc8"" OR ""SRG3"" OR ""SWI3"")",173
5253,SMARCD3,"(""SMARCD3"" OR ""BAF60C"" OR ""CRACD3"" OR ""Rsc6p"")",65
5254,SMARCE1,"(""SMARCE1"" OR ""BAF57"" OR ""CSS5"")",141
5255,SMC1A,"(""SMC1A"" OR ""CDLS2"" OR ""DEE85"" OR ""DXS423E"" OR ""EIEE85"" OR ""SB1.8"" OR ""SMC1"" OR ""SMC1L1"" OR ""SMC1alpha"" OR ""SMCB"")",444
5256,SMC1B,"(""SMC1B"" OR ""SMC1BETA"" OR ""SMC1L2"")",33
5257,SMC2,"(""SMC2"" OR ""CAP-E"" OR ""CAPE"" OR ""SMC-2"" OR ""SMC2L1"")",39105
5258,SMC3,"(""SMC3"" OR ""BAM"" OR ""BMH"" OR ""CDLS3"" OR ""CSPG6"" OR ""HCAP"" OR ""SMC3L1"")",3319
5259,SMC4,"(""SMC4"" OR ""CAP-C"" OR ""CAPC"" OR ""SMC-4"" OR ""SMC4L1"")",228
5260,SMG8,"(""SMG8"" OR ""ALKUS"" OR ""C17orf71"")",18
5261,SMIM14,"(""SMIM14"" OR ""C4orf34"")",4
5262,SMIM22,"(""SMIM22"" OR ""CASIMO1"")",2
5263,SMIM24,"(""SMIM24"" OR ""C19orf77"" OR ""HSPC323"" OR ""MARDI"")",280
5264,SMIM3,"(""SMIM3"" OR ""C5orf62"" OR ""MST150"" OR ""NID67"")",8
5265,SMKR1,"(""SMKR1"")",2
5266,SMN1,"(""SMN1"" OR ""BCD541"" OR ""GEMIN1"" OR ""SMA"" OR ""SMA1"" OR ""SMA2"" OR ""SMA3"" OR ""SMA4"" OR ""SMA@"" OR ""SMN"" OR ""SMNT"" OR ""T-BCD541"" OR ""TDRD16A"")",20296
5267,SMS,"(""SMS"" OR ""MRSR"" OR ""MRXSSR"" OR ""SPMSY"" OR ""SRS"" OR ""SpS"")",24817
5268,SMTN,"(""SMTN"")",100
5269,SMTNL2,"(""SMTNL2"")",8
5270,SMURF2,"(""SMURF2"")",288
5271,SMYD1,"(""SMYD1"" OR ""BOP"" OR ""KMT3D"" OR ""ZMYND18"" OR ""ZMYND22"")",3055
5272,SMYD3,"(""SMYD3"" OR ""KMT3E"" OR ""ZMYND1"" OR ""ZNFN3A1"" OR ""bA74P14.1"")",195
5273,SNAI1,"(""SNAI1"" OR ""SLUGH2"" OR ""SNA"" OR ""SNAH"" OR ""SNAIL"" OR ""SNAIL1"" OR ""dJ710H13.1"")",12579
5274,SNAP23,"(""SNAP23"" OR ""HsT17016"" OR ""SNAP-23"" OR ""SNAP23A"" OR ""SNAP23B"")",260
5275,SNAP25,"(""SNAP25"" OR ""CMS18"" OR ""RIC-4"" OR ""RIC4"" OR ""SEC9"" OR ""SNAP"" OR ""SNAP-25"" OR ""SUP"" OR ""bA416N4.2"" OR ""dJ1068F16.2"")",9881
5276,SNAPC3,"(""SNAPC3"" OR ""PTFbeta"" OR ""SNAP50"")",19
5277,SNAPIN,"(""SNAPIN"" OR ""BLOC1S7"" OR ""BLOS7"" OR ""BORCS3"" OR ""SNAPAP"")",71
5278,SNCA,"(""SNCA"" OR ""NACP"" OR ""PARK1"" OR ""PARK4"" OR ""PD1"")",22026
5279,SNCG,"(""SNCG"" OR ""BCSG1"" OR ""SR"")",46026
5280,SND1,"(""SND1"" OR ""TDRD11"" OR ""TSN"" OR ""Tudor-SN"" OR ""p100"")",2967
5281,SNPH,"(""SNPH"")",50
5282,SNRK,"(""SNRK"" OR ""HSNFRK"")",26
5283,SNRNP25,"(""SNRNP25"" OR ""C16orf33"")",4
5284,SNRNP70,"(""SNRNP70"" OR ""RNPU1Z"" OR ""RPU1"" OR ""SNRP70"" OR ""Snp1"" OR ""U1-70K"" OR ""U170K"" OR ""U1AP"" OR ""U1RNP"")",636
5285,SNRPA,"(""SNRPA"" OR ""Mud1"" OR ""U1-A"" OR ""U1A"")",270
5286,SNRPB2,"(""SNRPB2"" OR ""Msl1"" OR ""U2B''"")",85
5287,SNRPD1,"(""SNRPD1"" OR ""HsT2456"" OR ""SMD1"" OR ""SNRPD"" OR ""Sm-D1"")",107
5288,SNRPE,"(""SNRPE"" OR ""HYPT11"" OR ""SME"" OR ""Sm-E"" OR ""snRNP-E"")",1076
5289,SNRPF,"(""SNRPF"" OR ""SMF"" OR ""Sm-F"" OR ""snRNP-F"")",854
5290,SNRPG,"(""SNRPG"" OR ""SMG"" OR ""Sm-G"")",2566
5291,SNRPN,"(""SNRPN"" OR ""HCERN3"" OR ""PWCR"" OR ""RT-LI"" OR ""SM-D"" OR ""SMN"" OR ""SNRNP-N"" OR ""SNURF-SNRPN"" OR ""sm-N"")",3660
5292,SNTA1,"(""SNTA1"" OR ""LQT12"" OR ""SNT1"" OR ""TACIP1"" OR ""dJ1187J4.5"")",54
5293,SNTG2,"(""SNTG2"" OR ""G2SYN"" OR ""SYN5"")",23
5294,SNUPN,"(""SNUPN"" OR ""KPNBL"" OR ""LGMDR29"" OR ""RNUT1"" OR ""Snurportin1"")",46
5295,SNX15,"(""SNX15"" OR ""HSAF001435"")",13
5296,SNX2,"(""SNX2"" OR ""TRG-9"")",58
5297,SNX21,"(""SNX21"" OR ""C20orf161"" OR ""PP3993"" OR ""SNX-L"" OR ""SNXL"" OR ""dJ337O18.4"")",5
5298,SNX22,"(""SNX22"")",4
5299,SNX6,"(""SNX6"" OR ""MSTP010"" OR ""TFAF2"")",46
5300,SOCS2,"(""SOCS2"" OR ""CIS2"" OR ""Cish2"" OR ""SOCS-2"" OR ""SSI-2"" OR ""SSI2"" OR ""STATI2"")",579
5301,SOCS3,"(""SOCS3"" OR ""ATOD4"" OR ""CIS3"" OR ""Cish3"" OR ""SOCS-3"" OR ""SSI-3"" OR ""SSI3"")",2326
5302,SOCS6,"(""SOCS6"" OR ""CIS-4"" OR ""CIS4"" OR ""HSPC060"" OR ""SOCS-4"" OR ""SOCS-6"" OR ""SOCS4"" OR ""SSI4"" OR ""STAI4"" OR ""STATI4"")",530
5303,SOD3,"(""SOD3"" OR ""EC-SOD"")",691
5304,SORBS1,"(""SORBS1"" OR ""CAP"" OR ""FLAF2"" OR ""R85FL"" OR ""SH3D5"" OR ""SH3P12"" OR ""SORB1"")",33373
5305,SORBS3,"(""SORBS3"" OR ""SCAM-1"" OR ""SCAM1"" OR ""SH3D4"")",54
5306,SORCS3,"(""SORCS3"" OR ""SORCS"")",39
5307,SORD,"(""SORD"" OR ""HEL-S-95n"" OR ""HMNR8"" OR ""RDH"" OR ""SDH"" OR ""SORD1"" OR ""SORDD"" OR ""XDH"")",4816
5308,SORL1,"(""SORL1"" OR ""C11orf32"" OR ""LR11"" OR ""LRP9"" OR ""SORLA"" OR ""SorLA-1"" OR ""gp250"")",478
5309,SOWAHA,"(""SOWAHA"" OR ""ANKRD43"")",3
5310,SOWAHB,"(""SOWAHB"" OR ""ANKRD56"")",6
5311,SOWAHC,"(""SOWAHC"" OR ""ANKRD57"" OR ""C2orf26"")",8
5312,SOX10,"(""SOX10"" OR ""DOM"" OR ""PCWH"" OR ""SOX-10"" OR ""WS2E"" OR ""WS4"" OR ""WS4C"")",6065
5313,SOX11,"(""SOX11"" OR ""CSS9"" OR ""IDDMOH"" OR ""MRD27"")",438
5314,SOX12,"(""SOX12"" OR ""SOX22"")",65
5315,SOX17,"(""SOX17"" OR ""VUR3"")",637
5316,SOX18,"(""SOX18"" OR ""HLTRS"" OR ""HLTS"")",205
5317,SOX2,"(""SOX2"" OR ""ANOP3"" OR ""MCOPS3"")",6720
5318,SOX4,"(""SOX4"" OR ""CSS10"" OR ""EVI16"")",677
5319,SOX5,"(""SOX5"" OR ""L-SOX5"" OR ""L-SOX5B"" OR ""L-SOX5F"" OR ""LAMSHF"")",316
5320,SOX7,"(""SOX7"")",137
5321,SOX9,"(""SOX9"" OR ""CMD1"" OR ""CMPD1"" OR ""SRA1"" OR ""SRXX2"" OR ""SRXY10"")",3773
5322,SP100,"(""SP100"" OR ""lysp100b"")",408
5323,SP110,"(""SP110"" OR ""IFI41"" OR ""IFI75"" OR ""IPR1"" OR ""VODI"")",142
5324,SP140,"(""SP140"" OR ""LYSP100"" OR ""LYSP100-A"" OR ""LYSP100-B"")",57
5325,SP6,"(""SP6"" OR ""AI1K"" OR ""EPFN"" OR ""EPIPROFIN"" OR ""KLF14"")",734
5326,SPA17,"(""SPA17"" OR ""CT22"" OR ""SP17"" OR ""SP17-1"")",134
5327,SPACA1,"(""SPACA1"" OR ""SAMP32"" OR ""SPGF85"")",25
5328,SPAG1,"(""SPAG1"" OR ""CILD28"" OR ""CT140"" OR ""DNAAF13"" OR ""HEL-S-268"" OR ""HSD-3.8"" OR ""SP75"" OR ""TPIS"")",113
5329,SPAG4,"(""SPAG4"" OR ""CT127"" OR ""SUN4"")",45
5330,SPAG5,"(""SPAG5"" OR ""DEEPEST"" OR ""MAP126"" OR ""hMAP126"")",2349
5331,SPAG6,"(""SPAG6"" OR ""CFAP194"" OR ""CT141"" OR ""FAP194"" OR ""Repro-SA-1"" OR ""pf16"")",56
5332,SPAG8,"(""SPAG8"" OR ""BS-84"" OR ""CILD28"" OR ""CT142"" OR ""HSD-1"" OR ""SMP1"" OR ""SPAG3"" OR ""hSMP-1"")",206
5333,SPARCL1,"(""SPARCL1"" OR ""MAST 9"" OR ""MAST9"" OR ""PIG33"" OR ""SC1"")",1590
5334,SPATA17,"(""SPATA17"" OR ""CFAP305"" OR ""FAP305"" OR ""IQCH"" OR ""MOT17"" OR ""MSRG-11"" OR ""MSRG11"")",21
5335,SPATA2,"(""SPATA2"" OR ""PD1"" OR ""PPP1R145"" OR ""tamo"")",18897
5336,SPATA22,"(""SPATA22"" OR ""NYD-SP20"" OR ""NYDSP20"" OR ""POF25"" OR ""SPGF96"")",11
5337,SPATA24,"(""SPATA24"" OR ""CCDC161"" OR ""T6441"")",2
5338,SPATA25,"(""SPATA25"" OR ""C20orf165"" OR ""TSG23"" OR ""dJ337O18.8"")",1
5339,SPATA7,"(""SPATA7"" OR ""HEL-S-296"" OR ""HSD-3.1"" OR ""HSD3"" OR ""LCA3"" OR ""RP94"")",157
5340,SPATS2,"(""SPATS2"" OR ""Nbla00526"" OR ""P59SCR"" OR ""SCR59"" OR ""SPATA10"")",11
5341,SPC24,"(""SPC24"" OR ""SPBC24"")",38
5342,SPC25,"(""SPC25"" OR ""AD024"" OR ""SPBC25"" OR ""hSpc25"")",62
5343,SPCS1,"(""SPCS1"" OR ""HSPC033"" OR ""SPC1"" OR ""SPC12"" OR ""YJR010C-A"")",47
5344,SPDEF,"(""SPDEF"" OR ""PDEF"" OR ""bA375E1.3"")",235
5345,SPDL1,"(""SPDL1"" OR ""CCDC99"")",304
5346,SPDYC,"(""SPDYC"" OR ""RINGOC"" OR ""Ringo2"" OR ""SPDYE4"")",4
5347,SPDYE2,"(""SPDYE2"" OR ""SPDYB2-L1"" OR ""SPDYB2L1"")",1
5348,SPDYE3,"(""SPDYE3"" OR ""SPDYB2"")",0
5349,SPEG,"(""SPEG"" OR ""APEG-1"" OR ""APEG1"" OR ""BPEG"" OR ""CNM5"" OR ""MYLK6"" OR ""SPEGalpha"" OR ""SPEGbeta"")",187
5350,SPIB,"(""SPIB"" OR ""SPI-B"")",200
5351,SPICE1,"(""SPICE1"" OR ""CCDC52"" OR ""SPICE"")",2246
5352,SPINK1,"(""SPINK1"" OR ""PCTT"" OR ""PSTI"" OR ""Spink3"" OR ""TATI"" OR ""TCP"")",6337
5353,SPINK6,"(""SPINK6"" OR ""BUSI2"" OR ""UNQ844"")",20
5354,SPINK7,"(""SPINK7"" OR ""ECG2"" OR ""ECRG2"")",56
5355,SPINT1,"(""SPINT1"" OR ""HAI"" OR ""HAI1"" OR ""MANSC2"")",8959
5356,SPIRE2,"(""SPIRE2"" OR ""Spir-2"")",18
5357,SPN,"(""SPN"" OR ""CD43"" OR ""GALGP"" OR ""GPL115"" OR ""LEU-22"" OR ""LSN"")",3248
5358,SPNS1,"(""SPNS1"" OR ""HSpin1"" OR ""LAT"" OR ""PP2030"" OR ""SLC62A1"" OR ""SLC63A1"" OR ""SPIN1"" OR ""SPINL"" OR ""nrs"")",21909
5359,SPOPL,"(""SPOPL"" OR ""BTBD33"")",8
5360,SPP1,"(""SPP1"" OR ""BNSP"" OR ""BSPI"" OR ""ETA-1"" OR ""OPN"")",5854
5361,SPR,"(""SPR"" OR ""SDR38C1"")",5728
5362,SPRING1,"(""SPRING1"" OR ""C12orf49"" OR ""LUR1"" OR ""POST1"" OR ""SPRING"")",54295
5363,SPRN,"(""SPRN"" OR ""SHADOO"" OR ""SHO"" OR ""bA108K14.1"")",1555
5364,SPRY1,"(""SPRY1"" OR ""hSPRY1"")",194
5365,SPRY2,"(""SPRY2"" OR ""IGAN3"" OR ""hSPRY2"")",336
5366,SPSB2,"(""SPSB2"" OR ""GRCC9"" OR ""SSB2"")",41
5367,SPSB3,"(""SPSB3"" OR ""C16orf31"" OR ""SSB3"")",19
5368,SPSB4,"(""SPSB4"" OR ""SSB-4"" OR ""SSB4"")",17
5369,SPTA1,"(""SPTA1"" OR ""EL2"" OR ""HPP"" OR ""HS3"" OR ""SPH3"" OR ""SPTA"")",2059
5370,SPTBN1,"(""SPTBN1"" OR ""DDISBA"" OR ""ELF"" OR ""HEL102"" OR ""SPTB2"" OR ""betaSpII"")",2683
5371,SPTBN2,"(""SPTBN2"" OR ""GTRAP41"" OR ""SCA5"" OR ""SCAR14"")",129
5372,SPTLC1,"(""SPTLC1"" OR ""ALS27"" OR ""HSAN1"" OR ""HSN1"" OR ""LBC1"" OR ""LCB1"" OR ""SPT1"" OR ""SPTI"")",246
5373,SPTLC2,"(""SPTLC2"" OR ""HSN1C"" OR ""LCB2"" OR ""LCB2A"" OR ""NSAN1C"" OR ""SPT2"" OR ""hLCB2a"")",134
5374,SPTSSB,"(""SPTSSB"" OR ""ADMP"" OR ""C3orf57"" OR ""SSSPTB"")",35
5375,SPTY2D1,"(""SPTY2D1"" OR ""Spt2"")",29
5376,SPX,"(""SPX"" OR ""C12orf39"" OR ""SPX1"")",237
5377,SQLE,"(""SQLE"")",197
5378,SRC,"(""SRC"" OR ""ASV"" OR ""SRC1"" OR ""THC6"" OR ""c-SRC"" OR ""p60-Src"")",29196
5379,SRCAP,"(""SRCAP"" OR ""DEHMBA"" OR ""DOMO1"" OR ""EAF1"" OR ""FLHS"" OR ""SWR1"")",213
5380,SRCIN1,"(""SRCIN1"" OR ""P140"" OR ""SNIP"")",1057
5381,SRD5A1,"(""SRD5A1"" OR ""S5AR 1"")",869
5382,SRD5A2,"(""SRD5A2"")",492
5383,SRD5A3,"(""SRD5A3"" OR ""CDG1P"" OR ""CDG1Q"" OR ""KRIZI"" OR ""S5AR"" OR ""S5AR 3"" OR ""SRD5A2L"" OR ""SRD5A2L1"")",1410
5384,SREBF1,"(""SREBF1"" OR ""HMD"" OR ""IFAP2"" OR ""SREBP1"" OR ""bHLHd1"")",3211
5385,SRGN,"(""SRGN"" OR ""PPG"" OR ""PRG"" OR ""PRG1"")",4397
5386,SRP19,"(""SRP19"")",68
5387,SRP54,"(""SRP54"" OR ""SCN8"")",110
5388,SRP72,"(""SRP72"" OR ""BMFF"" OR ""BMFS1"" OR ""HEL103"")",76
5389,SRP9,"(""SRP9"" OR ""ALURBP"")",54
5390,SRPK2,"(""SRPK2"" OR ""SFRSK2"")",80
5391,SRPK3,"(""SRPK3"" OR ""MSSK-1"" OR ""MSSK1"" OR ""STK23"" OR ""XLID114"")",10
5392,SRPRB,"(""SRPRB"" OR ""APMCF1"" OR ""SR-beta"")",35
5393,SRPX2,"(""SRPX2"" OR ""BPP"" OR ""CBPS"" OR ""PMGX"" OR ""RESDX"" OR ""SRPUL"")",955
5394,SRRM2,"(""SRRM2"" OR ""300-KD"" OR ""CWF21"" OR ""Cwc21"" OR ""HSPC075"" OR ""MRD72"" OR ""SRL300"" OR ""SRm300"")",135
5395,SRRT,"(""SRRT"" OR ""ARS2"" OR ""ASR2"" OR ""serrate"")",941
5396,SRSF1,"(""SRSF1"" OR ""ASF"" OR ""NEDFBA"" OR ""SF2"" OR ""SF2p33"" OR ""SFRS1"" OR ""SRp30a"")",2557
5397,SRSF11,"(""SRSF11"" OR ""NET2"" OR ""SFRS11"" OR ""dJ677H15.2"" OR ""p54"")",489
5398,SRSF5,"(""SRSF5"" OR ""HRS"" OR ""SFRS5"" OR ""SRP40"")",32439
5399,SRXN1,"(""SRXN1"" OR ""C20orf139"" OR ""Npn3"" OR ""SRX"" OR ""SRX1"")",220
5400,SSR1,"(""SSR1"" OR ""TRAPA"")",93
5401,SSR4,"(""SSR4"" OR ""CDG1Y"" OR ""TRAPD"")",56
5402,SSTR1,"(""SSTR1"" OR ""SRIF-2"" OR ""SS-1-R"" OR ""SS1-R"" OR ""SS1R"" OR ""SST1"")",625
5403,SSTR2,"(""SSTR2"" OR ""SST2"")",2225
5404,SSTR3,"(""SSTR3"" OR ""SS-3-R"" OR ""SS3-R"" OR ""SS3R"" OR ""SSR-28"" OR ""SST3"")",399
5405,SSX2IP,"(""SSX2IP"" OR ""ADIP"" OR ""hMsd1"")",53
5406,ST14,"(""ST14"" OR ""ARCI11"" OR ""CAP3"" OR ""HAI"" OR ""MT-SP1"" OR ""MTSP1"" OR ""PRSS14"" OR ""SNC19"" OR ""TADG15"" OR ""TMPRSS14"")",9392
5407,ST3GAL3,"(""ST3GAL3"" OR ""DEE15"" OR ""EIEE15"" OR ""MRT12"" OR ""SIAT6"" OR ""ST3GALII"" OR ""ST3Gal III"" OR ""ST3GalIII"" OR ""ST3N"")",124
5408,ST3GAL4,"(""ST3GAL4"" OR ""CGS23"" OR ""NANTA3"" OR ""SAT3"" OR ""SIAT4"" OR ""SIAT4C"" OR ""ST-4"" OR ""ST3GalA.2"" OR ""ST3GalIV"" OR ""STZ"" OR ""gal-NAc6S"")",2689
5409,ST6GAL1,"(""ST6GAL1"" OR ""CDw75"" OR ""SIAT1"" OR ""ST6GalI"" OR ""ST6N"")",452
5410,ST6GAL2,"(""ST6GAL2"" OR ""SIAT2"" OR ""ST6GalII"")",18
5411,ST6GALNAC5,"(""ST6GALNAC5"" OR ""SIAT7-E"" OR ""SIAT7E"" OR ""ST6GalNAcV"")",34
5412,STAB1,"(""STAB1"" OR ""CLEVER-1"" OR ""FEEL-1"" OR ""FEEL1"" OR ""FELE-1"" OR ""FEX1"" OR ""HRFT"" OR ""SCARH2"" OR ""STAB-1"")",188
5413,STAB2,"(""STAB2"" OR ""FEEL2"" OR ""FELE-2"" OR ""FELL2"" OR ""FEX2"" OR ""HARE"" OR ""SCARH1"")",4878
5414,STAC,"(""STAC"" OR ""STAC1"")",114
5415,STAC2,"(""STAC2"" OR ""24b2"" OR ""24b2/STAC2"")",12
5416,STAMBP,"(""STAMBP"" OR ""AMSH"" OR ""MICCAP"")",119
5417,STAP1,"(""STAP1"" OR ""BRDG1"" OR ""STAP-1"")",51
5418,STAP2,"(""STAP2"" OR ""BKS"")",344
5419,STARD10,"(""STARD10"" OR ""CGI-52"" OR ""NY-CO-28"" OR ""PCTP2"" OR ""SDCCAG28"")",18
5420,STARD7,"(""STARD7"" OR ""ADCME"" OR ""BAFME2"" OR ""FAME"" OR ""FAME2"" OR ""FCMTE2"" OR ""GTT1"")",1294
5421,STARD9,"(""STARD9"" OR ""KIF16A"")",17
5422,STAT1,"(""STAT1"" OR ""CANDF7"" OR ""IMD31A"" OR ""IMD31B"" OR ""IMD31C"" OR ""ISGF-3"" OR ""STAT91"")",8256
5423,STAT3,"(""STAT3"" OR ""ADMIO"" OR ""ADMIO1"" OR ""APRF"" OR ""HIES"")",23902
5424,STAT4,"(""STAT4"" OR ""DPMC"" OR ""SLEB11"")",1280
5425,STAT5A,"(""STAT5A"" OR ""MGF"" OR ""STAT5"")",5702
5426,STAT6,"(""STAT6"" OR ""D12S1644"" OR ""HIES6"" OR ""IL-4-STAT"" OR ""STAT6B"" OR ""STAT6C"")",2551
5427,STAU1,"(""STAU1"" OR ""PPP1R150"" OR ""STAU"")",207
5428,STAU2,"(""STAU2"" OR ""39K2"" OR ""39K3"")",44
5429,STBD1,"(""STBD1"" OR ""GENEX3414"" OR ""GENX-3414"")",20
5430,STC2,"(""STC2"" OR ""STC-2"" OR ""STCRP"")",275
5431,STEAP4,"(""STEAP4"" OR ""STAMP2"" OR ""SchLAH"" OR ""TIARP"" OR ""TNFAIP9"")",110
5432,STIL,"(""STIL"" OR ""MCPH7"" OR ""SIL"")",6680
5433,STIP1,"(""STIP1"" OR ""HEL-S-94n"" OR ""HOP"" OR ""IEF-SSP-3521"" OR ""P60"" OR ""STI1"" OR ""STI1L"")",38599
5434,STK11,"(""STK11"" OR ""LKB1"" OR ""PJS"" OR ""hLKB1"")",3394
5435,STK26,"(""STK26"" OR ""MASK"" OR ""MST4"")",28600
5436,STK3,"(""STK3"" OR ""KRS1"" OR ""MST2"")",327
5437,STK32A,"(""STK32A"" OR ""YANK1"")",6
5438,STK39,"(""STK39"" OR ""DCHT"" OR ""PASK"" OR ""SPAK"")",818
5439,STK4,"(""STK4"" OR ""KRS2"" OR ""MST1"" OR ""YSK3"")",812
5440,STMN1,"(""STMN1"" OR ""C1orf215"" OR ""LAP18"" OR ""Lag"" OR ""OP18"" OR ""PP17"" OR ""PP19"" OR ""PR22"" OR ""SMN"")",31661
5441,STON1,"(""STON1"" OR ""SALF"" OR ""SBLF"" OR ""STN1"" OR ""STNB1"")",185
5442,STON2,"(""STON2"" OR ""STN2"" OR ""STNB"" OR ""STNB2"")",30
5443,STOX2,"(""STOX2"")",4
5444,STRA6,"(""STRA6"" OR ""MCOPCB8"" OR ""MCOPS9"" OR ""PP14296"")",136
5445,STRADA,"(""STRADA"" OR ""LYK5"" OR ""NY-BR-96"" OR ""PMSE"" OR ""STRAD"" OR ""STRAD alpha"" OR ""Stlk"")",2891
5446,STRAP,"(""STRAP"" OR ""MAWD"" OR ""PT-WD"" OR ""UNRIP"")",1526
5447,STRBP,"(""STRBP"" OR ""HEL162"" OR ""ILF3L"" OR ""SPNR"" OR ""p74"")",146
5448,STRC,"(""STRC"" OR ""DFNB16"")",132
5449,STT3A,"(""STT3A"" OR ""CDG1WAD"" OR ""CDG1WAR"" OR ""ITM1"" OR ""STT3-A"" OR ""TMC"")",14975
5450,STT3B,"(""STT3B"" OR ""CDG1X"" OR ""SIMP"" OR ""STT3-B"")",122
5451,STX11,"(""STX11"" OR ""FHL4"" OR ""HLH4"" OR ""HPLH4"")",129
5452,STX16,"(""STX16"" OR ""SYN-16"" OR ""SYN16"")",94
5453,STX17,"(""STX17"")",157
5454,STX1B,"(""STX1B"" OR ""GEFSP9"" OR ""STX1B1"" OR ""STX1B2"")",57
5455,STX2,"(""STX2"" OR ""EPIM"" OR ""EPM"" OR ""STX2A"" OR ""STX2B"" OR ""STX2C"")",5001
5456,STX6,"(""STX6"")",63
5457,STXBP1,"(""STXBP1"" OR ""DEE4"" OR ""MUNC18-1"" OR ""N-Sec1"" OR ""NSEC1"" OR ""P67"" OR ""RBSEC1"" OR ""UNC18"" OR ""unc-18A"" OR ""unc18-1"")",1154
5458,STXBP3,"(""STXBP3"" OR ""MUNC18-3"" OR ""MUNC18C"" OR ""PSP"" OR ""UNC-18C"")",5508
5459,STXBP5L,"(""STXBP5L"" OR ""LLGL4"")",17
5460,STXBP6,"(""STXBP6"" OR ""HSPC156"" OR ""amisyn"")",28
5461,STYK1,"(""STYK1"" OR ""NOK"" OR ""SuRTK106"")",658
5462,STYXL1,"(""STYXL1"" OR ""DUSP24"" OR ""MK-STYX"" OR ""MKSTYX"")",30
5463,SUB1,"(""SUB1"" OR ""P15"" OR ""PC4"" OR ""p14"")",7332
