PYCR3	NUDCD1	C8orf76	GDF6	FGFBP3	SHARPIN	POP1	GFUS	SYBU	TRHR
SCG2	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR8U1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCNX1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCDHA10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR1L6	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD14	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDK5R2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB24	NA	NA	NA	NA	NA	NA	NA	NA	NA
COL3A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR2B2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNX7	NA	NA	NA	NA	NA	NA	NA	NA	NA
KNDC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FASN	NA	NA	NA	NA	NA	NA	NA	NA	NA
RETREG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNFT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
P2RY1	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGT2B7	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGT1A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR2AT4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP6V1E2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD2BP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF439	NA	NA	NA	NA	NA	NA	NA	NA	NA
SOCS5	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM56	NA	NA	NA	NA	NA	NA	NA	NA	NA
CKAP2L	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGT2B4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRP9	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC6A19	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1PR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
COG7	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNNM3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAVIN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRPL39	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STX18	NA	NA	NA	NA	NA	NA	NA	NA	NA
TM4SF4	NA	NA	NA	NA	NA	NA	NA	NA	NA
NMUR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KMT5B	NA	NA	NA	NA	NA	NA	NA	NA	NA
UTF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPP4R4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLCO1A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR10H2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEP89	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKCE	NA	NA	NA	NA	NA	NA	NA	NA	NA
DRD5	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRM5	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL7R	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANTXR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLAMF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRT78	NA	NA	NA	NA	NA	NA	NA	NA	NA
PWWP2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM135	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF3	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF187	NA	NA	NA	NA	NA	NA	NA	NA	NA
ODAD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR37	NA	NA	NA	NA	NA	NA	NA	NA	NA
DESI2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASPSCR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC9C1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RGPD8	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5B12	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADRA1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBKS	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM126A	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRND	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR1N1	NA	NA	NA	NA	NA	NA	NA	NA	NA
YEATS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DEGS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTNND2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEX37	NA	NA	NA	NA	NA	NA	NA	NA	NA
DONSON	NA	NA	NA	NA	NA	NA	NA	NA	NA
BPTF	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF2AK3	NA	NA	NA	NA	NA	NA	NA	NA	NA
P2RY12	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPTOR	NA	NA	NA	NA	NA	NA	NA	NA	NA
HCN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SHE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC22A25	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPTX1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SDR16C5	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPS50	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTR1E	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRF3	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLUL	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
METTL18	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TADA2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNCB	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR10P1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP6V0A4	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR3	NA	NA	NA	NA	NA	NA	NA	NA	NA
COMMD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEC16B	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEMD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR171	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARL10	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEPCE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNHIT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RHOD	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAL3ST3	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR10AD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCP11	NA	NA	NA	NA	NA	NA	NA	NA	NA
SULT1B1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC19A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR148	NA	NA	NA	NA	NA	NA	NA	NA	NA
HLTF	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCPIP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TSPAN17	NA	NA	NA	NA	NA	NA	NA	NA	NA
CATSPER1	NA	NA	NA	NA	NA	NA	NA	NA	NA
B4GAT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSUN5	NA	NA	NA	NA	NA	NA	NA	NA	NA
RCE1	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE3C	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF680	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLCF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD164	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLTB	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZDHHC24	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSMD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACO1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKACA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAP3K11	NA	NA	NA	NA	NA	NA	NA	NA	NA
METTL2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
XXYLT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLIS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH3PXD2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPED1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRGPRF	NA	NA	NA	NA	NA	NA	NA	NA	NA
NARF	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPNS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNIH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD34	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAOK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALG10B	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSMD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC5A6	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR152	NA	NA	NA	NA	NA	NA	NA	NA	NA
P2RY2	NA	NA	NA	NA	NA	NA	NA	NA	NA
XCR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RIN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR7D4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEC22A	NA	NA	NA	NA	NA	NA	NA	NA	NA
LCLAT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSMC5	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOBEC4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
B4GALT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP7B1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX23	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR1L1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5J2	NA	NA	NA	NA	NA	NA	NA	NA	NA
THAP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFT2D3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP70	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTSF	NA	NA	NA	NA	NA	NA	NA	NA	NA
FANCI	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAL	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPARD	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHYKPL	NA	NA	NA	NA	NA	NA	NA	NA	NA
NAGPA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP4A11	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSMA8	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM59	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLCO2A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG4D	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPP2R1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB6A	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR10AG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KICS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR162	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPSB4	NA	NA	NA	NA	NA	NA	NA	NA	NA
NIPAL4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CMKLR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNTG2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DAW1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAVCR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD7	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBXN2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNS3	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF507	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR2Y1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPM1E	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARV1	NA	NA	NA	NA	NA	NA	NA	NA	NA
COQ10A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM70	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM134	NA	NA	NA	NA	NA	NA	NA	NA	NA
GH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM72	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEP295NL	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFT80	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNK10	NA	NA	NA	NA	NA	NA	NA	NA	NA
HNF4A	NA	NA	NA	NA	NA	NA	NA	NA	NA
PABPC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NIPSNAP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNX14	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPHP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNASEH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PANK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DAB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP10B	NA	NA	NA	NA	NA	NA	NA	NA	NA
CC2D1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALS2CL	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPHK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEPHL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLPTM1L	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM94	NA	NA	NA	NA	NA	NA	NA	NA	NA
OAZ3	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR2AE1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR75	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR88	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR10Q1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GALNT14	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAGEB18	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGSH	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZHX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPFIBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL1RAP	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAGEF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GJD4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGPP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CALML3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARL6IP6	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASPRV1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNMBP	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHAF1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCNG2	NA	NA	NA	NA	NA	NA	NA	NA	NA
AHCYL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPY19L2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TLN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYNE4	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE2N	NA	NA	NA	NA	NA	NA	NA	NA	NA
FARS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DEGS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FCAMR	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNGB3	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSBPL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PVRIG	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM270	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGEF4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC17A8	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLK4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNRNP200	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC36A4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHST13	NA	NA	NA	NA	NA	NA	NA	NA	NA
RABGGTB	NA	NA	NA	NA	NA	NA	NA	NA	NA
RECQL5	NA	NA	NA	NA	NA	NA	NA	NA	NA
STX4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEP57	NA	NA	NA	NA	NA	NA	NA	NA	NA
EEA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ROCK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
WASHC5	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC5R	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCMH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BLOC1S4	NA	NA	NA	NA	NA	NA	NA	NA	NA
EDEM3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKRA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZDHHC22	NA	NA	NA	NA	NA	NA	NA	NA	NA
PROM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TENT5A	NA	NA	NA	NA	NA	NA	NA	NA	NA
AQP10	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF513	NA	NA	NA	NA	NA	NA	NA	NA	NA
FDCSP	NA	NA	NA	NA	NA	NA	NA	NA	NA
INTS3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUBB6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AQP11	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPO	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR10H4	NA	NA	NA	NA	NA	NA	NA	NA	NA
FMN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA13	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNMA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GEN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSUN3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC71	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM45A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAMK2G	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAP2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYBRD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRBOX5	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNMB3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TSPAN16	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCND3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SULT1C2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CXCR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR89A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF687	NA	NA	NA	NA	NA	NA	NA	NA	NA
DEF6	NA	NA	NA	NA	NA	NA	NA	NA	NA
BBX	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC16A6	NA	NA	NA	NA	NA	NA	NA	NA	NA
CACNB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGAP33	NA	NA	NA	NA	NA	NA	NA	NA	NA
LYPLA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR4D11	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC9A9	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEPRO	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSBPL1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5AN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FARSA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFT22	NA	NA	NA	NA	NA	NA	NA	NA	NA
P2RY13	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM3A	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAXDC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLCO3A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC89	NA	NA	NA	NA	NA	NA	NA	NA	NA
YARS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
EML4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC25A36	NA	NA	NA	NA	NA	NA	NA	NA	NA
GDPD4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASB8	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRI1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RCHY1	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL23R	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC34A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKZF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKFN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD23	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRELD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
B3GNT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAIM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG4C	NA	NA	NA	NA	NA	NA	NA	NA	NA
FADS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OLFML3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMTC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PORCN	NA	NA	NA	NA	NA	NA	NA	NA	NA
COQ7	NA	NA	NA	NA	NA	NA	NA	NA	NA
RRS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUFV1	NA	NA	NA	NA	NA	NA	NA	NA	NA
C3orf38	NA	NA	NA	NA	NA	NA	NA	NA	NA
PELI3	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMGCS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5AK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTR1F	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACOT4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZKSCAN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DAND5	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD6	NA	NA	NA	NA	NA	NA	NA	NA	NA
POC1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5M8	NA	NA	NA	NA	NA	NA	NA	NA	NA
UTS2R	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC2A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR8H1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5T3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTC39C	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED14	NA	NA	NA	NA	NA	NA	NA	NA	NA
UCP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARL14	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR8K5	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKAG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
P2RY11	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXJ1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM25	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM55	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRPM8	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR8H3	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR8H2	NA	NA	NA	NA	NA	NA	NA	NA	NA
OXTR	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRAPPC12	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZYX	NA	NA	NA	NA	NA	NA	NA	NA	NA
NAPG	NA	NA	NA	NA	NA	NA	NA	NA	NA
CABP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
COPG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCAPD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF569	NA	NA	NA	NA	NA	NA	NA	NA	NA
HADHB	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKD2L1	NA	NA	NA	NA	NA	NA	NA	NA	NA
METAP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAP1S	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF335	NA	NA	NA	NA	NA	NA	NA	NA	NA
CERS5	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMC8	NA	NA	NA	NA	NA	NA	NA	NA	NA
MICOS10	NA	NA	NA	NA	NA	NA	NA	NA	NA
RUFY1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHCHD5	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF40	NA	NA	NA	NA	NA	NA	NA	NA	NA
CARM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GJC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRN4CL	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP11B2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRE11	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUBA3D	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM39A	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC41A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZBTB11	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD9L	NA	NA	NA	NA	NA	NA	NA	NA	NA
EFCAB11	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR2G3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC25A20	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG16L2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ELMOD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR2G2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSEN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CWF19L1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LMBR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASIC4	NA	NA	NA	NA	NA	NA	NA	NA	NA
GARIN1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
OVCH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR10A7	NA	NA	NA	NA	NA	NA	NA	NA	NA
ORMDL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
C5orf22	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLIP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
RORC	NA	NA	NA	NA	NA	NA	NA	NA	NA
MDH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
