,NCT_ID,Phase,Status,Disease Name,Drug Name,Mechanism of Action,Action Type,Target Approved Name,Target Approved Symbol,Drug Type,Breif Summary,Impact On Cacner Progression,Cancer Type
194,NCT01712009,2,Completed,breast cancer,NAPROXEN,Cyclooxygenase inhibitor,INHIBITOR,prostaglandin-endoperoxide synthase 2,PTGS2,Small molecule,"The primary objective of the study is to estimate the difference in bone pain between breast cancer patients receiving chemotherapy and pegfilgrastim and either no prophylactic intervention, prophylactic naproxen, or prophylactic loratadine.",no,NA
248,NCT02429427,3,Completed,breast cancer,CELECOXIB,Cyclooxygenase-2 inhibitor,INHIBITOR,prostaglandin-endoperoxide synthase 2,PTGS2,Small molecule,"It has been found that the chemical changes that take place in a patient's body during the development of inflammation may provide an environment which stimulates cancer cells. One step in the development of inflammation is the production of certain chemical substances which are important in the formation and spread of tumours. These are called prostaglandins. Cyclo-oxygenase II (COX-2) is an enzyme (a substance that speeds up chemical changes in the body) involved in the production of these prostaglandins and although it is not usually present in most tissues it is made at the sites of inflammation. Celecoxib is a selective Non-Steroidal Anti Inflammatory Drug (NSAID) which works by blocking the action of the COX-2 enzyme, leading to a decrease in the production of prostaglandins and a reduction in inflammation.

The purpose of this study is therefore to find out if celecoxib can be used after breast cancer treatment (chemotherapy and/ or radiotherapy) to reduce inflammation and thus reduce the ability of new tumours to grow and survive.

2590 women with primary breast cancer will be recruited in this study from several locations in the United Kingdom and Germany. Eligible patients will be randomly allocated a treatment group, which can be celecoxib or placebo. Both treatments are taken orally (celecoxib 400mg daily, placebo 2 tablets daily) for a total of 2 years. In addition, hormone receptor positive patients will receive endocrine treatment as per local practice. Patients will prematurely discontinue treatment with celecoxib/placebo if disease progression is confirmed or if patients experience unacceptable toxicity.

Patients will be seen every 6 months for the first 3 years and then off treatment follow-up is carried out annually. Participating patients will also be given the option to take part in the pathology sub-study by donating a sample of the tumour tissue collected at the time of the primary surgery.",yes,NA
251,NCT02463383,0.5,Completed,breast cancer,IBUPROFEN,Cyclooxygenase inhibitor,INHIBITOR,prostaglandin-endoperoxide synthase 2,PTGS2,Small molecule,"Postmenopausal women, stratified by a peroxisome proliferator-activated receptor gamma-2 (PPARG) polymorphism, were given the following treatments in a random order with a 5w wash-out period: a 400mg ibuprofen tablet or a placebo tablet; both treatments were followed after 30min by a single acute dose of 0.4g alcohol per kg bw. Serum estrogen levels were measured before and at three timepoints after alcohol intake. It is hypothesized that the acute decrease in estrogen sulphate and other markers of estrogens after alcohol intake is modulated by ibuprofen and by PPARG genotype.",no,NA
412,NCT04542135,2,Recruiting,breast cancer,SULINDAC,Cyclooxygenase inhibitor,INHIBITOR,prostaglandin-endoperoxide synthase 2,PTGS2,Small molecule,The primary objective of this study is to determine if sulindac at a dose of 150 mg twice a day for 12 months reduces breast density in postmenopausal women at elevated risk of breast cancer when compared to a placebo control.,no,NA
2,NCT00001504,1,Completed,breast cancer,ALITRETINOIN,Retinoid receptor agonist,AGONIST,retinoic acid receptor alpha,RARA,Small molecule,"This is a dosage escalation study to estimate the maximum tolerated dose of 9-cis-retinoic acid given in combination with tamoxifen. Groups of 3 to 6 patients receive oral 9-cis-retinoic acid daily for 4 weeks, after which daily oral tamoxifen is added to the regimen. Patients continue treatment for up to 28 weeks, with tamoxifen continued after the study if medically appropriate.",yes,NA
145,NCT01234337,3,Completed,breast cancer,SORAFENIB,Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR,ret proto-oncogene,RET,Small molecule,"The objective of this phase-III trial is to compare the efficacy and safety of sorafenib in combination with capecitabine versus capecitabine in combination with placebo in the treatment of subjects with locally advanced or metastatic HER2-negative breast cancer who are resistant to or have failed prior taxane and an anthracycline or for whom further anthracycline therapy is not indicated. After signing consent there can be up to 28 days before starting the treatment during which time a number of tests will be carried out which will include tumor evaluations and medical history. The following tests and evaluations will have to be done within 7 days of the start of treatment,on Day 1 of every cycle and at the end of study: Electrocardiogram, blood tests, patient quality of life questionnaires and a complete physical exam and vital signs. Treatment will be given in 21 day cycles with sorafenib/placebo to be taken every day for 21 days and capecitabine to be taken for the first 14 days. Patients will come in weekly for the first 6 weeks and then on Day1 for every cycle after the first 2 cycles. During the weekly visits the subjects will be check for any side effects and blood draws will happen for the study on Day 1 of each cycle. Subjects will be followed for overall survival.",yes,Her2-
11,NCT00003752,2,Completed,breast cancer,BEXAROTENE,Retinoid X receptor agonist,AGONIST,retinoid X receptor beta,RXRB,Small molecule,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Randomized phase II trial to study the effectiveness of bexarotene in treating patients who have metastatic breast cancer.",yes,NA
374,NCT03941743,1,Completed,breast carcinoma,FINGOLIMOD HYDROCHLORIDE,Sphingosine 1-phosphate receptor agonist,AGONIST,sphingosine-1-phosphate receptor 4,S1PR4,Small molecule,This trial phase I studies how well fingolimod works in preventing chemotherapy-induced nerve pain (neuropathy) in patients with breast cancer who are taking paclitaxel. Fingolimod acts by suppressing immune reactions in the brain. This study is being done to see if fingolimod can reduce neuropathy caused by paclitaxel.,no,NA
376,NCT03941743,1,Completed,breast carcinoma,FINGOLIMOD,Sphingosine 1-phosphate receptor binding agent,BINDING AGENT,sphingosine-1-phosphate receptor 5,S1PR5,Small molecule,This trial phase I studies how well fingolimod works in preventing chemotherapy-induced nerve pain (neuropathy) in patients with breast cancer who are taking paclitaxel. Fingolimod acts by suppressing immune reactions in the brain. This study is being done to see if fingolimod can reduce neuropathy caused by paclitaxel.,no,NA
341,NCT03360214,4,Completed,breast cancer,ROPIVACAINE HYDROCHLORIDE,Sodium channel alpha subunit blocker,BLOCKER,sodium voltage-gated channel alpha subunit 11,SCN11A,Small molecule,"This is a prospective randomized controlled double-blind interventional study comparing the effect of pulsed-electromagnetic field device (PEMF), pectoral interfascial block (PIB), and placebo on postoperative pain control. This study has the interdisciplinary cooperation of the regional anesthesia group, and the breast and plastic surgery divisions. All female patients with breast cancer evaluated at Columbia University Medical Center (CUMC) who are undergoing unilateral or bilateral mastectomy with tissue expander reconstruction will be offered enrollment in this prospective study.",no,NA
449,NCT05072314,4,Recruiting,breast cancer,LIDOCAINE,Sodium channel alpha subunit blocker,BLOCKER,sodium voltage-gated channel alpha subunit 2,SCN2A,Small molecule,"The LOLIPOP Trial is a large (n=4,300 patients) pragmatic, international, multicentre, prospective, randomised, double blind, placebo-controlled, parallel assessment, safety and effectiveness superiority study.",no,NA
344,NCT03360214,4,Completed,breast cancer,BUPIVACAINE HYDROCHLORIDE,Sodium channel protein type IV alpha subunit blocker,BLOCKER,sodium voltage-gated channel alpha subunit 4,SCN4A,Small molecule,"This is a prospective randomized controlled double-blind interventional study comparing the effect of pulsed-electromagnetic field device (PEMF), pectoral interfascial block (PIB), and placebo on postoperative pain control. This study has the interdisciplinary cooperation of the regional anesthesia group, and the breast and plastic surgery divisions. All female patients with breast cancer evaluated at Columbia University Medical Center (CUMC) who are undergoing unilateral or bilateral mastectomy with tissue expander reconstruction will be offered enrollment in this prospective study.",no,NA
347,NCT03360214,4,Completed,breast cancer,BUPIVACAINE,Sodium channel protein type IV alpha subunit blocker,BLOCKER,sodium voltage-gated channel alpha subunit 4,SCN4A,Small molecule,"This is a prospective randomized controlled double-blind interventional study comparing the effect of pulsed-electromagnetic field device (PEMF), pectoral interfascial block (PIB), and placebo on postoperative pain control. This study has the interdisciplinary cooperation of the regional anesthesia group, and the breast and plastic surgery divisions. All female patients with breast cancer evaluated at Columbia University Medical Center (CUMC) who are undergoing unilateral or bilateral mastectomy with tissue expander reconstruction will be offered enrollment in this prospective study.",no,NA
394,NCT04248179,4,Completed,breast ductal carcinoma in situ,ROPIVACAINE,Sodium channel alpha subunit blocker,BLOCKER,sodium voltage-gated channel alpha subunit 4,SCN4A,Small molecule,"The investigators have developed a novel ultrasound-guided nerve block indicated primarily for breast cancer surgery that mimic a thoracic paravertebral block (TPVB) - hitherto the internationally accepted regional anesthesia golden standard for anesthesia of the hemithorax - but hypothetically without the risks of adverse events associated with the TPVB (i.e. pneumothorax, risk of bleeding in the thoracic paravertebral space, random and unmanageable epidural spread etc.). The investigators have already tested the anatomical- and block execution hypothesis in a randomized cadaveric study, and the investigators now have anatomical proof of concept for the functionality of the block technique. The investigators have also conducted a small clinical pilot study with very promising results. The investigators wish to conduct a randomized, placebo controlled and double-blind study, comparing the effect of the ultrasound-guided multiple-injection costotransverse block (MICB) vs. placebo. The aim with this study is to investigate the efficacy of the MICB vs. placebo in patients undergoing unilateral mastectomy and primary reconstructive surgery due to breast cancer or ductal carcinoma in situ. The hypothesis is, that the unilateral MICB will significantly reduce the opioid consumption during the first 24 postoperative hours and significantly reduce the Numerical Rating Scale pain score (0-10) and opioid related side effects.",no,NA
446,NCT05025735,2,Recruiting,breast cancer,DAPAGLIFLOZIN,Sodium/glucose cotransporter 2 inhibitor,INHIBITOR,solute carrier family 5 member 2,SLC5A2,Small molecule,"This will be a single arm, open label pilot to test the combination of dapagliflozin, a commercially available SGLT-2 inhibitor, in combination with alpelisib + fulvestrant in patients with HR+/HER2- mBC. The objective of this study is to determine if the addition of dapagliflozin to the combination of alpelisib and fulvestrant leads to significant reduction in all-grade hyperglycemia.",yes,HR+/Her2-
451,NCT05090358,2,Recruiting,breast cancer,CANAGLIFLOZIN,Sodium/glucose cotransporter 2 inhibitor,INHIBITOR,solute carrier family 5 member 2,SLC5A2,Small molecule,"The purpose of this study to find out whether a very low carbohydrate diet (ketogenic diet), a low carbohydrate diet, or the study drug canagliflozin can prevent high blood sugar and may improve the effectiveness of cancer therapy in people who are receiving standard treatment with alpelisib and fulvestrant for their metastatic PIK3CA-mutant breast cancer.",no,NA
57,NCT00198250,2,Completed,breast cancer,VENLAFAXINE,Norepinephrine transporter inhibitor,INHIBITOR,solute carrier family 6 member 2,SLC6A2,Small molecule,"The purpose of this study is to evaluate Venlafaxine as a treatment option for hot flashes in breast cancer survivors. The goals of this study are to assess the effectiveness and toxicity of venlafaxine hydrochloride and identify the psychological, behavioral, and physical outcomes associated with relief of hot flashes in women following treatment for breast cancer.",no,NA
59,NCT00198250,2,Completed,breast cancer,VENLAFAXINE HYDROCHLORIDE,Norepinephrine transporter inhibitor,INHIBITOR,solute carrier family 6 member 2,SLC6A2,Small molecule,"The purpose of this study is to evaluate Venlafaxine as a treatment option for hot flashes in breast cancer survivors. The goals of this study are to assess the effectiveness and toxicity of venlafaxine hydrochloride and identify the psychological, behavioral, and physical outcomes associated with relief of hot flashes in women following treatment for breast cancer.",no,NA
379,NCT03996265,3,Recruiting,breast cancer,BUPROPION,Dopamine transporter inhibitor,INHIBITOR,solute carrier family 6 member 3,SLC6A3,Small molecule,"This phase III trial studies how well bupropion works in reducing cancer related fatigue in cancer survivors. Bupropion is a drug that is used to treat depression, as well as to help people quit smoking. Cancer and its treatment can cause fatigue. Giving bupropion may improve cancer related fatigue in cancer survivors.",no,NA
381,NCT03996265,3,Recruiting,breast cancer,BUPROPION HYDROCHLORIDE,Dopamine transporter inhibitor,INHIBITOR,solute carrier family 6 member 3,SLC6A3,Small molecule,"This phase III trial studies how well bupropion works in reducing cancer related fatigue in cancer survivors. Bupropion is a drug that is used to treat depression, as well as to help people quit smoking. Cancer and its treatment can cause fatigue. Giving bupropion may improve cancer related fatigue in cancer survivors.",no,NA
322,NCT03122444,0.5,Completed,breast cancer,IMIPRAMINE,Serotonin transporter inhibitor,INHIBITOR,solute carrier family 6 member 4,SLC6A4,Small molecule,Comparing changes in biomarkers from a diagnostic core needle biopsy to surgical pathology specimen or repeat core needle biopsy.,no,NA
217,NCT02027376,1,Completed,breast cancer,SONIDEGIB,Smoothened homolog inhibitor,INHIBITOR,"smoothened, frizzled class receptor",SMO,Small molecule,"This is a single-arm, open-label, phase Ib study. In this trial, patients with Triple Negative (TN) Advanced Breast Cancer (ABC) will be treated with increasing doses of LDE225 (sonidegib) and docetaxel to determine the Maximum Tolerated Dose (MTD), Dose Limiting Toxicity (DLT) and Recommended Phase II Dose (RP2D) of the combination.

Eligible patients with hormonal receptors negative and Human Epidermal Growth Factor Receptor 2 (HER2) negative ABC will be included and treated with docetaxel intravenously in every three weeks cycles. LDE225 will be administered orally at three dose levels 400, 600 and 800mg one a day (QD) (a -1 dose level is included just in case dose de-escalation is needed). Treatment will be repeated on day 1 of a 21-day cycle until radiographic or symptomatic progression, unacceptable toxicity or withdraws informed consent.

The investigators propose to develop a phase Ib trial with the combination of docetaxel with LDE225 in TN ABC patients to define the safety, tolerability and RP2D, as well as to have some information about the efficacy of the combination.",yes,TNBC
99,NCT00559507,2,Completed,male breast carcinoma,SARACATINIB,Tyrosine-protein kinase SRC inhibitor,INHIBITOR,"SRC proto-oncogene, non-receptor tyrosine kinase",SRC,Small molecule,This phase II trial is studying saracatinib to see how well it works in treating patients with metastatic or locally advanced breast cancer that cannot be removed by surgery. Saracatinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth,yes,NA
202,NCT01785992,2,Completed,breast cancer,IROSUSTAT,Steryl-sulfatase inhibitor,INHIBITOR,steroid sulfatase,STS,Small molecule,"70% of breast cancers that occur in postmenopausal women rely on the hormone oestrogen to grow and are likely to respond to hormone treatment. This type of treatment reduces the amount of oestrogen in the body, slowing the growth of cancer or stopping it altogether. One type of hormone treatment, aromatase inhibitors (AIs), works by stopping the body from making oestrogen. Currently, women with locally advanced or metastatic breast cancer that is not being controlled by one class of AI are switched to the other class of AI. The reason for this is that some cancer cells can become resistant to one class but are still sensitive to the other class. However, oestrogen can be made in the body by two pathways and AIs block only one of these pathways. A new drug called Irosustat can reduce the production of oestrogen in the body by blocking the second pathway. This study is investigating whether adding Irosustat to AI treatment i.e. blocking both pathways at the same time, can further reduce the amount of oestrogen in the body and therefore control the breast cancer better.

27 postmenopausal women with oestrogen receptor positive locally advanced or metastatic breast cancer that is not being controlled by their current AI treatment will be recruited in this study from 9 United Kingdom (UK) hospitals. Eligible patients will receive 40mg of Irosustat once daily in addition to the AI on which they progressed. Patients will receive Irosustat for as long as it controls their cancer or until they have side effects that stop them from taking treatment. Patients will be seen monthly for the first 6 months and every 3 months thereafter. Participating patients will also be given the option to take part in the exploratory part of this study by donating tissue and blood samples.",yes,NA
154,NCT01298193,4,Completed,breast cancer,APREPITANT,Neurokinin 1 receptor antagonist,ANTAGONIST,tachykinin receptor 1,TACR1,Small molecule,"This is a prospective, multicenter, open label, non-comparative trial in Spain.

The primary objective of this study is to determine the complete response, defined as no vomiting and no use of rescue treatment, in women with early-stage breast cancer treated with one cycle of Docetaxel-Cyclophosphamide and active therapy for the prevention of CINV (Chemotherapy-induced nausea and vomiting) day 1, 5-hydroxytryptamine 3 (5-HT3) antagonist plus 3 days of dexamethasone. A second step (efficacy phase) is designed to examine the efficacy and tolerability of aprepitant in the second cycle among patients who failed to the previous CINV prevention treatment.

The study will focus on early-stage chemonaive breast cancer patients receiving docetaxel-cyclophosphamide and a 5-HT3 antagonist plus dexamethasone for the CINV prevention. The CINV incidence in those patients will be evaluated on the first cycle. All refractory patients, will be asked to participate in the second phase, where aprepitant on days 1, 2 and 3 will be added to their antiemetic regimen.

Assuming a drop out of 5%, 212 patients will be included in the study. It is anticipated that around 48 patients will enter the efficacy phase.

The duration of the study, from first patient visit to last patient visit will be approximately 21 months.",yes,NA
262,NCT02672475,1,"Active, not recruiting",triple-negative breast cancer,GALUNISERTIB,TGF-beta receptor type I inhibitor,INHIBITOR,transforming growth factor beta receptor 1,TGFBR1,Small molecule,"This phase I trial studies the side effects and best dose of Galunisertib when given together with paclitaxel in treating patients with androgen receptor negative or triple negative breast cancer that has spread to other places in the body. Some tumors need growth factors, which are made by the body's white blood cells, to keep growing. Galunisertib may interfere with growth factors and help cause tumor cells to die. Drugs used in chemotherapy, such as paclitaxel, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving Galunisertib together with paclitaxel may kill more tumor cells.",yes,TNBC/AR-
115,NCT00899574,2,Completed,breast cancer,IMIQUIMOD,Toll-like receptor 7 agonist,AGONIST,toll like receptor 7,TLR7,Small molecule,"The purpose of this trial is to determine the safety and efficacy of Imiquimod, a Toll-like receptor 7 agonist in breast cancer (for chestwall recurrences or metastases to the skin).",yes,NA
295,NCT03032406,2,Recruiting,breast cancer,HYDROXYCHLOROQUINE,Toll-like receptor 9 antagonist,ANTAGONIST,toll like receptor 9,TLR9,Small molecule,"To evaluate the feasibility of administering HCQ, EVE or the combination in patients who have completed primary therapy for breast cancer and harbor bone marrow disseminated tumor cells.",yes,NA
359,NCT03562832,2,"Active, not recruiting",breast cancer,2X-121,Tankyrase 1/2 inhibitor,INHIBITOR,tankyrase,TNKS,Small molecule,"2X-121 is a small molecule targeted inhibitor of Poly ADP ribose polymerase (PARP), a key enzyme involved in DNA damage repair in cancer cells. The PARP inhibitor demonstrated clinical activity in a prior Phase 1 study in a number of solid tumors. 2X-121 has a novel dual-inhibitory action against both PARP 1/2 and Tankyrase 1/2. The molecule is also active in P-glycoprotein expressing cells, suggesting it may overcome some of the PARP inhibitor resistance.

The Phase 2 study is using 2x-121 DRP® biomarker in metastatic breast cancer patients to identify patients likely to respond to and benefit from treatment with 2X-121.",yes,NA
18,NCT00004046,2,Completed,breast cancer,EXATECAN,DNA topoisomerase I inhibitor,INHIBITOR,DNA topoisomerase I,TOP1,Small molecule,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase II trial to study the effectiveness of DX-8951f in treating women who have metastatic breast cancer that has not responded to previous therapy.",yes,NA
20,NCT00005817,2,Completed,male breast carcinoma,BECATECARIN,DNA topoisomerase I inhibitor,INHIBITOR,DNA topoisomerase I,TOP1,Small molecule,Randomized phase II trial to compare the effectiveness of two regimens of rebeccamycin analogue in treating women who have stage IIIB or stage IV breast cancer. Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. The best way to give rebeccamycin analog in breast cancer patients is not yet known,yes,NA
22,NCT00005873,2,Completed,breast cancer,RUBITECAN,DNA topoisomerase I inhibitor,INHIBITOR,DNA topoisomerase I,TOP1,Small molecule,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase II trial to study the effectiveness of nitrocamptothecin in treating patients who have locally recurrent or metastatic breast cancer.",yes,NA
33,NCT00070031,2,Completed,breast cancer,EDOTECARIN,DNA topoisomerase I inhibitor,INHIBITOR,DNA topoisomerase I,TOP1,Small molecule,"RATIONALE: Drugs used in chemotherapy such as edotecarin use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: This phase II trial is studying how well edotecarin works in treating women with locally advanced or metastatic breast cancer that has not responded to previous chemotherapy.",yes,NA
36,NCT00079118,2,Completed,breast cancer,IRINOTECAN HYDROCHLORIDE,DNA topoisomerase I inhibitor,INHIBITOR,DNA topoisomerase I,TOP1,Small molecule,"RATIONALE: Drugs used in chemotherapy, such as irinotecan and docetaxel, work in different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one chemotherapy drug may kill more tumor cells.

PURPOSE: This phase II trial is studying how well giving irinotecan together with docetaxel works in treating patients with refractory metastatic breast cancer.",yes,NA
117,NCT00951054,2,Completed,breast cancer,7-ETHYL-10-HYDROXYCAMPTOTHECIN,DNA topoisomerase I inhibitor,INHIBITOR,DNA topoisomerase I,TOP1,Small molecule,The purpose of this study is to determine whether NK012 is safe and effective in the treatment of advanced and metastatic triple negative breast cancer.,yes,TNBC
177,NCT01492101,3,Completed,breast cancer,ETIRINOTECAN PEGOL,DNA topoisomerase I inhibitor,INHIBITOR,DNA topoisomerase I,TOP1,Small molecule,"The study is designed as an open-label, randomized, parallel, two arm, multicenter, international Phase 3 study in patients with recurrent or metastatic breast cancer previously treated with cytotoxic chemotherapy regimens.

The primary study objective is to compare overall survival of patients who receive NKTR-102 given once every 21 days to patients who receive treatment of Physician's Choice selected from a list of seven single-agent intravenous therapies.",yes,NA
327,NCT03328884,2,Recruiting,breast cancer,IRINOTECAN,DNA topoisomerase I inhibitor,INHIBITOR,DNA topoisomerase I,TOP1,Small molecule,"Multicenter open-label, phase II trial, to evaluate the efficacy and safety of nal-IRI in patients with HER2-negative breast cancer, who have documented Central Nervous System (CNS) progression following Whole Brain Radio Therapy (WBRT), Stereotactic Radiosurgery (SRS) and/or surgery, as determined by the Response Assessment in Neuro-Oncology Brain Metastases (RANO-BM) criteria.",yes,Her2-
244,NCT02419495,1,"Active, not recruiting",triple-negative breast cancer,TOPOTECAN HYDROCHLORIDE,"DNA topoisomerase I, mitochondrial inhibitor",INHIBITOR,DNA topoisomerase I mitochondrial,TOP1MT,Small molecule,"This phase Ib trial studies the side effects and best dose of selinexor when given together with several different standard chemotherapy or immunotherapy regimens in treating patients with malignancies that have spread to other places in the body and usually cannot be cured or controlled with treatment (advanced). Selinexor may stop the growth of cancer cells by blocking enzymes needed for cell growth. Drugs used in chemotherapy work in different ways to stop the growth of cancer cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Studying selinexor with different standard chemotherapy or immunotherapy regimens may help doctors learn the side effects and best dose of selinexor that can be given with different types of treatments in one study.",yes,NA
246,NCT02419495,1,"Active, not recruiting",triple-negative breast cancer,TOPOTECAN,"DNA topoisomerase I, mitochondrial inhibitor",INHIBITOR,DNA topoisomerase I mitochondrial,TOP1MT,Small molecule,"This phase Ib trial studies the side effects and best dose of selinexor when given together with several different standard chemotherapy or immunotherapy regimens in treating patients with malignancies that have spread to other places in the body and usually cannot be cured or controlled with treatment (advanced). Selinexor may stop the growth of cancer cells by blocking enzymes needed for cell growth. Drugs used in chemotherapy work in different ways to stop the growth of cancer cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Studying selinexor with different standard chemotherapy or immunotherapy regimens may help doctors learn the side effects and best dose of selinexor that can be given with different types of treatments in one study.",yes,NA
9,NCT00003032,3,Completed,breast cancer,MITOXANTRONE,DNA topoisomerase II alpha inhibitor,INHIBITOR,DNA topoisomerase II alpha,TOP2A,Small molecule,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. It is not yet known whether standard therapy is more effective than high dose chemotherapy for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of high dose chemotherapy plus peripheral stem cell transplantation with that of standard therapy in treating women with metastatic or recurrent breast cancer that has responded to previous chemotherapy.",yes,NA
16,NCT00003893,3,Completed,breast cancer,MITOXANTRONE HYDROCHLORIDE,DNA topoisomerase II alpha inhibitor,INHIBITOR,DNA topoisomerase II alpha,TOP2A,Small molecule,"RATIONALE: Drugs used in chemotherapy work in different ways to stop tumor cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage tumors cells. Combining chemotherapy with radiation therapy may kill more tumor cells. It is not yet known which regimen of chemotherapy plus radiation therapy is more effective for early-stage breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of two different regimens of adjuvant chemotherapy plus radiation therapy in treating women who have early-stage breast cancer.",yes,NA
123,NCT01033032,1,Completed,breast cancer,AMRUBICIN,DNA topoisomerase II alpha inhibitor,INHIBITOR,DNA topoisomerase II alpha,TOP2A,Small molecule,"Doxorubicin has been an integral part of the treatment of women with breast cancer for many years. Since amrubicin may have more activity than doxorubicin, as well as less cardiotoxicity, evaluation of amrubicin in the treatment of advanced breast cancer should be a priority. In this Phase II study, the investigators propose an evaluation of single-agent amrubicin as second- or third-line treatment for women with metastatic breast cancer.",yes,NA
151,NCT01275677,3,"Active, not recruiting",breast carcinoma,DOXORUBICIN HYDROCHLORIDE,DNA topoisomerase II alpha inhibitor,INHIBITOR,DNA topoisomerase II alpha,TOP2A,Small molecule,"This randomized phase III clinical trial studies chemotherapy with or without trastuzumab after surgery to see how well they work in treating women with invasive breast cancer. Drugs used in chemotherapy work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving more than one drug (combination chemotherapy) and giving chemotherapy after surgery may kill more tumor cells. Monoclonal antibodies, such as trastuzumab, can block cancer growth in different ways. Some block the ability of tumor cells to grow and spread. Others find tumor cells and help kill them or carry tumor-killing substances to them. It is not yet known whether combination chemotherapy is more effective with trastuzumab in treating breast cancer.",yes,NA
323,NCT03123770,4,Recruiting,breast cancer,DOXORUBICIN,DNA topoisomerase II alpha inhibitor,INHIBITOR,DNA topoisomerase II alpha,TOP2A,Small molecule,"This is a multicentric, open-label,non-randomized concurrent control, 1:1 match,non-inferiority trial that assesses the efficacy and safety of neoadjuvant chemotherapy regimen DC-T and EC-T in breast cancer patients.",yes,NA
352,NCT03387085,1,"Active, not recruiting",breast cancer,ALDOXORUBICIN,DNA topoisomerase II alpha inhibitor,INHIBITOR,DNA topoisomerase II alpha,TOP2A,Small molecule,This is a phase 1b/2 study to evaluate the safety and efficacy of metronomic combination therapy in subjects with TNBC who have progressed on or after previous SoC chemotherapy. Phase 2 will be based on Simon's two-stage optimal design.,yes,TNBC
6,NCT00002836,3,Completed,breast cancer,ETOPOSIDE,DNA topoisomerase II inhibitor,INHIBITOR,DNA topoisomerase II beta,TOP2B,Small molecule,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Colony-stimulating factors such as filgrastim may increase the number of immune cells found in bone marrow or peripheral blood and may help a person's immune system recover from the side effects of chemotherapy. Peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. It is not yet known which treatment regimen is more effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of chemotherapy plus filgrastim with filgrastim alone in treating women undergoing peripheral stem cell transplantation for stage II, stage III, or metastatic breast cancer.",no,NA
301,NCT03084536,2,Completed,breast cancer,ACETAMINOPHEN,Vanilloid receptor opener,OPENER,transient receptor potential cation channel subfamily V member 1,TRPV1,Small molecule,"In this double blinded randomized placebo-controlled trial, 160 subjects scheduled for breast surgery involving the axilla will be administered a multimodal pain regimen including acetaminophen, dexamethasone, celecoxib, and gabapentin. 80 subjects will also receive a Pectoral Nerve blocks I and II (PECS I and II block) preoperatively.",no,NA
