"","NCT_ID","Phase","Status","Disease.Name","Drug.Name","Mechanism.of.Action","Action.Type","Target.ID","Target.Approved.Name","Target.Approved.Symbol","Drug.Type","trial_summary","anti_cancer"
"621","NCT04149444",2,"Withdrawn","breast cancer","TIPIRACIL","Thymidine phosphorylase inhibitor","INHIBITOR","ENSG00000025708","thymidine phosphorylase","TYMP","Small molecule","This is an open-label, single arm, multi-stage, phase II trial of Trifluridine/tipiracil as a palliative treatment for patients with metastatic triple negative breast cancer who have failed both a taxane and anthracycline or have contraindications to these agents.","yes"
"623","NCT04176848",2,"Active, not recruiting","breast cancer","CFI-400945","Serine/threonine-protein kinase PLK4 inhibitor","INHIBITOR","ENSG00000142731","polo like kinase 4","PLK4","Small molecule","The purpose of this study is to find out the effect that CFI-400945 and durvalumab have on breast cancer.","yes"
"627","NCT04205903",1,"Recruiting","breast cancer","NILOTINIB","Bcr/Abl fusion protein","INHIBITOR","ENSG00000097007","BCR activator of RhoGEF and GTPase","BCR","Small molecule","This phase Ib/II trial studies the side effects and best dose of nilotinib in preventing paclitaxel-induced peripheral neuropathy in stage I-III breast cancer patients who are receiving paclitaxel therapy. Chemotherapy is the usual or ?standard? treatment for breast cancer. It kills cancer cells and lowers the chance that the cancer will come back. Sometimes, this treatment can cause numbness and tingling, especially in the hands and feet. This is called chemotherapy-induced peripheral neuropathy. This study aims to test the safety and effectiveness, both good and bad, of taking nilotinib in preventing chemotherapy-induced peripheral neuropathy.","yes"
"633","NCT04261218",1,"Completed","breast cancer","TOMIVOSERTIB","MAP kinase-interacting serine/threonine-protein kinase 1/2 inhibitor","INHIBITOR","ENSG00000099875","MAPK interacting serine/threonine kinase 1","MKNK1","Small molecule","This is a multicenter, open-label trial to evaluate the safety, pharmacodynamics (PD), pharmacokinetics (PK), and efficacy of tomivosertib in combination with paclitaxel in patients with advanced breast cancer (ABC) of any subtype.

The trial will enroll up to 45 patients with an Eastern Cooperative Oncology Group (ECOG) performance status (PS) of 0, 1, or 2 with any breast cancer (BC) subtype and at least one measurable lesion, for whom standard-of-care treatments are ineffective, not tolerated or were refused.

All patients will be initially treated with tomivosertib for 14 days (referred as the run-in period). Once treatment samples are obtained, weekly paclitaxel will be added to the treatment regimen.

Tumor assessments will be done at screening and then periodically throughout trial treatment. Patients will continue to receive trial treatment until progressive disease, as defined according to the Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1, intolerable trial-treatment-related toxicity, consent withdrawal, or other criteria is met (defined within the trial protocol).","yes"
"645","NCT04481113",1,"Active, not recruiting","breast adenocarcinoma","NIRAPARIB TOSYLATE MONOHYDRATE","Poly [ADP-ribose] polymerase-1 inhibitor","INHIBITOR","ENSG00000143799","poly(ADP-ribose) polymerase 1","PARP1","Small molecule","This phase I trial tests the side effects and best dose of abemaciclib and niraparib in treating patients with breast cancer that is positive for estrogen or progesterone receptors (hormone receptor positive \[HR+\]) and HER2 negative. Abemaciclib may stop the growth of tumor cells by blocking certain proteins called cyclin-dependent kinases, which are needed for cell growth. PARPs are proteins that help repair DNA mutations. PARP inhibitors, such as niraparib, can keep PARP from working so tumor cells can't repair themselves and grow. Giving abemaciclib and niraparib together before surgery may make the tumor smaller.","yes"
"646","NCT04483505",1,"Completed","breast cancer","ROGARATINIB","Fibroblast growth factor receptor inhibitor","INHIBITOR","ENSG00000068078","fibroblast growth factor receptor 2","FGFR2","Small molecule","This study is an open, multicenter, prospective phase I dose escalation clinical trial followed by an expansion cohort. The aim of this study is to asses the Recommended Phase 2 Dose (R2PD) and the safety profile, among other efficacy, in FGFR1/2/3 positive, hormone receptor-positive breast cancer (HRPBC) patients with metastatic disease after progression to the combination of an aromatase inhibitor plus palbociclib, abemaciclib or ribociclib, according RECIST 1.1 criteria.","yes"
"657","NCT04551495",2,"Recruiting","invasive lobular carcinoma","ENTRECTINIB","Neurotrophic tyrosine kinase receptor inhibitor","INHIBITOR","ENSG00000171094","neurotrophic receptor tyrosine kinase 2","NTRK2","Small molecule","Despite different clinical characteristics including the response to treatment and the patterns of metastatic relapse, invasive lobular breast carcinoma (ILBC) is treated like invasive ductal breast carcinoma (IDBC) carcinoma both in the clinics and in clinical trials. A large majority of ILBC are ER+/HER2- and almost 90% have loss of E-cadherin (CDH1) expression. A non-clinical study of CDH1 synthetic lethality interactions has identified ROS1 as a potential target. In vivo, ROS1 inhibitors produced profound antitumor effects in multiple models of E-cadherin-defective breast cancer, providing the preclinical rationale for assessing ROS1 inhibitors in this setting. Endocrine therapy being the mainstay of therapy for ER+/HER2- ILBC and the pre-operative setting offering a platform for rapid drug evaluation and biomarker research, the ROSALINE phase 2 study will evaluate the efficacy of Entrectinib (a potent inhibitor of ROS1 among other targets) in combination with letrozole (+ goserelin in premenopausal women) in the early setting of ILBC (stages 1 to 3). The neoadjuvant therapy will last 4 months and post-operative therapy will follow local practice. Biomarker research will include RNA sequencing of initial biopsies and surgical specimens, as well as liquid biopsies.","yes"
"661","NCT04588935",2,"Completed","breast cancer","BISOPROLOL","Beta-1 adrenergic receptor antagonist","ANTAGONIST","ENSG00000043591","adrenoceptor beta 1","ADRB1","Small molecule","To develop a method of medical prevention of cardiovascular diseases caused by cardiotoxicity against the background of complex treatment of patients with primary resectable breast cancer to reduce the risk of cardiovascular complications","yes"
"673","NCT04676516",2,"Completed","breast cancer","PEMRAMETOSTAT","Protein arginine N-methyltransferase 5 inhibitor","INHIBITOR","ENSG00000100462","protein arginine methyltransferase 5","PRMT5","Small molecule","This is a Phase II Randomized Window of Opportunity Trial Evaluating Clinical and Biological effects of PRMT5 inhibitor, GSK3326595, in Early Stage Breast Cancer","yes"
"676","NCT04799249",3,"Active, not recruiting","triple-negative breast cancer","TRILACICLIB","Cyclin-dependent kinase 4 inhibitor","INHIBITOR","ENSG00000135446","cyclin dependent kinase 4","CDK4","Small molecule","This is a Phase 3, multicenter, randomized, double-blind, placebo-controlled study evaluating the safety and efficacy of trilaciclib versus placebo administered prior to gemcitabine and carboplatin in patients receiving first- or second-line treatment for locally advanced unresectable/metastatic TNBC.","yes"
"680","NCT04862585",3,"Recruiting","breast cancer","FAMOTIDINE","Histamine H2 receptor antagonist","ANTAGONIST","ENSG00000113749","histamine receptor H2","HRH2","Small molecule","This phase II/III trial investigates the difference in rates of infusion hypersensitivity reaction in patients with breast cancer who are receiving paclitaxel alone or in combination with other cancer drugs which require parenteral rescue medication after stopping standard pre-medications (dexamethasone, diphenhydramine, famotidine/cimetidine/ranitidine), compared to continuing premedications. Paclitaxel is a drug used to treat breast cancer, ovarian cancer, and autoimmune deficiency syndrome (AIDS)-related Kaposi sarcoma. It blocks cell growth by stopping cell division and may kill cancer cells. It is a type of antimitotic agent. However, there are side-effects and toxicities associated with repeat exposure to this pre-medication regimen. With prolonged use of paclitaxel, especially during weekly regimens, patients are exposed to repeat doses of drugs that prevent hypersensitivity reactions. Side effects include, but are not limited to, insomnia, gastritis, fluid retention, weight gain, mood changes and immune suppression. The information gained from this study may positively influence clinical practice and help researchers develop methods to safely stop pre-medications.","yes"
"700","NCT04899349",2,"Terminated","breast cancer","DAPAGLIFLOZIN","Sodium/glucose cotransporter 2 inhibitor","INHIBITOR","ENSG00000140675","solute carrier family 5 member 2","SLC5A2","Small molecule","This study was designed to assess the safety and efficacy of the combination of dapagliflozin plus metformin extended release (XR) compared with metformin XR during treatment with alpelisib plus fulvestrant in participants with Hormone Receptor (HR)-positive, Human Epidermal growth factor Receptor-2 (HER2)-negative advanced breast cancer with a Phosphoinositide-3-Kinase Catalytic subunit Alpha (PIK3CA) mutation following progression on or after endocrine-based therapy.","yes"
"704","NCT04975451",2,"Not yet recruiting","breast cancer","CATEQUENTINIB","Platelet-derived growth factor receptor beta inhibitor","INHIBITOR","ENSG00000113721","platelet derived growth factor receptor beta","PDGFRB","Small molecule","DCb (docetaxel/carboplatin) regimens as Neoadjuvant Treatment for Triple-Negative Breast Cancer have been recommended by NCCN guideline.Combination of anti-angiogenesis inhibitors is expected to further improvePathologic Complete Response(PCR).This study is to evaluate the efficacy and safety of ADCb (Anlotinib/docetaxel/carboplatin) as Neoadjuvant Treatment in Triple-Negative breast cancer. The endpoint of PCR is used as a surrogate marker for survival. Safety and tolerability assessed by number of grade 4 toxicities and hospitalizations.","yes"
"706","NCT05016349",3,"Not yet recruiting","breast cancer","ISOTRETINOIN","Retinoic acid receptor agonist","AGONIST","ENSG00000172819","retinoic acid receptor alpha","RARA","Small molecule","Investigating the potential role of a novel quadrate combination therapy Mifepristone(Antiprogestrone), Tamoxifen, Retinoic acid and Cannabidiol ( selective cyp 26 inhibitor) for treating early breast cancer.

Breast cancer is the main cause of mortality among women. The disease presents high recurrence mainly due to incomplete efficacy of primary treatment in killing all cancer cells. Therapy resistance remains a major problem in estrogen receptor-α (ERα)-positive breast cancer. Half of estrogen receptor-positive breast cancers contain a subpopulation of cytokeratin 5 (CK5)-expressing cells that are therapy resistant and exhibit increased cancer stem cell (CSC) properties. Here, we propose a testable hypothesis that treatment of breast cancer with tamoxifen or retinoic acid or a combination of the two, may result in induction or conversion of some ER-positive breast cancer cells to ER-negative cancer cells expressing the basal cytokeratin-5 (CK5) via stimulation of progesterone receptors effect, and production . Therefore, we raised an issue with the answer "" Why Antiprogestrone such Mifepristone and cyp 26 inhibitors must be combined with Tamoxifen or its combination with retinoic acid in the era of oncology for treating early breast cancer"" .In fact, limited evidence has indicated that induction of CK5+ cells in ERα+ breast cancer is a unique effect of progestin (Prg) but many studies have demonstrated that progesterone (P4) increases CK5+ breast cancer cells. In case-cohort study of 405 incident breast cancer cases, elevated circulating progesterone levels were associated with a 16% increase in the risk of breast cancer. A study demonstrated that tamoxifen induced progesterone receptors (PGR) in short term treatment. Another study showed that High progesterone receptor expression correlates to the effect of adjuvant tamoxifen in premenopausal breast cancer patients. These CK5-positive cells are therapy resistant and have increased tumor-initiating potential. Also, previous work has shown that retinoic acid, a chemical that results from the body's natural breakdown of vitamin A, should act against these CK5+ cells, but clinical trials of retinoids against breast cancer have been largely unsuccessful .Therefore we suggest that combination of retinoiac acid and tamoxifen was unsucssecful in treating breast cancer owing its ability to induce progesterone receptors and production leading to increasing numbers of CK5-positive cells which are therapy resistant . Although retinoid fenretinide reduced the accumulation of CK5+ cells during estrogen depletion. A study investigated the effects of all-trans-RA (atRA) on progesterone production in immature rat GCs cultured without gonadotropin. demonstrated that atRA enhanced progesterone production by upregulating the levels of steroidogenic acute regulatory protein (StAR) and cytochrome P450scc (Cyp11a1). Here, we suggest that tamoxifen or its combination with retinoic acid must be combined with anti-progesterone (Mifepristone) to achieve treatment with significant effect against early breast cancer. Moreover, Numerous studies have shown that CYP2D6 variant carriers (around 50% CYP2D6 variant carriers in Chinese population) will not benefit a lot from tamoxifen, and combined use of CYP2D6 inhibitors will further affect the efficacy of tamoxifen. In addition, All-trans-retinoic acid acts as an inducer of CYP26A1 expression. Which is the second expected cause of unsuccessful trial of Tamoxifen and retinoic acid in breast cancer treatment. Furthermore, The CYP26 inhibitor also induced expression of atRA-responsive genes. All-trans retinoic acid (ATRA) significantly inhibited aromatase activity in a concentration-dependent manner in microsomes isolated from JEG-3 human placental carcinoma cells. One study found that high retinol was significantly. associated with reduced breast cancer risk. Another found a significant trend of reduced retinol levels with more advanced disease stage. A study showed that intake of vitamin A and retinol could reduce breast cancer risk. Therefore we will take the benefit of cyp 26 inhibitor in this trial by combining Cannabidiol, a major phytocannabinoid, as a potent atypical inhibitor for CYP2D6.","yes"
"710","NCT05016349",3,"Not yet recruiting","breast cancer","CANNABIDIOL","Cannabinoid CB1 receptor negative allosteric modulator","NEGATIVE ALLOSTERIC MODULATOR","ENSG00000118432","cannabinoid receptor 1","CNR1","Small molecule","Investigating the potential role of a novel quadrate combination therapy Mifepristone(Antiprogestrone), Tamoxifen, Retinoic acid and Cannabidiol ( selective cyp 26 inhibitor) for treating early breast cancer.

Breast cancer is the main cause of mortality among women. The disease presents high recurrence mainly due to incomplete efficacy of primary treatment in killing all cancer cells. Therapy resistance remains a major problem in estrogen receptor-α (ERα)-positive breast cancer. Half of estrogen receptor-positive breast cancers contain a subpopulation of cytokeratin 5 (CK5)-expressing cells that are therapy resistant and exhibit increased cancer stem cell (CSC) properties. Here, we propose a testable hypothesis that treatment of breast cancer with tamoxifen or retinoic acid or a combination of the two, may result in induction or conversion of some ER-positive breast cancer cells to ER-negative cancer cells expressing the basal cytokeratin-5 (CK5) via stimulation of progesterone receptors effect, and production . Therefore, we raised an issue with the answer "" Why Antiprogestrone such Mifepristone and cyp 26 inhibitors must be combined with Tamoxifen or its combination with retinoic acid in the era of oncology for treating early breast cancer"" .In fact, limited evidence has indicated that induction of CK5+ cells in ERα+ breast cancer is a unique effect of progestin (Prg) but many studies have demonstrated that progesterone (P4) increases CK5+ breast cancer cells. In case-cohort study of 405 incident breast cancer cases, elevated circulating progesterone levels were associated with a 16% increase in the risk of breast cancer. A study demonstrated that tamoxifen induced progesterone receptors (PGR) in short term treatment. Another study showed that High progesterone receptor expression correlates to the effect of adjuvant tamoxifen in premenopausal breast cancer patients. These CK5-positive cells are therapy resistant and have increased tumor-initiating potential. Also, previous work has shown that retinoic acid, a chemical that results from the body's natural breakdown of vitamin A, should act against these CK5+ cells, but clinical trials of retinoids against breast cancer have been largely unsuccessful .Therefore we suggest that combination of retinoiac acid and tamoxifen was unsucssecful in treating breast cancer owing its ability to induce progesterone receptors and production leading to increasing numbers of CK5-positive cells which are therapy resistant . Although retinoid fenretinide reduced the accumulation of CK5+ cells during estrogen depletion. A study investigated the effects of all-trans-RA (atRA) on progesterone production in immature rat GCs cultured without gonadotropin. demonstrated that atRA enhanced progesterone production by upregulating the levels of steroidogenic acute regulatory protein (StAR) and cytochrome P450scc (Cyp11a1). Here, we suggest that tamoxifen or its combination with retinoic acid must be combined with anti-progesterone (Mifepristone) to achieve treatment with significant effect against early breast cancer. Moreover, Numerous studies have shown that CYP2D6 variant carriers (around 50% CYP2D6 variant carriers in Chinese population) will not benefit a lot from tamoxifen, and combined use of CYP2D6 inhibitors will further affect the efficacy of tamoxifen. In addition, All-trans-retinoic acid acts as an inducer of CYP26A1 expression. Which is the second expected cause of unsuccessful trial of Tamoxifen and retinoic acid in breast cancer treatment. Furthermore, The CYP26 inhibitor also induced expression of atRA-responsive genes. All-trans retinoic acid (ATRA) significantly inhibited aromatase activity in a concentration-dependent manner in microsomes isolated from JEG-3 human placental carcinoma cells. One study found that high retinol was significantly. associated with reduced breast cancer risk. Another found a significant trend of reduced retinol levels with more advanced disease stage. A study showed that intake of vitamin A and retinol could reduce breast cancer risk. Therefore we will take the benefit of cyp 26 inhibitor in this trial by combining Cannabidiol, a major phytocannabinoid, as a potent atypical inhibitor for CYP2D6.","yes"
"718","NCT05016349",3,"Not yet recruiting","breast cancer","TRETINOIN","Retinoic acid receptor agonist","AGONIST","ENSG00000172819","retinoic acid receptor beta","RARB","Small molecule","Investigating the potential role of a novel quadrate combination therapy Mifepristone(Antiprogestrone), Tamoxifen, Retinoic acid and Cannabidiol ( selective cyp 26 inhibitor) for treating early breast cancer.

Breast cancer is the main cause of mortality among women. The disease presents high recurrence mainly due to incomplete efficacy of primary treatment in killing all cancer cells. Therapy resistance remains a major problem in estrogen receptor-α (ERα)-positive breast cancer. Half of estrogen receptor-positive breast cancers contain a subpopulation of cytokeratin 5 (CK5)-expressing cells that are therapy resistant and exhibit increased cancer stem cell (CSC) properties. Here, we propose a testable hypothesis that treatment of breast cancer with tamoxifen or retinoic acid or a combination of the two, may result in induction or conversion of some ER-positive breast cancer cells to ER-negative cancer cells expressing the basal cytokeratin-5 (CK5) via stimulation of progesterone receptors effect, and production . Therefore, we raised an issue with the answer "" Why Antiprogestrone such Mifepristone and cyp 26 inhibitors must be combined with Tamoxifen or its combination with retinoic acid in the era of oncology for treating early breast cancer"" .In fact, limited evidence has indicated that induction of CK5+ cells in ERα+ breast cancer is a unique effect of progestin (Prg) but many studies have demonstrated that progesterone (P4) increases CK5+ breast cancer cells. In case-cohort study of 405 incident breast cancer cases, elevated circulating progesterone levels were associated with a 16% increase in the risk of breast cancer. A study demonstrated that tamoxifen induced progesterone receptors (PGR) in short term treatment. Another study showed that High progesterone receptor expression correlates to the effect of adjuvant tamoxifen in premenopausal breast cancer patients. These CK5-positive cells are therapy resistant and have increased tumor-initiating potential. Also, previous work has shown that retinoic acid, a chemical that results from the body's natural breakdown of vitamin A, should act against these CK5+ cells, but clinical trials of retinoids against breast cancer have been largely unsuccessful .Therefore we suggest that combination of retinoiac acid and tamoxifen was unsucssecful in treating breast cancer owing its ability to induce progesterone receptors and production leading to increasing numbers of CK5-positive cells which are therapy resistant . Although retinoid fenretinide reduced the accumulation of CK5+ cells during estrogen depletion. A study investigated the effects of all-trans-RA (atRA) on progesterone production in immature rat GCs cultured without gonadotropin. demonstrated that atRA enhanced progesterone production by upregulating the levels of steroidogenic acute regulatory protein (StAR) and cytochrome P450scc (Cyp11a1). Here, we suggest that tamoxifen or its combination with retinoic acid must be combined with anti-progesterone (Mifepristone) to achieve treatment with significant effect against early breast cancer. Moreover, Numerous studies have shown that CYP2D6 variant carriers (around 50% CYP2D6 variant carriers in Chinese population) will not benefit a lot from tamoxifen, and combined use of CYP2D6 inhibitors will further affect the efficacy of tamoxifen. In addition, All-trans-retinoic acid acts as an inducer of CYP26A1 expression. Which is the second expected cause of unsuccessful trial of Tamoxifen and retinoic acid in breast cancer treatment. Furthermore, The CYP26 inhibitor also induced expression of atRA-responsive genes. All-trans retinoic acid (ATRA) significantly inhibited aromatase activity in a concentration-dependent manner in microsomes isolated from JEG-3 human placental carcinoma cells. One study found that high retinol was significantly. associated with reduced breast cancer risk. Another found a significant trend of reduced retinol levels with more advanced disease stage. A study showed that intake of vitamin A and retinol could reduce breast cancer risk. Therefore we will take the benefit of cyp 26 inhibitor in this trial by combining Cannabidiol, a major phytocannabinoid, as a potent atypical inhibitor for CYP2D6.","yes"
"723","NCT05041101",2,"Active, not recruiting","breast carcinoma","GRAPIPRANT","Prostanoid EP4 receptor antagonist","ANTAGONIST","ENSG00000171522","prostaglandin E receptor 4","PTGER4","Small molecule","This phase Ib/II trial tests the safety and side effects of grapiprant and eribulin and whether they work to shrink tumors in patients with inflammatory breast cancer that has spread to other places in the body (metastatic). Grapiprant is an anti-inflammatory drug that may prevent tumor growth. Eribulin may block tumor cell growth by stopping tumor cell division. Giving grapiprant and eribulin together may help to control the disease.","yes"
"745","NCT05383196",2,"Recruiting","inflammatory breast carcinoma","ONVANSERTIB","Serine/threonine-protein kinase PLK1 inhibitor","INHIBITOR","ENSG00000166851","polo like kinase 1","PLK1","Small molecule","This research is being done to evaluate the safety and effectiveness of Onvansertib in combination with Paclitaxel in triple-negative breast cancer (TNBC) that has spread to other parts of the body.

The names of the study interventions involved in this study are:

* Onvansertib
* Paclitaxel","yes"
"746","NCT05394285",2,"Recruiting","breast cancer","RAFUTROMBOPAG","Thrombopoietin receptor agonist","AGONIST","ENSG00000117400","MPL proto-oncogene, thrombopoietin receptor","MPL","Small molecule","This study now plans to explore the efficacy and safety of hetrombopag in chemotherapy-induced thrombocytopenia in advanced breast cancer, so as to further guide the clinical application of hetrombopag in chemotherapy-induced platelets.","yes"
"747","NCT05420454",4,"Recruiting","breast cancer","DOCETAXEL","Tubulin inhibitor","INHIBITOR","ENSG00000188229","tubulin beta 4A class IVa","TUBB4A","Small molecule","Due to the unique advantages of albumin-bound paclitaxel, several studies in China and abroad have tried to use albumin-bound paclitaxel for neoadjuvant treatment of breast cancer up to now. However, comparative studies between paclitaxel and docetaxel are still rare, In this study, a prospective, randomized, open-label, multi-center clinical study was conducted to analyse the efficacy and safety of albumin-bound paclitaxel and docetaxel in the neoadjuvant treatment of breast cancer, and to further analyse the efficacy and safety of albumin paclitaxel in combination with chemotherapy for postoperative breast cancer in different subtypes of breast cancer patients, in order to obtain more realistic data and provide new treatment options for breast cancer patients.","yes"
"759","NCT05673200",1,"Recruiting","triple-negative breast cancer","CEDAZURIDINE","Cytidine deaminase inhibitor","INHIBITOR","ENSG00000158825","cytidine deaminase","CDA","Small molecule","This phase I trial tests the safety, side effects, and best dose of ASTX727 when given in combination with a usual approach of treatment with paclitaxel and pembrolizumab in patients with triple-negative breast cancer that has spread from where it first started (primary site) to other places in the body (metastatic). The usual approach is defined as care most people get for this type of cancer. The usual approach for patients with metastatic triple negative breast cancer who are not in a study is chemotherapy with drugs like paclitaxel, carboplatin, cisplatin, eribulin, vinorelbine, capecitabine, gemcitabine, doxorubicin or cyclophosphamide. There is a protein called PD-L1 that helps regulate the body's immune system. For patients who have PD-L1+ tumors, immunotherapy (pembrolizumab) is usually added to paclitaxel or carboplatin/gemcitabine as initial treatment. For patients who have PD-L1-negative tumors, chemotherapy alone is used, without immunotherapy. ASTX727 is a combination of two drugs, decitabine and cedazuridine. Cedazuridine is in a class of medications called cytidine deaminase inhibitors. It prevents the breakdown of decitabine, making it more available in the body so that decitabine will have a greater effect. Decitabine is in a class of medications called hypomethylation agents. It works by helping the bone marrow produce normal blood cells and by killing abnormal cells in the bone marrow. Paclitaxel is in a class of medications called antimicrotubule agents. It stops tumor cells from growing and dividing and may kill them. Immunotherapy with monoclonal antibodies, such as pembrolizumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Giving ASTX727 with usual treatment approach with paclitaxel and pembrolizumab may be able to shrink or stabilize the tumor for longer than the usual approach alone in patients with metastatic triple negative breast cancer.","yes"
"762","NCT05732064",4,"Recruiting","breast cancer","ESKETAMINE","Glutamate [NMDA] receptor negative allosteric modulator","NEGATIVE ALLOSTERIC MODULATOR","ENSG00000176884","glutamate ionotropic receptor NMDA type subunit 2A","GRIN2A","Small molecule","Breast cancer patients often have sleep disturbances during the perioperative period. Dexmedetomidine is a highly selective alpha 2-adrenoceptor agonist with sedative, anxiolytic, and analgesic effects. Previous studies showed that night-time low-dose dexmedetomidine infusion improved sleep quality. Esketamine is a N-methyl-D-aspartic acid receptor antagonist and has been used as an anesthetic and analgesic. Recent studies showed that low-dose esketamine has anti-depressive and sleep-promoting effects. The investigators suppose that low-dose dexmedetomidine-esketamine combined nasal administration at night can improve perioperative sleep quality in patients scheduled for breast cancer surgery.","yes"
"764","NCT05760378",3,"Recruiting","triple-negative breast cancer","FAMITINIB","Platelet-derived growth factor receptor inhibitor","INHIBITOR","ENSG00000122025","platelet derived growth factor receptor alpha","PDGFRA","Small molecule","The study is being conducted to evaluate the Famitinib with Camrelizumab plus treatment of physician's choice (TPC) versus Camrelizumab plus TPC in Patients with Unresectable Locally Advanced or Metastatic Immunomodulatory Triple Negative Breast Cancer.","yes"
"765","NCT05807074",4,"Recruiting","breast cancer","TRANEXAMIC ACID","Plasminogen inhibitor","INHIBITOR","ENSG00000122194","plasminogen","PLG","Small molecule","Improvement in bleeding and bruising has been described by using both intravenous and topical off-label applications of Tranexamic Acid (TXA) in many surgical fields. This trial tests how well applying tranexamic acid (TXA) to the surface of the surgical site (topically) works to reduce post-operative bleeding (hematomas) and fluid collections (seromas) in women undergoing surgery to remove both breasts (bilateral mastectomy) immediately followed by surgery to rebuild the breast (reconstruction). The formation of hematomas and seromas, a common post-mastectomy complication, can interfere with breast reconstruction and increase the risk of infection and wound healing and can potentially delay cancer treatments. TXA is a synthetic molecule that pushes the body's clotting cascade toward clot formation to improve blood clotting. Applying TXA topically to the surgical site before closing the incision may prevent hematoma and seroma formation in post-mastectomy breast reconstruction patients.

Participants will be recruited from patients undergoing bilateral mastectomy at University of California, San Francisco.","yes"
"768","NCT05840068",4,"Completed","breast cancer","METFORMIN","Mitochondrial complex I (NADH dehydrogenase) inhibitor","INHIBITOR","ENSG00000198695","NADH:ubiquinone oxidoreductase subunit S6","NDUFS6","Small molecule","The purpose of this study is to examine the impact of metformin as an adjuvant to chemotherapy on IGF levels in both progressing and non progressing cases of metastatic breast cancer in female patients.","yes"
"776","NCT06106529",3,"Not yet recruiting","breast cancer","VENLAFAXINE HYDROCHLORIDE","Serotonin transporter inhibitor","INHIBITOR","ENSG00000103546","solute carrier family 6 member 4","SLC6A4","Small molecule","The goal of this randomized intrapatient cross-over study is to assess the efficacy of oxybutynin versus venlafaxine in reducing hot flashes in women using endocrine therapy after breast cancer.

The objectives it aims to answer are:

* To assess the efficacy of oxybutynin versus venlafaxine in reducing hot flashes in women using endocrine therapy after breast cancer
* To assess side effects of oxybutynin versus venlafaxine.
* To assess the personal preference of women for oxybutynin versus venlafaxine in reducing hot flashes.
* To assess quality of life of women when reducing hot flashes in women using endocrine therapy after breast cancer.

Participants will fill-out a patient diary during 15 weeks total on a daily basis and receive an (online) questionnaire three times total.

Researchers will compare two groups (venlafaxine group versus oxubutynine group) to assess its efficacy concerning hot flashes.","yes"
"779","NCT06106529",3,"Not yet recruiting","breast cancer","VENLAFAXINE","Norepinephrine transporter inhibitor","INHIBITOR","ENSG00000103546","solute carrier family 6 member 2","SLC6A2","Small molecule","The goal of this randomized intrapatient cross-over study is to assess the efficacy of oxybutynin versus venlafaxine in reducing hot flashes in women using endocrine therapy after breast cancer.

The objectives it aims to answer are:

* To assess the efficacy of oxybutynin versus venlafaxine in reducing hot flashes in women using endocrine therapy after breast cancer
* To assess side effects of oxybutynin versus venlafaxine.
* To assess the personal preference of women for oxybutynin versus venlafaxine in reducing hot flashes.
* To assess quality of life of women when reducing hot flashes in women using endocrine therapy after breast cancer.

Participants will fill-out a patient diary during 15 weeks total on a daily basis and receive an (online) questionnaire three times total.

Researchers will compare two groups (venlafaxine group versus oxubutynine group) to assess its efficacy concerning hot flashes.","yes"
"782","NCT06106529",3,"Not yet recruiting","breast cancer","OXYBUTYNIN","Muscarinic acetylcholine receptor M3 antagonist","ANTAGONIST","ENSG00000133019","cholinergic receptor muscarinic 3","CHRM3","Small molecule","The goal of this randomized intrapatient cross-over study is to assess the efficacy of oxybutynin versus venlafaxine in reducing hot flashes in women using endocrine therapy after breast cancer.

The objectives it aims to answer are:

* To assess the efficacy of oxybutynin versus venlafaxine in reducing hot flashes in women using endocrine therapy after breast cancer
* To assess side effects of oxybutynin versus venlafaxine.
* To assess the personal preference of women for oxybutynin versus venlafaxine in reducing hot flashes.
* To assess quality of life of women when reducing hot flashes in women using endocrine therapy after breast cancer.

Participants will fill-out a patient diary during 15 weeks total on a daily basis and receive an (online) questionnaire three times total.

Researchers will compare two groups (venlafaxine group versus oxubutynine group) to assess its efficacy concerning hot flashes.","yes"
"800","NCT06355037",2,"Not yet recruiting","triple-negative breast cancer","DASATINIB","SRC inhibitor","INHIBITOR","ENSG00000113721","LYN proto-oncogene, Src family tyrosine kinase","LYN","Small molecule","This is a Phase II, open-label, single-arm study evaluating the efficacy and safety of combined treatment of dasatinib, quercetin with chemotherapy in mTNBC (triple negative breast cancer) patients who progressed during previous chemotherapy.","yes"
