external_gene_name,description,search_id,MeSH_count,andGene_count,description_count,best_score
DLL3,delta like canonical Notch ligand 3 ,DLL3,172,,,172
CAPN3,calpain 3 ,CAPN3,5,,,5
SLC16A8,solute carrier family 16 member 8 ,SLC16A8,6,,,6
CDKN3,cyclin dependent kinase inhibitor 3 ,CDKN3,102,,,102
NFATC4,nuclear factor of activated T cells 4 ,NFATC4,15,,,15
TAFAZZIN,"tafazzin, phospholipid-lysophospholipid transacylase ",TAFAZZIN,21,,,21
SIGLEC5,sialic acid binding Ig like lectin 5 ,SIGLEC5,15,,,15
RAB3D,"RAB3D, member RAS oncogene family ",RAB3D,20,,,20
HOXA1,homeobox A1 ,HOXA1,128,,,128
ZNHIT1,zinc finger HIT-type containing 1 ,ZNHIT1,5,,,5
TNFSF8,TNF superfamily member 8 ,TNFSF8,18,,,18
DKK1,dickkopf WNT signaling pathway inhibitor 1 ,DKK1,763,,,763
UNC119,unc-119 lipid binding chaperone ,UNC119,6,,,6
RAPGEF2,Rap guanine nucleotide exchange factor 2 ,RAPGEF2,8,,,8
BTN3A3,butyrophilin subfamily 3 member A3 ,BTN3A3,10,,,10
NCOA7,nuclear receptor coactivator 7 ,NCOA7,8,,,8
BTN2A1,butyrophilin subfamily 2 member A1 ,BTN2A1,28,,,28
THBS4,thrombospondin 4 ,THBS4,30,,,30
FAHD2A,fumarylacetoacetate hydrolase domain containing 2A ,FAHD2A,1,,,1
REEP6,receptor accessory protein 6 ,REEP6,4,,,4
OTX1,orthodenticle homeobox 1 ,OTX1,49,,,49
MOB4,"MOB family member 4, phocein ",MOB4,1,,,1
KISS1R,KISS1 receptor ,KISS1R,65,,,65
CFHR3,complement factor H related 3 ,CFHR3,20,,,20
ID3,inhibitor of DNA binding 3 ,ID3,246,,,246
IPO13,importin 13 ,IPO13,5,,,5
RCN2,reticulocalbin 2 ,RCN2,12,,,12
RPN2,ribophorin II ,RPN2,37,,,37
LYZL1,lysozyme like 1 ,LYZL1,1,,,1
ANXA11,annexin A11 ,ANXA11,15,,,15
RECK,reversion inducing cysteine rich protein with kazal motifs ,RECK,284,49,115,115
SLPI,secretory leukocyte peptidase inhibitor ,SLPI,123,,,123
KCNS1,potassium voltage-gated channel modifier subfamily S member 1 ,KCNS1,6,,,6
EMC3,ER membrane protein complex subunit 3 ,EMC3,2,,,2
TNFRSF19,TNF receptor superfamily member 19 ,TNFRSF19,33,,,33
CAP1,cyclase associated actin cytoskeleton regulatory protein 1 ,CAP1,77,,,77
ZRANB2,zinc finger RANBP2-type containing 2 ,ZRANB2,5,,,5
PRPH,peripherin ,PRPH,11,,,11
NMBR,neuromedin B receptor ,NMBR,32,,,32
IREB2,iron responsive element binding protein 2 ,IREB2,22,,,22
HCRTR2,hypocretin receptor 2 ,HCRTR2,2,,,2
APH1B,"aph-1 homolog B, gamma-secretase subunit ",APH1B,4,,,4
SSTR1,somatostatin receptor 1 ,SSTR1,208,,,208
TCF25,transcription factor 25 ,TCF25,3,,,3
NPC1,NPC intracellular cholesterol transporter 1 ,NPC1,51,,,51
SLC14A1,solute carrier family 14 member 1 (Kidd blood group) ,SLC14A1,26,,,26
SIGLEC10,sialic acid binding Ig like lectin 10 ,SIGLEC10,49,,,49
ECM1,extracellular matrix protein 1 ,ECM1,93,,,93
TARS2,"threonyl-tRNA synthetase 2, mitochondrial ",TARS2,3,,,3
ANP32E,acidic nuclear phosphoprotein 32 family member E ,ANP32E,24,,,24
SELENBP1,selenium binding protein 1 ,SELENBP1,39,,,39
SDE2,SDE2 telomere maintenance homolog ,SDE2,3,,,3
UCN2,urocortin 2 ,UCN2,14,,,14
CRHBP,corticotropin releasing hormone binding protein ,CRHBP,11,,,11
YIPF5,Yip1 domain family member 5 ,YIPF5,1,,,1
CDCA5,cell division cycle associated 5 ,CDCA5,62,,,62
IDI2,isopentenyl-diphosphate delta isomerase 2 ,IDI2,2,,,2
PLA2R1,phospholipase A2 receptor 1 ,PLA2R1,23,,,23
MIA3,MIA SH3 domain ER export factor 3 ,MIA3,7,,,7
ASZ1,"ankyrin repeat, SAM and basic leucine zipper domain containing 1 ",ASZ1,0,,,0
CD1C,CD1c molecule ,CD1C,125,,,125
B4GALT3,"beta-1,4-galactosyltransferase 3 ",B4GALT3,10,,,10
SAFB,scaffold attachment factor B ,SAFB,17,,,17
HCRT,hypocretin neuropeptide precursor ,HCRT,22,,,22
WDR90,WD repeat domain 90 ,WDR90,1,,,1
TTC9C,tetratricopeptide repeat domain 9C ,TTC9C,0,,,0
ITIH3,inter-alpha-trypsin inhibitor heavy chain 3 ,ITIH3,17,,,17
COA7,cytochrome c oxidase assembly factor 7 ,COA7,0,,,0
FBLIM1,filamin binding LIM protein 1 ,FBLIM1,4,,,4
NEUROD1,neuronal differentiation 1 ,NEUROD1,175,,,175
EN1,engrailed homeobox 1 ,EN1,57,,,57
SLC2A2,solute carrier family 2 member 2 ,SLC2A2,19,,,19
PGRMC2,progesterone receptor membrane component 2 ,PGRMC2,17,,,17
TBX20,T-box transcription factor 20 ,TBX20,6,,,6
CA3,carbonic anhydrase 3 ,CA3,78,,,78
BEX3,brain expressed X-linked 3 ,BEX3,5,,,5
CA4,carbonic anhydrase 4 ,CA4,209,,,209
CXXC4,CXXC finger protein 4 ,CXXC4,21,,,21
NMD3,NMD3 ribosome export adaptor ,NMD3,9,,,9
GP2,glycoprotein 2 ,GP2,62,,,62
GLB1,galactosidase beta 1 ,GLB1,22,,,22
KCNS3,potassium voltage-gated channel modifier subfamily S member 3 ,KCNS3,1,,,1
FAM241B,family with sequence similarity 241 member B ,FAM241B,0,,,0
C3AR1,complement C3a receptor 1 ,C3AR1,28,,,28
NHERF4,NHERF family PDZ scaffold protein 4 ,NHERF4,1,,,1
PDE3A,phosphodiesterase 3A ,PDE3A,29,,,29
FKBP2,FKBP prolyl isomerase 2 ,FKBP2,4,,,4
NMNAT1,nicotinamide nucleotide adenylyltransferase 1 ,NMNAT1,9,,,9
TALDO1,transaldolase 1 ,TALDO1,19,,,19
ARIH2,ariadne RBR E3 ubiquitin protein ligase 2 ,ARIH2,9,,,9
MAB21L2,mab-21 like 2 ,MAB21L2,4,,,4
UNC5C,unc-5 netrin receptor C ,UNC5C,33,,,33
CEP63,centrosomal protein 63 ,CEP63,7,,,7
NOG,noggin ,NOG,200,0,104,104
MUC6,"mucin 6, oligomeric mucus/gel-forming ",MUC6,690,,,690
MYBL1,MYB proto-oncogene like 1 ,MYBL1,109,,,109
GSAP,gamma-secretase activating protein ,GSAP,3,,,3
GLDN,gliomedin ,GLDN,5,,,5
IFNA10,interferon alpha 10 ,IFNA10,2,,,2
MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2 ",MAGI2,81,,,81
RGPD1,RANBP2 like and GRIP domain containing 1 ,RGPD1,0,,,0
ADA,adenosine deaminase ,ADA,736,29,1000,1000
WDR45,WD repeat domain 45 ,WDR45,3,,,3
SIGLEC15,sialic acid binding Ig like lectin 15 ,SIGLEC15,75,,,75
NEU1,neuraminidase 1 ,NEU1,45,,,45
CDSN,corneodesmosin ,CDSN,6,,,6
SPDYC,speedy/RINGO cell cycle regulator family member C ,SPDYC,3,,,3
IPO7,importin 7 ,IPO7,14,,,14
GALT,galactose-1-phosphate uridylyltransferase ,GALT,95,6,4,6
NAIP,NLR family apoptosis inhibitory protein ,NAIP,42,,,42
HOXA10,homeobox A10 ,HOXA10,236,,,236
CD99,CD99 molecule (Xg blood group) ,CD99,1427,,,1427
AOC1,amine oxidase copper containing 1 ,AOC1,6,,,6
COX15,cytochrome c oxidase assembly homolog COX15 ,COX15,4,,,4
MUSK,muscle associated receptor tyrosine kinase ,MUSK,630,0,1,1
GLP2R,glucagon like peptide 2 receptor ,GLP2R,8,,,8
ATG2B,autophagy related 2B ,ATG2B,40,,,40
SCT,secretin ,SCT,3957,,,3957
TUBE1,tubulin epsilon 1 ,TUBE1,2,,,2
CDC14A,cell division cycle 14A ,CDC14A,13,,,13
AKR1B1,aldo-keto reductase family 1 member B ,AKR1B1,80,,,80
ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2 ,ADAMTS2,23,,,23
ATRN,attractin ,ATRN,5,,,5
CHGB,chromogranin B ,CHGB,12,,,12
NEFH,neurofilament heavy chain ,NEFH,28,,,28
NOL4,nucleolar protein 4 ,NOL4,14,,,14
MID1,midline 1 ,MID1,16,,,16
SRPX2,sushi repeat containing protein X-linked 2 ,SRPX2,27,,,27
MGRN1,mahogunin ring finger 1 ,MGRN1,10,,,10
STMN2,stathmin 2 ,STMN2,11,,,11
CLEC4M,C-type lectin domain family 4 member M ,CLEC4M,6,,,6
PTOV1,PTOV1 extended AT-hook containing adaptor protein ,PTOV1,36,,,36
ATP4A,ATPase H+/K+ transporting subunit alpha ,ATP4A,28,,,28
LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase ,LHPP,47,,,47
ELF2,E74 like ETS transcription factor 2 ,ELF2,16,,,16
SNX15,sorting nexin 15 ,SNX15,2,,,2
LPCAT3,lysophosphatidylcholine acyltransferase 3 ,LPCAT3,19,,,19
TTK,TTK protein kinase ,TTK,254,,,254
TARS1,threonyl-tRNA synthetase 1 ,TARS1,6,,,6
BCHE,butyrylcholinesterase ,BCHE,89,,,89
PDCD10,programmed cell death 10 ,PDCD10,167,,,167
ABTB1,ankyrin repeat and BTB domain containing 1 ,ABTB1,5,,,5
PODXL2,podocalyxin like 2 ,PODXL2,6,,,6
TTL,tubulin tyrosine ligase ,TTL,81,,,81
EPB41L5,erythrocyte membrane protein band 4.1 like 5 ,EPB41L5,12,,,12
NPC2,NPC intracellular cholesterol transporter 2 ,NPC2,34,,,34
ELF1,E74 like ETS transcription factor 1 ,ELF1,67,,,67
SERP1,stress associated endoplasmic reticulum protein 1 ,SERP1,6,,,6
LPGAT1,lysophosphatidylglycerol acyltransferase 1 ,LPGAT1,2,,,2
EDN3,endothelin 3 ,EDN3,19,,,19
BTN2A2,butyrophilin subfamily 2 member A2 ,BTN2A2,5,,,5
RAP2A,"RAP2A, member of RAS oncogene family ",RAP2A,27,,,27
MBOAT7,membrane bound O-acyltransferase domain containing 7 ,MBOAT7,29,,,29
MKKS,MKKS centrosomal shuttling protein ,MKKS,9,,,9
MCF2L,MCF.2 cell line derived transforming sequence like ,MCF2L,15,,,15
STATH,statherin ,STATH,4,,,4
EDN2,endothelin 2 ,EDN2,7,,,7
EMC4,ER membrane protein complex subunit 4 ,EMC4,0,,,0
ALDH1A2,aldehyde dehydrogenase 1 family member A2 ,ALDH1A2,49,,,49
PALLD,"palladin, cytoskeletal associated protein ",PALLD,20,,,20
SHBG,sex hormone binding globulin ,SHBG,1530,,,1530
HRC,histidine rich calcium binding protein ,HRC,73,,,73
CYP2E1,cytochrome P450 family 2 subfamily E member 1 ,CYP2E1,623,,,623
EDA2R,ectodysplasin A2 receptor ,EDA2R,9,,,9
KCNC3,potassium voltage-gated channel subfamily C member 3 ,KCNC3,2,,,2
MCCC2,methylcrotonyl-CoA carboxylase subunit 2 ,MCCC2,7,,,7
ANKRD17,ankyrin repeat domain 17 ,ANKRD17,8,,,8
GPS2,G protein pathway suppressor 2 ,GPS2,32,,,32
CA1,carbonic anhydrase 1 ,CA1,145,,,145
CFHR4,complement factor H related 4 ,CFHR4,8,,,8
CABLES1,Cdk5 and Abl enzyme substrate 1 ,CABLES1,16,,,16
TIMM10,translocase of inner mitochondrial membrane 10 ,TIMM10,2,,,2
TBX3,T-box transcription factor 3 ,TBX3,133,,,133
TRIM54,tripartite motif containing 54 ,TRIM54,4,,,4
LOXL4,lysyl oxidase like 4 ,LOXL4,49,,,49
AOX1,aldehyde oxidase 1 ,AOX1,45,,,45
CSAD,cysteine sulfinic acid decarboxylase ,CSAD,7,,,7
CDR2,cerebellar degeneration related protein 2 ,CDR2,88,,,88
GALNS,galactosamine (N-acetyl)-6-sulfatase ,GALNS,6,,,6
PYCR2,pyrroline-5-carboxylate reductase 2 ,PYCR2,15,,,15
GADL1,glutamate decarboxylase like 1 ,GADL1,2,,,2
ARL6IP5,ADP ribosylation factor like GTPase 6 interacting protein 5 ,ARL6IP5,9,,,9
NR1I2,nuclear receptor subfamily 1 group I member 2 ,NR1I2,56,,,56
FBXO38,F-box protein 38 ,FBXO38,7,,,7
TBX6,T-box transcription factor 6 ,TBX6,1,,,1
TEX9,testis expressed 9 ,TEX9,2,,,2
SCAF4,SR-related CTD associated factor 4 ,SCAF4,1,,,1
GDF6,growth differentiation factor 6 ,GDF6,7,,,7
ZDHHC5,zinc finger DHHC-type palmitoyltransferase 5 ,ZDHHC5,10,,,10
CD1A,CD1a molecule ,CD1A,976,,,976
GPAT4,glycerol-3-phosphate acyltransferase 4 ,GPAT4,2,,,2
TAGLN2,transgelin 2 ,TAGLN2,59,,,59
ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4 ,ADAMTS4,42,,,42
CCDC28B,coiled-coil domain containing 28B ,CCDC28B,1,,,1
NEK8,NIMA related kinase 8 ,NEK8,11,,,11
RAVER1,"ribonucleoprotein, PTB binding 1 ",RAVER1,2,,,2
INTU,inturned planar cell polarity protein ,INTU,4,,,4
FAM170A,family with sequence similarity 170 member A ,FAM170A,0,,,0
SFXN1,sideroflexin 1 ,SFXN1,12,,,12
SPIDR,scaffold protein involved in DNA repair ,SPIDR,3,,,3
SALL2,spalt like transcription factor 2 ,SALL2,32,,,32
KCNC2,potassium voltage-gated channel subfamily C member 2 ,KCNC2,2,,,2
HTRA1,HtrA serine peptidase 1 ,HTRA1,85,,,85
SGPL1,sphingosine-1-phosphate lyase 1 ,SGPL1,24,,,24
DNAAF8,dynein axonemal assembly factor 8 ,DNAAF8,0,,,0
NTSR2,neurotensin receptor 2 ,NTSR2,12,,,12
UPF3A,UPF3A regulator of nonsense mediated mRNA decay ,UPF3A,7,,,7
ZBTB43,zinc finger and BTB domain containing 43 ,ZBTB43,2,,,2
SETMAR,SET domain and mariner transposase fusion gene ,SETMAR,16,,,16
CST1,cystatin SN ,CST1,42,,,42
KISS1,KiSS-1 metastasis suppressor ,KISS1,279,,,279
KCNG3,potassium voltage-gated channel modifier subfamily G member 3 ,KCNG3,3,,,3
FIBP,FGF1 intracellular binding protein ,FIBP,5,,,5
ZNF622,zinc finger protein 622 ,ZNF622,3,,,3
CD248,CD248 molecule ,CD248,49,,,49
AMY1B,amylase alpha 1B ,AMY1B,0,,,0
GBA1,glucosylceramidase beta 1 ,GBA1,18,,,18
PRF1,perforin 1 ,PRF1,114,,,114
TREX2,three prime repair exonuclease 2 ,TREX2,12,,,12
FOXL2,forkhead box L2 ,FOXL2,231,,,231
MAGEA11,MAGE family member A11 ,MAGEA11,36,,,36
TARS3,threonyl-tRNA synthetase 3 ,TARS3,0,,,0
SHOX,SHOX homeobox ,SHOX,15,,,15
ANKRD46,ankyrin repeat domain 46 ,ANKRD46,6,,,6
KATNA1,katanin catalytic subunit A1 ,KATNA1,2,,,2
ENTPD5,ectonucleoside triphosphate diphosphohydrolase 5 (inactive) ,ENTPD5,25,,,25
FPR3,formyl peptide receptor 3 ,FPR3,9,,,9
NCR3LG1,natural killer cell cytotoxicity receptor 3 ligand 1 ,NCR3LG1,10,,,10
PLSCR1,phospholipid scramblase 1 ,PLSCR1,33,,,33
CNR2,cannabinoid receptor 2 ,CNR2,21,,,21
TMEM120A,transmembrane protein 120A ,TMEM120A,1,,,1
NOL4L,nucleolar protein 4 like ,NOL4L,5,,,5
SIPA1L1,signal induced proliferation associated 1 like 1 ,SIPA1L1,2,,,2
ADAMTSL2,ADAMTS like 2 ,ADAMTSL2,2,,,2
AVPR1B,arginine vasopressin receptor 1B ,AVPR1B,7,,,7
TAT,tyrosine aminotransferase ,TAT,1358,36,43,43
MOG,myelin oligodendrocyte glycoprotein ,MOG,214,0,181,181
CD177,CD177 molecule ,CD177,43,,,43
MUC12,"mucin 12, cell surface associated ",MUC12,35,,,35
PLIN5,perilipin 5 ,PLIN5,10,,,10
CRCP,CGRP receptor component ,CRCP,32,,,32
TMEFF1,transmembrane protein with EGF like and two follistatin like domains 1 ,TMEFF1,10,,,10
PGAM5,"PGAM family member 5, mitochondrial serine/threonine protein phosphatase ",PGAM5,35,,,35
NOTCH2NLA,notch 2 N-terminal like A ,NOTCH2NLA,0,,,0
HOXA11,homeobox A11 ,HOXA11,138,,,138
PROM1,prominin 1 ,PROM1,123,,,123
PAX7,paired box 7 ,PAX7,259,,,259
DLX3,distal-less homeobox 3 ,DLX3,19,,,19
NTN4,netrin 4 ,NTN4,30,,,30
BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone ",BCS1L,3,,,3
BRINP1,BMP/retinoic acid inducible neural specific 1 ,BRINP1,3,,,3
CLDND1,claudin domain containing 1 ,CLDND1,2,,,2
WDFY1,WD repeat and FYVE domain containing 1 ,WDFY1,4,,,4
PILRA,paired immunoglobin like type 2 receptor alpha ,PILRA,3,,,3
MAST2,microtubule associated serine/threonine kinase 2 ,MAST2,9,,,9
TXLNG,taxilin gamma ,TXLNG,0,,,0
GOLGA3,golgin A3 ,GOLGA3,4,,,4
PHGDH,phosphoglycerate dehydrogenase ,PHGDH,175,,,175
HOOK2,hook microtubule tethering protein 2 ,HOOK2,9,,,9
BCL2L13,BCL2 like 13 ,BCL2L13,16,,,16
ARSA,arylsulfatase A ,ARSA,37,,,37
NDRG3,NDRG family member 3 ,NDRG3,29,,,29
BPI,bactericidal permeability increasing protein ,BPI,405,,,405
BRS3,bombesin receptor subtype 3 ,BRS3,29,,,29
VWA8,von Willebrand factor A domain containing 8 ,VWA8,1,,,1
TLE5,"TLE family member 5, transcriptional modulator ",TLE5,0,,,0
OLFM2,olfactomedin 2 ,OLFM2,4,,,4
CCNP,cyclin P ,CCNP,5,,,5
ETFB,electron transfer flavoprotein subunit beta ,ETFB,4,,,4
CAPS,calcyphosine ,CAPS,373,,,373
TMEM106B,transmembrane protein 106B ,TMEM106B,9,,,9
RARRES2,retinoic acid receptor responder 2 ,RARRES2,21,,,21
CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3 ,CHCHD3,3,,,3
SLC25A11,solute carrier family 25 member 11 ,SLC25A11,10,,,10
BLMH,bleomycin hydrolase ,BLMH,8,,,8
ALOX12,"arachidonate 12-lipoxygenase, 12S type ",ALOX12,42,,,42
SULT1E1,sulfotransferase family 1E member 1 ,SULT1E1,51,,,51
WFS1,wolframin ER transmembrane glycoprotein ,WFS1,18,,,18
MTCH2,mitochondrial carrier 2 ,MTCH2,18,,,18
ATG2A,autophagy related 2A ,ATG2A,10,,,10
OSBP,oxysterol binding protein ,OSBP,23,,,23
CPT1A,carnitine palmitoyltransferase 1A ,CPT1A,164,,,164
ALDH5A1,aldehyde dehydrogenase 5 family member A1 ,ALDH5A1,16,,,16
NEK4,NIMA related kinase 4 ,NEK4,11,,,11
SNX17,sorting nexin 17 ,SNX17,6,,,6
DLX2,distal-less homeobox 2 ,DLX2,38,,,38
CD207,CD207 molecule ,CD207,60,,,60
PRG4,proteoglycan 4 ,PRG4,12,,,12
TSNAX,translin associated factor X ,TSNAX,2,,,2
CA14,carbonic anhydrase 14 ,CA14,8,,,8
SLC16A7,solute carrier family 16 member 7 ,SLC16A7,8,,,8
PTBP3,polypyrimidine tract binding protein 3 ,PTBP3,18,,,18
HCRTR1,hypocretin receptor 1 ,HCRTR1,1,,,1
BTN1A1,butyrophilin subfamily 1 member A1 ,BTN1A1,4,,,4
HTN1,histatin 1 ,HTN1,3,,,3
OMD,osteomodulin ,OMD,118,,,118
PXDN,peroxidasin ,PXDN,29,,,29
AOC2,amine oxidase copper containing 2 ,AOC2,2,,,2
MATN3,matrilin 3 ,MATN3,19,,,19
GRSF1,G-rich RNA sequence binding factor 1 ,GRSF1,7,,,7
HAPLN2,hyaluronan and proteoglycan link protein 2 ,HAPLN2,2,,,2
PRAM1,PML-RARA regulated adaptor molecule 1 ,PRAM1,7,,,7
VTCN1,V-set domain containing T cell activation inhibitor 1 ,VTCN1,54,,,54
NT5E,5'-nucleotidase ecto ,NT5E,128,,,128
DNAJC1,DnaJ heat shock protein family (Hsp40) member C1 ,DNAJC1,5,,,5
PREB,prolactin regulatory element binding ,PREB,1484,,,1484
DUSP5,dual specificity phosphatase 5 ,DUSP5,56,,,56
ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1 ,ENTPD1,61,,,61
INHBE,inhibin subunit beta E ,INHBE,12,,,12
KERA,keratocan ,KERA,3,,,3
MYG1,MYG1 exonuclease ,MYG1,3,,,3
TLNRD1,talin rod domain containing 1 ,TLNRD1,2,,,2
ADAMTS10,ADAM metallopeptidase with thrombospondin type 1 motif 10 ,ADAMTS10,2,,,2
LHX9,LIM homeobox 9 ,LHX9,11,,,11
GDF7,growth differentiation factor 7 ,GDF7,10,,,10
HNRNPLL,heterogeneous nuclear ribonucleoprotein L like ,HNRNPLL,6,,,6
CNTN4,contactin 4 ,CNTN4,14,,,14
CSRNP1,cysteine and serine rich nuclear protein 1 ,CSRNP1,2,,,2
SHQ1,"SHQ1, H/ACA ribonucleoprotein assembly factor ",SHQ1,13,,,13
SCD5,stearoyl-CoA desaturase 5 ,SCD5,25,,,25
TENM2,teneurin transmembrane protein 2 ,TENM2,6,,,6
CCNB3,cyclin B3 ,CCNB3,81,,,81
GNRH1,gonadotropin releasing hormone 1 ,GNRH1,19,,,19
PXDNL,peroxidasin like ,PXDNL,5,,,5
MTDH,metadherin ,MTDH,264,,,264
HSD17B12,hydroxysteroid 17-beta dehydrogenase 12 ,HSD17B12,19,,,19
TENM4,teneurin transmembrane protein 4 ,TENM4,7,,,7
DOC2A,double C2 domain alpha ,DOC2A,1,,,1
EEF1AKMT1,EEF1A lysine methyltransferase 1 ,EEF1AKMT1,0,,,0
UHMK1,U2AF homology motif kinase 1 ,UHMK1,18,,,18
SPARCL1,SPARC like 1 ,SPARCL1,66,,,66
CAPSL,calcyphosine like ,CAPSL,0,,,0
RPIA,ribose 5-phosphate isomerase A ,RPIA,17,,,17
PTPRN2,protein tyrosine phosphatase receptor type N2 ,PTPRN2,27,,,27
LDLRAP1,low density lipoprotein receptor adaptor protein 1 ,LDLRAP1,4,,,4
SPATA2L,spermatogenesis associated 2 like ,SPATA2L,0,,,0
KCNE2,potassium voltage-gated channel subfamily E regulatory subunit 2 ,KCNE2,12,,,12
LCE2B,late cornified envelope 2B ,LCE2B,2,,,2
BROX,BRO1 domain and CAAX motif containing ,BROX,4,,,4
FCRL4,Fc receptor like 4 ,FCRL4,10,,,10
IFT122,intraflagellar transport 122 ,IFT122,0,,,0
ERMAP,erythroblast membrane associated protein (Scianna blood group) ,ERMAP,4,,,4
AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1 ,AIMP1,14,,,14
FHIP1A,FHF complex subunit HOOK interacting protein 1A ,FHIP1A,0,,,0
BMPER,BMP binding endothelial regulator ,BMPER,7,,,7
SYTL3,synaptotagmin like 3 ,SYTL3,3,,,3
ZMYND19,zinc finger MYND-type containing 19 ,ZMYND19,1,,,1
BTNL9,butyrophilin like 9 ,BTNL9,12,,,12
SPRYD3,SPRY domain containing 3 ,SPRYD3,0,,,0
TK1,thymidine kinase 1 ,TK1,299,,,299
IRF2,interferon regulatory factor 2 ,IRF2,135,,,135
CA7,carbonic anhydrase 7 ,CA7,14,,,14
ANKRD49,ankyrin repeat domain 49 ,ANKRD49,4,,,4
BTNL3,butyrophilin like 3 ,BTNL3,4,,,4
SIGLEC7,sialic acid binding Ig like lectin 7 ,SIGLEC7,51,,,51
THBS3,thrombospondin 3 ,THBS3,7,,,7
MUC15,"mucin 15, cell surface associated ",MUC15,22,,,22
UGP2,UDP-glucose pyrophosphorylase 2 ,UGP2,18,,,18
TMEM192,transmembrane protein 192 ,TMEM192,3,,,3
NUDT9,nudix hydrolase 9 ,NUDT9,4,,,4
CANT1,calcium activated nucleotidase 1 ,CANT1,20,,,20
ATPAF2,ATP synthase mitochondrial F1 complex assembly factor 2 ,ATPAF2,0,,,0
SNCG,synuclein gamma ,SNCG,93,,,93
PTPRM,protein tyrosine phosphatase receptor type M ,PTPRM,27,,,27
MUC13,"mucin 13, cell surface associated ",MUC13,66,,,66
HEG1,heart development protein with EGF like domains 1 ,HEG1,34,,,34
CCS,copper chaperone for superoxide dismutase ,CCS,1439,,,1439
INHBC,inhibin subunit beta C ,INHBC,3,,,3
BASP1,brain abundant membrane attached signal protein 1 ,BASP1,39,,,39
FZD8,frizzled class receptor 8 ,FZD8,47,,,47
PAWR,pro-apoptotic WT1 regulator ,PAWR,24,,,24
SEPHS2,selenophosphate synthetase 2 ,SEPHS2,8,,,8
PJA1,praja ring finger ubiquitin ligase 1 ,PJA1,4,,,4
S100A7A,S100 calcium binding protein A7A ,S100A7A,12,,,12
KNTC1,kinetochore associated 1 ,KNTC1,28,,,28
XPOT,exportin for tRNA ,XPOT,7,,,7
RALYL,RALY RNA binding protein like ,RALYL,13,,,13
OSBP2,oxysterol binding protein 2 ,OSBP2,4,,,4
CA13,carbonic anhydrase 13 ,CA13,19,,,19
TCEAL9,transcription elongation factor A like 9 ,TCEAL9,1,,,1
LYPD6,LY6/PLAUR domain containing 6 ,LYPD6,2,,,2
FHIT,fragile histidine triad diadenosine triphosphatase ,FHIT,934,,,934
GREB1,growth regulating estrogen receptor binding 1 ,GREB1,111,,,111
SULT1A1,sulfotransferase family 1A member 1 ,SULT1A1,205,,,205
SHPK,sedoheptulokinase ,SHPK,1,,,1
CFD,complement factor D ,CFD,136,,,136
GJC2,gap junction protein gamma 2 ,GJC2,1,,,1
POU3F3,POU class 3 homeobox 3 ,POU3F3,21,,,21
IL31,interleukin 31 ,IL31,56,,,56
CPT1B,carnitine palmitoyltransferase 1B ,CPT1B,29,,,29
KRTAP3-2,keratin associated protein 3-2 ,KRTAP3-2,0,,,0
MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L ,MT-ND4L,1,,,1
CRIP1,cysteine rich protein 1 ,CRIP1,38,,,38
LYRM4,LYR motif containing 4 ,LYRM4,2,,,2
DEFA1B,defensin alpha 1B ,DEFA1B,0,,,0
SIGLEC14,sialic acid binding Ig like lectin 14 ,SIGLEC14,8,,,8
EPPK1,epiplakin 1 ,EPPK1,15,,,15
SRXN1,sulfiredoxin 1 ,SRXN1,23,,,23
RCC1L,RCC1 like ,RCC1L,1,,,1
FCGBP,Fc gamma binding protein ,FCGBP,34,,,34
TENM1,teneurin transmembrane protein 1 ,TENM1,13,,,13
PRSS3,serine protease 3 ,PRSS3,39,,,39
XYLT2,xylosyltransferase 2 ,XYLT2,3,,,3
SERPINB1,serpin family B member 1 ,SERPINB1,17,,,17
GRAMD1B,GRAM domain containing 1B ,GRAMD1B,8,,,8
DEPDC1,DEP domain containing 1 ,DEPDC1,60,,,60
SZRD1,SUZ RNA binding domain containing 1 ,SZRD1,5,,,5
ITIH1,inter-alpha-trypsin inhibitor heavy chain 1 ,ITIH1,7,,,7
BCAT1,branched chain amino acid transaminase 1 ,BCAT1,126,,,126
COASY,Coenzyme A synthase ,COASY,4,,,4
CA12,carbonic anhydrase 12 ,CA12,108,,,108
PGM1,phosphoglucomutase 1 ,PGM1,132,,,132
ALKBH5,"alkB homolog 5, RNA demethylase ",ALKBH5,247,,,247
SUCO,SUN domain containing ossification factor ,SUCO,3,,,3
PATZ1,POZ/BTB and AT hook containing zinc finger 1 ,PATZ1,55,,,55
ITPK1,inositol-tetrakisphosphate 1-kinase ,ITPK1,4,,,4
SLC8A3,solute carrier family 8 member A3 ,SLC8A3,5,,,5
HM13,histocompatibility minor 13 ,HM13,14,,,14
PBDC1,polysaccharide biosynthesis domain containing 1 ,PBDC1,1,,,1
