Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
SHC2	ENSG00000129946.10	1.855	27.239	-3.306	2.73e-88
TNNI3	ENSG00000129991.12	12.700	0.685	3.024	6.36e-51
ERMARD	ENSG00000130023.15	6.220	35.554	-2.340	1.80e-132
LDLR	ENSG00000130164.11	10.010	45.665	-2.084	2.97e-43
THEM6	ENSG00000130193.7	40.675	4.840	2.835	3.96e-94
GADD45G	ENSG00000130222.10	5.765	52.629	-2.987	3.63e-113
LRCH2	ENSG00000130224.14	0.560	5.475	-2.053	4.98e-97
SAFB2	ENSG00000130254.11	18.185	117.412	-2.626	5.53e-131
KIF1A	ENSG00000130294.14	11.300	1.065	2.574	1.11e-24
FCHO1	ENSG00000130475.14	23.345	2.480	2.806	1.22e-71
OLFM1	ENSG00000130558.18	1.185	18.310	-3.144	2.55e-65
SAMD10	ENSG00000130590.13	22.250	0.425	4.028	1.54e-165
LSP1	ENSG00000130592.13	24.935	4.025	2.368	1.58e-47
PNPLA7	ENSG00000130653.15	1.080	30.419	-3.917	6.17e-178
ZNF337	ENSG00000130684.13	5.935	30.609	-2.188	9.39e-96
SMPDL3B	ENSG00000130768.14	28.129	0.070	4.767	1.02e-184
THEMIS2	ENSG00000130775.15	28.859	3.345	2.781	1.21e-59
ZNF331	ENSG00000130844.16	5.460	64.522	-3.342	7.23e-112
HABP4	ENSG00000130956.13	3.190	16.120	-2.031	3.09e-111
RGN	ENSG00000130988.12	2.540	23.514	-2.792	3.04e-78
SYNE1	ENSG00000131018.22	3.035	100.977	-4.660	4.81e-204
EPS8L1	ENSG00000131037.14	67.480	1.955	4.534	7.71e-134
RBM39	ENSG00000131051.20	92.158	402.026	-2.113	1.78e-96
PRR7	ENSG00000131188.11	20.975	0.695	3.696	4.12e-143
IDO1	ENSG00000131203.12	8.440	0.265	2.900	4.59e-44
RAB11FIP4	ENSG00000131242.15	11.195	1.830	2.107	4.40e-53
SH3BP5	ENSG00000131370.15	17.805	105.726	-2.505	3.28e-87
GALNT15	ENSG00000131386.17	0.385	13.830	-3.421	2.74e-167
SLC6A6	ENSG00000131389.16	6.955	47.081	-2.596	5.00e-78
KCNC3	ENSG00000131398.13	7.235	0.230	2.743	3.90e-71
GFPT2	ENSG00000131459.12	2.100	32.935	-3.452	2.21e-115
TMEM204	ENSG00000131634.13	3.370	16.509	-2.002	3.80e-97
KREMEN2	ENSG00000131650.13	3.825	0.020	2.242	1.35e-46
TOP2A	ENSG00000131747.14	26.070	0.355	4.320	4.16e-139
PPP1R1B	ENSG00000131771.13	26.894	4.510	2.340	1.66e-18
RHPN2	ENSG00000131941.7	22.425	2.200	2.872	5.86e-97
PPARG	ENSG00000132170.19	1.145	14.284	-2.833	2.37e-115
NUP210	ENSG00000132182.11	13.995	1.075	2.853	1.08e-84
SERPINF1	ENSG00000132386.10	52.430	507.529	-3.251	6.84e-67
PNISR	ENSG00000132424.14	25.019	219.700	-3.084	2.88e-112
JCHAIN	ENSG00000132465.10	14.865	2.000	2.403	6.74e-13
ITGB4	ENSG00000132470.13	89.405	5.980	3.695	1.42e-75
XAF1	ENSG00000132530.16	20.190	112.555	-2.422	6.93e-47
RGS22	ENSG00000132554.19	0.505	11.125	-3.010	5.32e-147
MATN2	ENSG00000132561.13	16.955	125.148	-2.813	1.12e-78
SNAP25	ENSG00000132639.12	1.580	13.845	-2.525	2.75e-56
RHBG	ENSG00000132677.12	0.070	20.462	-4.326	4.59e-225
RAB25	ENSG00000132698.13	89.507	0.540	5.877	1.78e-79
MTL5	ENSG00000132749.10	16.555	1.380	2.883	4.12e-124
RBM38	ENSG00000132819.16	114.253	24.150	2.196	1.83e-63
WASF3	ENSG00000132970.12	2.430	15.135	-2.234	3.76e-80
LGR6	ENSG00000133067.17	14.405	0.923	3.002	7.62e-35
SPG20	ENSG00000133104.12	16.455	73.697	-2.097	6.74e-83
TCEAL4	ENSG00000133142.17	67.395	772.691	-3.500	8.70e-179
SRRM1	ENSG00000133226.16	39.185	167.729	-2.070	1.21e-73
MYH11	ENSG00000133392.16	2.465	131.995	-5.262	3.46e-118
GSTT2B	ENSG00000133433.10	3.980	21.915	-2.202	3.18e-36
ZDHHC8P1	ENSG00000133519.12	1.900	59.348	-4.379	4.53e-105
ZNF767P	ENSG00000133624.13	4.830	27.029	-2.265	9.71e-91
LYVE1	ENSG00000133800.8	1.200	14.645	-2.830	7.59e-66
TTC9	ENSG00000133985.2	3.890	0.115	2.133	2.11e-53
MEIS2	ENSG00000134138.19	5.075	27.050	-2.207	1.23e-42
GSTM1	ENSG00000134184.12	1.904	85.957	-4.904	2.06e-4
GSTM5	ENSG00000134201.10	0.750	135.904	-6.290	1.89e-245
GSTM3	ENSG00000134202.10	18.845	195.360	-3.307	2.81e-72
SORT1	ENSG00000134243.11	30.728	3.010	2.984	7.18e-88
WNT2B	ENSG00000134245.17	0.630	10.105	-2.768	4.39e-87
VTCN1	ENSG00000134258.16	34.747	0.115	5.003	1.69e-72
NGF	ENSG00000134259.3	0.730	18.263	-3.477	2.75e-150
LPIN1	ENSG00000134324.11	7.525	39.255	-2.239	4.14e-91
PDGFRA	ENSG00000134853.11	3.030	148.775	-5.216	4.33e-158
FAM189A2	ENSG00000135063.17	1.735	49.523	-4.207	1.30e-154
PSAT1	ENSG00000135069.13	62.154	2.550	4.153	6.70e-108
SDS	ENSG00000135094.10	6.230	0.345	2.426	6.45e-57
TBX3	ENSG00000135111.14	1.585	43.266	-4.098	3.49e-122
OASL	ENSG00000135114.12	6.705	0.220	2.659	3.97e-53
TES	ENSG00000135269.17	32.356	4.208	2.679	1.33e-76
NT5E	ENSG00000135318.11	4.475	26.050	-2.305	8.09e-38
PRRG4	ENSG00000135378.3	4.360	0.160	2.208	7.62e-77
ITGA7	ENSG00000135424.15	7.120	32.130	-2.029	2.10e-42
TROAP	ENSG00000135451.12	28.255	0.795	4.027	1.48e-126
PAN2	ENSG00000135473.14	16.540	128.688	-2.886	9.40e-100
ESPL1	ENSG00000135476.11	6.340	0.310	2.486	2.64e-82
KRT7	ENSG00000135480.14	364.872	1.130	7.425	4.41e-201
SLC26A10	ENSG00000135502.16	0.680	14.505	-3.206	8.24e-128
MAP7	ENSG00000135525.18	8.675	1.215	2.127	4.62e-84
FHOD1	ENSG00000135723.13	8.850	44.321	-2.202	1.19e-97
GLUL	ENSG00000135821.16	205.749	1054.540	-2.352	2.18e-70
SERPINE2	ENSG00000135919.12	13.805	86.491	-2.563	5.17e-36
WNT10A	ENSG00000135925.8	22.294	0.090	4.418	3.38e-71
TBC1D4	ENSG00000136111.12	2.120	30.079	-3.316	9.94e-160
LCP1	ENSG00000136167.13	18.645	3.310	2.188	7.39e-42
RSAD1	ENSG00000136444.9	9.940	45.335	-2.083	1.55e-105
MYCBPAP	ENSG00000136449.13	0.430	8.450	-2.724	5.07e-137
RTP4	ENSG00000136514.2	14.790	1.530	2.642	1.58e-54
SCN7A	ENSG00000136546.13	0.090	32.190	-4.928	0.00e+0
GATA4	ENSG00000136574.17	0.570	89.551	-5.850	6.64e-141
IL1RN	ENSG00000136689.18	10.805	0.545	2.934	1.76e-68
GYPC	ENSG00000136732.14	17.665	89.765	-2.282	4.45e-70
KLF4	ENSG00000136826.14	4.170	46.139	-3.189	1.22e-93
KIF12	ENSG00000136883.12	6.455	0.755	2.087	2.61e-44
GARNL3	ENSG00000136895.18	2.715	14.375	-2.049	2.29e-93
NR5A1	ENSG00000136931.9	0.615	35.950	-4.516	1.08e-98
IL11RA	ENSG00000137070.17	7.675	52.692	-2.630	2.31e-53
TFAP2A	ENSG00000137203.10	10.145	0.330	3.067	4.89e-47
HMGA1	ENSG00000137309.19	327.783	3.685	6.133	2.58e-210
RNF144B	ENSG00000137393.9	9.080	1.290	2.138	5.73e-53
MGARP	ENSG00000137463.4	0.730	14.539	-3.167	6.24e-122
PI15	ENSG00000137558.7	0.180	4.084	-2.107	1.93e-88
GGH	ENSG00000137563.11	26.140	3.160	2.706	6.62e-79
TMPRSS4	ENSG00000137648.16	32.298	0.080	4.946	3.01e-87
MMP7	ENSG00000137673.8	91.297	0.065	6.437	3.19e-85
TRIM29	ENSG00000137699.16	32.340	0.970	4.081	8.12e-65
POU2F3	ENSG00000137709.9	7.920	0.160	2.943	2.78e-62
FXYD6	ENSG00000137726.15	23.455	318.058	-3.706	1.43e-81
FXYD2	ENSG00000137731.13	0.650	5.650	-2.011	5.98e-89
THBS1	ENSG00000137801.10	18.980	84.691	-2.101	1.41e-29
MAPKBP1	ENSG00000137802.13	3.605	24.698	-2.480	3.75e-105
NUSAP1	ENSG00000137804.12	25.360	5.350	2.054	1.68e-58
KIF23	ENSG00000137807.13	10.305	1.140	2.401	2.01e-80
STRA6	ENSG00000137868.18	7.720	0.830	2.253	1.29e-34
STAMBPL1	ENSG00000138134.11	1.175	12.525	-2.637	2.19e-152
KIF11	ENSG00000138160.5	7.860	0.355	2.709	1.60e-114
SENP7	ENSG00000138468.15	3.550	25.545	-2.544	2.09e-129
FAM13A	ENSG00000138640.14	5.415	26.984	-2.125	1.69e-83
FGF2	ENSG00000138685.12	0.220	7.525	-2.805	5.29e-226
KIAA1109	ENSG00000138688.15	5.080	43.796	-2.881	5.56e-139
PRDM5	ENSG00000138738.10	0.790	12.500	-2.915	6.14e-173
SHROOM3	ENSG00000138771.14	9.610	0.590	2.738	5.89e-84
LEF1	ENSG00000138795.9	14.645	2.830	2.030	6.32e-32
MAPK8IP3	ENSG00000138834.12	11.875	100.802	-2.983	7.81e-101
ERP27	ENSG00000139055.6	14.384	0.280	3.587	4.00e-58
GABARAPL1	ENSG00000139112.10	15.610	113.554	-2.786	1.81e-102
LUM	ENSG00000139329.4	70.450	301.151	-2.080	3.58e-16
SLC7A1	ENSG00000139514.12	12.665	2.390	2.011	3.00e-53
N4BP2L1	ENSG00000139597.16	8.140	50.225	-2.487	7.43e-101
MAP3K12	ENSG00000139625.12	12.105	52.044	-2.017	1.44e-65
GALNT6	ENSG00000139629.15	15.565	0.805	3.198	1.13e-81
LMBR1L	ENSG00000139636.15	13.855	93.260	-2.666	2.90e-125
HNRNPA1L2	ENSG00000139675.11	1.210	8.470	-2.099	1.55e-159
RHOF	ENSG00000139725.7	31.075	4.815	2.464	5.10e-58
ESR2	ENSG00000140009.18	0.210	4.700	-2.236	3.84e-171
STON2	ENSG00000140022.9	12.160	2.090	2.090	5.15e-50
FAM181A	ENSG00000140067.6	5.835	0.000	2.773	2.45e-76
FGF7	ENSG00000140285.9	0.730	20.649	-3.646	6.82e-104
NEIL1	ENSG00000140398.13	4.870	55.276	-3.261	8.78e-118
MAN2C1	ENSG00000140400.14	30.890	325.349	-3.355	7.38e-142
TGFB1I1	ENSG00000140682.18	18.125	93.483	-2.305	1.06e-63
MARVELD3	ENSG00000140832.9	6.975	0.535	2.377	7.10e-98
NOL3	ENSG00000140939.14	9.420	41.086	-2.014	9.19e-75
MYOCD	ENSG00000141052.17	0.060	3.724	-2.156	1.11e-135
KSR1	ENSG00000141068.13	6.460	45.416	-2.637	1.93e-82
SKAP1	ENSG00000141293.15	11.075	0.310	3.204	1.15e-94
GATA6	ENSG00000141448.8	10.975	66.116	-2.487	4.55e-50
GREB1L	ENSG00000141449.14	0.140	3.755	-2.060	1.88e-158
MINK1	ENSG00000141503.15	24.005	121.216	-2.289	4.87e-92
SAT2	ENSG00000141504.11	27.125	203.699	-2.864	2.95e-129
TMC6	ENSG00000141524.15	26.225	5.549	2.056	4.21e-56
SLC16A3	ENSG00000141526.14	31.895	6.768	2.082	3.39e-35
TTYH2	ENSG00000141540.10	2.150	17.830	-2.580	8.10e-105
GRB7	ENSG00000141738.13	56.830	1.085	4.794	1.90e-163
IGFBP4	ENSG00000141753.6	80.977	1146.960	-3.808	1.75e-112
PPAP2C	ENSG00000141934.9	25.595	2.515	2.920	7.97e-51
TMEM91	ENSG00000142046.14	3.750	18.770	-2.057	2.47e-93
SIK1	ENSG00000142178.7	0.910	16.844	-3.224	3.54e-79
TRPM2	ENSG00000142185.16	7.770	1.030	2.111	5.28e-66
TMEM50B	ENSG00000142188.16	23.500	98.858	-2.027	4.48e-85
SLC47A1	ENSG00000142494.13	0.560	7.070	-2.371	3.99e-90
MMEL1	ENSG00000142606.15	9.025	0.475	2.765	9.53e-77
SYTL1	ENSG00000142765.17	15.370	1.365	2.791	4.62e-80
KIF2C	ENSG00000142945.12	13.600	0.685	3.115	1.19e-106
PROK1	ENSG00000143125.5	0.130	188.229	-7.388	3.92e-238
ITGA10	ENSG00000143127.12	0.310	4.540	-2.080	1.45e-125
PVRL4	ENSG00000143217.8	7.140	0.075	2.921	4.04e-78
NUF2	ENSG00000143228.12	9.260	0.440	2.833	7.97e-101
XPR1	ENSG00000143324.13	36.928	5.350	2.578	1.73e-77
LHX9	ENSG00000143355.15	0.130	4.415	-2.261	3.93e-167
RORC	ENSG00000143365.16	6.170	0.225	2.549	6.64e-59
TPM3	ENSG00000143549.19	261.850	60.526	2.095	2.96e-95
LEFTY2	ENSG00000143768.11	0.280	19.434	-3.997	2.91e-127
REN	ENSG00000143839.13	0.240	5.837	-2.463	1.65e-53
RHOB	ENSG00000143878.9	49.490	335.041	-2.735	1.16e-78
ZNF385B	ENSG00000144331.18	0.220	8.875	-3.017	2.07e-140
GULP1	ENSG00000144366.15	2.955	18.550	-2.305	3.34e-65
PTH2R	ENSG00000144407.9	4.170	0.020	2.342	4.60e-34
KANSL1L	ENSG00000144445.15	4.020	23.551	-2.290	6.53e-106
STK11IP	ENSG00000144589.20	9.000	75.640	-2.938	9.38e-132
GRIP2	ENSG00000144596.11	0.130	6.700	-2.769	2.66e-199
RBMS3	ENSG00000144642.20	0.785	13.194	-2.991	6.03e-169
FAM198A	ENSG00000144649.8	1.330	9.929	-2.230	7.36e-86
NFKBIZ	ENSG00000144802.11	4.310	24.020	-2.236	1.14e-59
IGSF11	ENSG00000144847.12	0.840	10.209	-2.607	6.96e-94
TRPC1	ENSG00000144935.14	1.250	15.995	-2.917	1.21e-165
STXBP5L	ENSG00000145087.12	0.030	5.640	-2.689	3.22e-244
ILDR1	ENSG00000145103.12	6.990	0.005	2.991	3.05e-140
OCIAD2	ENSG00000145247.11	75.245	12.790	2.467	1.06e-106
SNCA	ENSG00000145335.15	2.320	24.080	-2.917	1.66e-91
SFRP2	ENSG00000145423.4	6.655	0.509	2.342	9.10e-14
FAM193B	ENSG00000146067.15	22.751	129.696	-2.460	9.46e-109
PRSS35	ENSG00000146250.6	0.185	4.085	-2.101	8.23e-115
SLC22A3	ENSG00000146477.5	0.110	19.024	-4.173	6.20e-247
IGFBP1	ENSG00000146678.9	0.100	5.740	-2.615	1.38e-72
EPHA1	ENSG00000146904.8	15.540	2.820	2.114	2.46e-61
NLGN4X	ENSG00000146938.14	0.820	10.960	-2.716	2.27e-81
OGT	ENSG00000147162.13	24.235	135.701	-2.438	5.30e-81
IL2RG	ENSG00000147168.12	10.120	1.275	2.289	5.34e-40
GNRH1	ENSG00000147437.9	0.525	6.945	-2.381	1.33e-155
SLC25A37	ENSG00000147454.13	8.345	54.292	-2.565	2.59e-114
STAR	ENSG00000147465.11	0.225	565.310	-8.853	6.79e-201
TACC1	ENSG00000147526.19	6.530	45.317	-2.621	5.85e-85
MAL2	ENSG00000147676.13	153.974	0.210	7.001	3.28e-215
NDUFB9	ENSG00000147684.7	478.972	102.572	2.212	4.85e-73
FAM83A	ENSG00000147689.16	3.970	0.030	2.271	3.21e-38
SLC39A4	ENSG00000147804.9	166.571	22.530	2.832	2.13e-79
VLDLR	ENSG00000147852.15	5.150	82.635	-3.765	1.18e-131
NTRK2	ENSG00000148053.15	0.410	5.625	-2.232	8.80e-82
SLC25A25	ENSG00000148339.12	4.885	22.869	-2.020	4.88e-62
LCN2	ENSG00000148346.11	255.202	0.470	7.445	3.20e-115
FAM13C	ENSG00000148541.12	0.870	12.880	-2.892	1.06e-137
MKI67	ENSG00000148773.12	10.285	0.160	3.282	8.18e-97
SLC43A1	ENSG00000149150.8	2.290	23.650	-2.905	6.54e-122
KLHL35	ENSG00000149243.15	4.870	0.265	2.214	1.10e-63
NCAM1	ENSG00000149294.16	3.965	44.572	-3.198	1.97e-55
ST14	ENSG00000149418.10	80.582	0.340	5.928	4.45e-189
FEZ1	ENSG00000149557.12	3.090	21.850	-2.482	4.28e-107
MPZL2	ENSG00000149573.8	32.589	3.274	2.974	1.42e-73
SIDT2	ENSG00000149577.15	15.935	91.689	-2.452	9.26e-102
TAGLN	ENSG00000149591.16	177.588	1113.163	-2.641	7.06e-40
KIAA1755	ENSG00000149633.11	0.375	12.956	-3.343	4.08e-179
FCGR1A	ENSG00000150337.13	9.750	1.605	2.045	8.98e-38
HNMT	ENSG00000150540.13	14.300	60.425	-2.005	1.17e-65
LYPD1	ENSG00000150551.10	128.524	0.280	6.661	5.19e-110
LYPD6B	ENSG00000150556.16	41.635	0.210	5.139	1.72e-130
IL18	ENSG00000150782.11	12.880	1.370	2.550	2.93e-59
FOXO1	ENSG00000150907.6	6.150	49.309	-2.815	2.57e-111
ITPR1	ENSG00000150995.17	2.020	39.234	-3.736	5.53e-171
KCTD14	ENSG00000151364.15	14.895	0.680	3.242	4.94e-78
NDUFC2	ENSG00000151366.12	455.718	98.506	2.198	1.07e-78
ME3	ENSG00000151376.16	6.690	36.510	-2.286	3.83e-83
EPS8	ENSG00000151491.12	5.675	53.906	-3.040	4.25e-103
TMEM45B	ENSG00000151715.7	3.900	0.105	2.149	3.41e-48
SERP2	ENSG00000151778.10	2.085	15.670	-2.434	3.44e-121
KCNE4	ENSG00000152049.6	0.725	6.835	-2.183	6.35e-61
SPC25	ENSG00000152253.8	9.485	0.560	2.749	1.70e-99
TCF7L1	ENSG00000152284.4	6.145	27.834	-2.013	8.07e-30
PLEKHH2	ENSG00000152527.13	1.095	37.505	-4.200	4.51e-178
IGSF10	ENSG00000152580.8	1.315	55.620	-4.612	1.49e-145
SPARCL1	ENSG00000152583.12	22.364	234.516	-3.333	2.83e-104
PRDM8	ENSG00000152784.15	0.285	5.930	-2.431	4.81e-200
PART1	ENSG00000152931.7	10.185	0.080	3.372	4.92e-60
MARVELD2	ENSG00000152939.14	5.250	0.115	2.487	2.99e-109
NR4A2	ENSG00000153234.13	4.540	57.827	-3.409	9.43e-74
PLA2R1	ENSG00000153246.11	1.530	15.020	-2.663	6.49e-142
SLC25A27	ENSG00000153291.15	4.290	106.853	-4.350	5.44e-152
FAM49B	ENSG00000153310.18	51.926	11.115	2.127	1.15e-82
PTPRD	ENSG00000153707.15	0.370	14.949	-3.541	3.45e-136
PID1	ENSG00000153823.18	0.800	22.155	-3.685	8.00e-175
LGI4	ENSG00000153902.13	0.480	9.589	-2.839	2.42e-133
THY1	ENSG00000154096.13	93.144	7.625	3.448	2.81e-50
ROBO3	ENSG00000154134.14	7.640	118.623	-3.791	1.12e-107
PGM5	ENSG00000154330.12	1.740	13.525	-2.406	1.10e-52
LONRF1	ENSG00000154359.12	5.650	36.086	-2.479	1.29e-95
PDE1C	ENSG00000154678.16	0.110	3.590	-2.048	8.88e-179
JAM2	ENSG00000154721.14	1.885	20.693	-2.911	1.18e-110
WNT7A	ENSG00000154764.5	7.280	0.000	3.050	4.09e-45
XPC	ENSG00000154767.14	9.275	43.510	-2.115	1.18e-95
FLCN	ENSG00000154803.12	8.590	60.484	-2.681	1.06e-111
PLCL2	ENSG00000154822.15	1.325	10.540	-2.311	5.30e-119
SKA1	ENSG00000154839.9	3.280	0.060	2.014	6.55e-83
RAB6B	ENSG00000154917.10	9.325	1.305	2.163	2.62e-52
PROM2	ENSG00000155066.15	30.664	2.140	3.334	8.68e-54
PTPRN2	ENSG00000155093.17	0.515	5.635	-2.131	1.36e-124
GPR78	ENSG00000155269.11	0.160	11.850	-3.470	5.89e-196
MICU3	ENSG00000155970.11	0.690	8.400	-2.476	8.45e-161
PSD3	ENSG00000156011.16	1.045	15.735	-3.033	8.91e-156
GNA14	ENSG00000156049.6	0.330	4.890	-2.147	2.13e-173
FGF18	ENSG00000156427.7	14.645	0.180	3.729	3.97e-78
PCDH1	ENSG00000156453.13	24.266	1.725	3.213	3.52e-82
FAM122C	ENSG00000156500.14	2.550	14.994	-2.172	2.87e-96
SST	ENSG00000157005.3	28.570	0.730	4.096	1.96e-27
RBPMS	ENSG00000157110.15	31.555	257.360	-2.988	1.96e-87
KIT	ENSG00000157404.15	0.320	15.689	-3.660	4.27e-161
MUM1L1	ENSG00000157502.12	0.505	96.268	-6.014	2.79e-251
TSC22D3	ENSG00000157514.16	28.699	337.303	-3.510	5.19e-99
SLC34A2	ENSG00000157765.11	176.227	0.070	7.372	6.04e-151
WDR19	ENSG00000157796.17	9.800	62.335	-2.552	9.79e-107
TNFRSF14	ENSG00000157873.17	19.725	95.365	-2.217	1.87e-66
KRTCAP3	ENSG00000157992.12	61.714	4.070	3.629	6.78e-138
GALNT14	ENSG00000158089.14	4.715	0.230	2.216	6.93e-51
RHPN1	ENSG00000158106.12	17.930	2.110	2.606	5.22e-76
MRAS	ENSG00000158186.12	10.685	49.511	-2.112	6.65e-57
GPRASP2	ENSG00000158301.18	1.410	26.479	-3.511	5.88e-181
TMSB15B	ENSG00000158427.14	2.995	15.574	-2.053	1.06e-44
TSPAN33	ENSG00000158457.5	13.345	2.555	2.013	9.73e-58
NRG2	ENSG00000158458.19	0.720	9.540	-2.615	1.29e-95
NBL1	ENSG00000158747.13	55.850	508.692	-3.164	4.82e-75
ZNF276	ENSG00000158805.11	6.495	45.438	-2.631	3.42e-116
FAM160B2	ENSG00000158863.21	18.030	81.520	-2.116	3.42e-76
FCER1G	ENSG00000158869.10	134.112	18.150	2.819	3.56e-57
PAXBP1	ENSG00000159086.14	6.560	47.344	-2.677	6.00e-137
LAD1	ENSG00000159166.13	29.969	0.230	4.654	2.75e-152
SCUBE1	ENSG00000159307.18	0.140	23.225	-4.409	1.64e-181
M1AP	ENSG00000159374.17	4.560	0.150	2.273	1.22e-61
STARD9	ENSG00000159433.11	0.460	17.910	-3.695	1.38e-254
FNDC5	ENSG00000160097.15	0.845	8.850	-2.417	3.12e-99
NR2F6	ENSG00000160113.5	94.365	11.380	2.946	1.14e-109
TMPRSS3	ENSG00000160183.13	36.440	0.040	5.170	3.43e-147
FTCD	ENSG00000160282.13	0.725	6.120	-2.045	9.21e-77
LSS	ENSG00000160285.14	10.585	62.023	-2.444	6.16e-95
GPSM1	ENSG00000160360.11	7.770	36.061	-2.079	3.82e-62
ST6GALNAC6	ENSG00000160408.14	22.380	107.813	-2.219	2.92e-85
ZDHHC12	ENSG00000160446.18	60.961	7.215	2.915	2.79e-137
SPTBN4	ENSG00000160460.15	0.805	8.340	-2.371	1.01e-90
PPAPDC3	ENSG00000160539.4	0.455	8.910	-2.768	8.55e-162
TLCD1	ENSG00000160606.10	13.835	0.970	2.913	1.95e-113
S100A1	ENSG00000160678.11	505.318	1.180	7.860	7.02e-133
PTH1R	ENSG00000160801.13	0.540	18.104	-3.633	7.75e-147
MYL3	ENSG00000160808.9	0.310	4.280	-2.011	1.29e-89
FGFR4	ENSG00000160867.14	3.445	32.883	-2.930	3.34e-83
NACC1	ENSG00000160877.5	50.949	7.025	2.695	6.76e-88
LY6E	ENSG00000160932.10	1081.898	179.432	2.585	2.20e-57
MUM1	ENSG00000160953.14	10.130	56.893	-2.379	2.22e-104
ZNF333	ENSG00000160961.11	4.350	26.515	-2.363	1.77e-91
PLXDC1	ENSG00000161381.13	3.795	56.205	-3.577	1.05e-101
ZNF577	ENSG00000161551.12	5.340	43.030	-2.796	9.06e-109
SIGLEC11	ENSG00000161640.15	0.460	63.702	-5.470	2.01e-175
SIGLEC16	ENSG00000161643.12	0.230	26.910	-4.504	1.77e-214
RACGAP1	ENSG00000161800.12	19.565	1.985	2.784	1.45e-100
GRASP	ENSG00000161835.10	5.475	33.683	-2.421	3.06e-95
SPC24	ENSG00000161888.11	10.890	0.405	3.081	1.41e-111
WDR90	ENSG00000161996.17	13.040	59.410	-2.105	3.67e-63
PAQR4	ENSG00000162073.13	10.905	0.600	2.896	4.71e-84
PDZK1IP1	ENSG00000162366.7	66.350	0.380	5.609	8.17e-88
SLC1A7	ENSG00000162383.11	0.060	6.340	-2.792	2.03e-276
PPAP2B	ENSG00000162407.8	14.260	72.128	-2.261	3.40e-52
ZSWIM5	ENSG00000162415.6	0.450	7.400	-2.534	2.49e-117
LAPTM5	ENSG00000162511.7	76.800	10.940	2.704	1.24e-43
SDC3	ENSG00000162512.15	33.605	6.806	2.148	8.15e-43
WNT4	ENSG00000162552.14	1.020	11.245	-2.600	3.27e-69
MXRA8	ENSG00000162576.16	43.746	210.751	-2.243	5.78e-34
HFM1	ENSG00000162669.15	0.190	5.135	-2.366	5.87e-153
KCNT2	ENSG00000162687.16	0.230	7.815	-2.841	3.30e-160
SNED1	ENSG00000162804.13	2.850	25.734	-2.796	1.74e-80
KLHDC8A	ENSG00000162873.14	3.975	309.779	-5.965	6.33e-130
PKDCC	ENSG00000162878.12	9.310	326.954	-4.991	5.13e-98
OXER1	ENSG00000162881.6	0.390	8.190	-2.725	6.37e-193
HAAO	ENSG00000162882.14	2.305	21.620	-2.775	4.15e-126
RFTN2	ENSG00000162944.10	0.745	6.085	-2.022	2.17e-111
LRRTM1	ENSG00000162951.10	15.574	0.195	3.794	1.41e-50
NOSTRIN	ENSG00000163072.14	1.700	17.855	-2.804	4.67e-154
SGPP2	ENSG00000163082.9	10.675	0.295	3.172	3.61e-79
INHBB	ENSG00000163083.5	8.760	0.985	2.298	1.94e-31
S100A11	ENSG00000163191.5	1335.764	130.643	3.344	1.39e-98
TDRD10	ENSG00000163239.12	0.190	13.550	-3.612	4.90e-246
LMOD1	ENSG00000163431.12	1.895	49.294	-4.119	2.62e-147
NFASC	ENSG00000163531.15	1.080	19.558	-3.305	1.12e-100
NUAK2	ENSG00000163545.8	27.460	1.110	3.754	9.74e-134
ICA1L	ENSG00000163596.16	1.840	11.530	-2.141	8.13e-102
PTPN13	ENSG00000163629.12	1.645	18.925	-2.913	3.50e-80
PPM1K	ENSG00000163644.14	2.630	24.255	-2.799	3.05e-137
RBM47	ENSG00000163694.14	26.305	1.960	3.205	4.05e-113
TTC14	ENSG00000163728.10	7.780	61.900	-2.841	2.35e-111
TCF23	ENSG00000163792.6	0.420	13.940	-3.395	1.24e-167
LRRC2	ENSG00000163827.12	0.200	4.255	-2.131	9.54e-130
KLF15	ENSG00000163884.3	2.180	44.366	-3.834	1.49e-151
RPL39L	ENSG00000163923.9	46.160	3.990	3.240	6.52e-113
UVSSA	ENSG00000163945.15	2.120	12.475	-2.111	1.50e-89
ZDHHC19	ENSG00000163958.13	0.750	8.070	-2.374	2.89e-63
INTU	ENSG00000164066.12	1.315	13.725	-2.669	4.58e-155
POC1A	ENSG00000164087.7	8.890	0.645	2.588	7.72e-121
HAND2	ENSG00000164107.8	0.835	42.076	-4.553	4.98e-165
MAD2L1	ENSG00000164109.13	16.200	2.165	2.442	1.32e-92
FAM198B	ENSG00000164125.15	4.280	53.565	-3.369	1.50e-109
PRMT9	ENSG00000164169.12	2.410	13.818	-2.120	5.67e-126
F2RL1	ENSG00000164251.4	7.010	0.240	2.691	4.37e-95
RHOBTB3	ENSG00000164292.12	3.215	66.325	-3.998	2.11e-130
FOXQ1	ENSG00000164379.5	9.915	0.000	3.448	8.47e-71
TXLNB	ENSG00000164440.14	0.290	4.789	-2.166	5.08e-123
TMEM200A	ENSG00000164484.11	1.265	11.244	-2.435	1.58e-89
GALNT10	ENSG00000164574.15	5.725	41.032	-2.644	1.07e-87
PTTG1	ENSG00000164611.12	70.565	1.690	4.734	9.42e-169
